train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
6.630000114440918,-52.42,-0.17,46.34000015258789,6.809999942779541,6.6283084805400225,2074.660554409027,6.670000076293945,-50.3,-0.22,47.09000015258789,6.860000133514404,6.668693080877724,2087.300934314728,1712505482,,False,1,c8d00918,2024-04-07_15-58-02,203.47876644134521,203.47876644134521,1146234,vader,131.130.125.97,203.47876644134521,1,256,3,0.0,0.0001
2.700000047683716,-12.03,0.04,11.3100004196167,3.359999895095825,2.7014572833673642,845.556129693985,1.340000033378601,-2.72,0.26,3.4100000858306885,1.850000023841858,1.3358286868649931,418.1143789887428,1712505644,,False,2,c8d00918,2024-04-07_16-00-44,161.9353642463684,365.4141306877136,1146234,vader,131.130.125.97,365.4141306877136,2,256,3,0.0,0.0001
1.190000057220459,-2.01,0.32,2.609999895095825,1.6200000047683716,1.1898111226840522,372.41088140010834,0.8899999856948853,-0.63,0.46,1.5,1.2200000286102295,0.8867456684478174,277.55139422416687,1712505807,,False,3,c8d00918,2024-04-07_16-03-27,162.41070795059204,527.8248386383057,1146234,vader,131.130.125.97,527.8248386383057,3,256,3,0.0,0.0001
0.9200000166893005,-0.81,0.45,1.5700000524520874,1.25,0.9208050918655274,288.21199375391006,0.7599999904632568,-0.24,0.52,1.1399999856948853,1.0700000524520874,0.7611510267082494,238.24027135968208,1712505966,,False,4,c8d00918,2024-04-07_16-06-06,159.37979221343994,687.2046308517456,1146234,vader,131.130.125.97,687.2046308517456,4,256,3,0.0,0.0001
0.800000011920929,-0.36,0.52,1.1799999475479126,1.090000033378601,0.800910221406827,250.68489930033684,0.6899999976158142,0.0,0.64,0.9200000166893005,0.9599999785423279,0.6874739488664146,215.17934599518776,1712506127,,False,5,c8d00918,2024-04-07_16-08-47,161.29733872413635,848.501969575882,1146234,vader,131.130.125.97,848.501969575882,5,256,3,0.0,0.0001
0.7200000286102295,-0.07,0.57,0.9300000071525574,0.9599999785423279,0.7177157080211578,224.6450166106224,0.6600000262260437,0.12,0.58,0.8100000023841858,0.8999999761581421,0.6592526190197125,206.34606975317,1712506285,,False,6,c8d00918,2024-04-07_16-11-25,157.34130096435547,1005.8432705402374,1146234,vader,131.130.125.97,1005.8432705402374,6,256,3,0.0,0.0001
0.6600000262260437,0.07,0.61,0.800000011920929,0.8999999761581421,0.6639794586375117,207.82557055354118,0.6399999856948853,0.19,0.58,0.7400000095367432,0.8600000143051147,0.6415766517575175,200.813492000103,1712506435,,False,7,c8d00918,2024-04-07_16-13-55,150.62240624427795,1156.4656767845154,1146234,vader,131.130.125.97,1156.4656767845154,7,256,3,0.0,0.0001
0.6100000143051147,0.23,0.65,0.6700000166893005,0.8199999928474426,0.6078373577457648,190.25309297442436,0.5899999737739563,0.34,0.69,0.6000000238418579,0.7799999713897705,0.5944225590069073,186.054260969162,1712506578,,False,8,c8d00918,2024-04-07_16-16-18,142.64836430549622,1299.1140410900116,1146234,vader,131.130.125.97,1299.1140410900116,8,256,3,0.0,0.0001
0.5799999833106995,0.31,0.67,0.6000000238418579,0.7699999809265137,0.5824569950278956,182.3090394437313,0.5400000214576721,0.41,0.76,0.5400000214576721,0.7400000095367432,0.5395017786147877,168.86405670642853,1712506709,,False,9,c8d00918,2024-04-07_16-18-29,130.85455417633057,1429.9685952663422,1146234,vader,131.130.125.97,1429.9685952663422,9,256,3,0.0,0.0001
0.5299999713897705,0.41,0.71,0.5099999904632568,0.7200000286102295,0.5344292251065897,167.27634745836258,0.5199999809265137,0.46,0.74,0.49000000953674316,0.699999988079071,0.5204846568572254,162.91169759631157,1712506839,,False,10,c8d00918,2024-04-07_16-20-39,129.9057743549347,1559.8743696212769,1146234,vader,131.130.125.97,1559.8743696212769,10,256,3,0.0,0.0001
