train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
5.23221,-31.28152,0.07643,28.65596,5.35313,5.232225083894559,7905.892101764679,5.23778,-30.37379,0.07452,28.72996,5.36003,5.237534397914086,1696.9611449241638,5.25414,-32.44354,0.07841,28.87974,5.37399,5.2537797615851884,1702.224642753601
1.19698,-2.42553,0.37082,3.04081,1.74379,1.1968779716564282,1808.482615172863,0.70107,-0.08602,0.64358,0.9945,0.99725,0.7010978920224272,227.15571701526642,0.72532,-0.29235,0.60646,1.11599,1.05641,0.7253960915553717,235.02833366394043
0.63389,0.1545,0.63968,0.75054,0.86634,0.6338928420957077,957.8120844066143,0.54065,0.41027,0.73545,0.54003,0.73487,0.5406443645924698,175.1687741279602,0.54477,0.37241,0.71734,0.54194,0.73617,0.5446432882253035,176.46442538499832
0.54955,0.37371,0.71057,0.55595,0.74562,0.5495347470972097,830.347002863884,0.49466,0.47233,0.77524,0.4832,0.69513,0.49440636577797525,160.18766251206398,0.49874,0.45022,0.76186,0.47476,0.68903,0.4987597832525218,161.59816977381706
0.52478,0.42993,0.73564,0.50605,0.71137,0.524791958590835,792.9606494307518,0.51193,0.4545,0.79468,0.49953,0.70677,0.511729036676295,165.80020788311958,0.51681,0.42452,0.7784,0.49695,0.70494,0.5168182940946685,167.4491272866726
0.50298,0.47528,0.75535,0.46578,0.68248,0.5029656304420027,759.9810675978661,0.48677,0.48699,0.77012,0.46978,0.68541,0.48671537665305314,157.69578203558922,0.49454,0.46218,0.75253,0.46443,0.68149,0.4944897715324237,160.21468597650528
0.48783,0.5062,0.76759,0.43834,0.66207,0.48781378802915504,737.0866337120533,0.52572,0.41151,0.81345,0.5389,0.7341,0.5255753729078505,170.28642082214355,0.52488,0.40573,0.80387,0.51318,0.71636,0.52474170067796,170.01631101965904
0.48198,0.51679,0.7737,0.42894,0.65494,0.48198349927727707,728.2770674079657,0.49799,0.47794,0.74971,0.47806,0.69142,0.4977977522361426,161.2864717245102,0.48795,0.4966,0.7471,0.4347,0.65932,0.48790692068912367,158.08184230327606
0.47377,0.53198,0.77875,0.41545,0.64456,0.47376635495122105,715.860962331295,0.5527,0.35868,0.80275,0.58728,0.76634,0.5526242364703873,179.0502526164055,0.54558,0.34567,0.79146,0.56504,0.75169,0.5455586818265327,176.76101291179657
0.46698,0.54595,0.78421,0.40306,0.63487,0.46697697577927777,705.6022104024887,0.46171,0.51807,0.81134,0.44132,0.66432,0.4619632788278438,149.6761023402214,0.45106,0.53817,0.8104,0.39881,0.63151,0.45100656901428726,146.12612836062908
0.45608,0.56568,0.79234,0.38554,0.62092,0.4560657011642115,689.1152744591236,0.46111,0.53009,0.82073,0.43032,0.65598,0.4614047856978428,149.49515056610107,0.4515,0.5342,0.81362,0.40224,0.63422,0.45160098778612817,146.31872004270554
0.44151,0.58557,0.8024,0.36788,0.60653,0.4414986112826238,667.1044016480446,0.41557,0.61714,0.83324,0.35059,0.59211,0.41580648260352054,134.72130036354065,0.41474,0.61373,0.82121,0.33356,0.57755,0.4147233616238759,134.3703691661358
0.43171,0.6033,0.81035,0.35215,0.59342,0.4317003146040763,652.2991753667593,0.41691,0.60863,0.83066,0.35839,0.59866,0.41697706935214407,135.10057047009468,0.40944,0.62373,0.8256,0.32493,0.57002,0.40936106544585876,132.63298520445824
0.42073,0.62139,0.81891,0.33609,0.57973,0.4207191433853696,635.7066256552935,0.45157,0.58692,0.81211,0.37827,0.61503,0.4513968237572246,146.25257089734077,0.45235,0.58137,0.80817,0.36151,0.60125,0.4523898306084268,146.57430511713028
0.41162,0.63747,0.82488,0.32181,0.56728,0.4116158204943356,621.9515047669411,0.3908,0.6542,0.84534,0.31666,0.56272,0.391018176658286,126.68988923728466,0.3815,0.66995,0.84393,0.28501,0.53387,0.3815015156143977,123.60649105906487
0.40312,0.64637,0.83077,0.31392,0.56028,0.40311830751671845,609.1117626577616,0.39814,0.65084,0.83638,0.31974,0.56545,0.39813653471661203,128.9962372481823,0.39448,0.66014,0.8331,0.29348,0.54174,0.39445547768731176,127.80357477068901
0.39923,0.65398,0.83328,0.30716,0.55422,0.39922273842448985,603.2255577594042,0.44205,0.60436,0.83086,0.3623,0.60192,0.44207270903351864,143.23155772686005,0.44009,0.60849,0.82561,0.33808,0.58145,0.44016468515734614,142.61335799098015
0.38934,0.66578,0.84018,0.29669,0.54469,0.38933396688523786,588.2836239635944,0.4007,0.62967,0.85544,0.33912,0.58234,0.40078013684646585,129.85276433825493,0.3906,0.64778,0.85233,0.30416,0.5515,0.3906386285836314,126.56691566109657
0.3841,0.67596,0.8438,0.28764,0.53632,0.38408985202435547,580.3597664088011,0.37676,0.6777,0.85979,0.29514,0.54327,0.3767384756586434,122.06326611340046,0.37042,0.68772,0.85505,0.26967,0.51929,0.3705493731447208,120.05799689888954
0.38077,0.68143,0.84593,0.28279,0.53178,0.380774422405099,575.3501522541046,0.3731,0.67875,0.85623,0.29418,0.54238,0.373091061818011,120.88150402903557,0.36631,0.69415,0.85429,0.26411,0.51392,0.36628361221080946,118.67589035630226
0.37498,0.68956,0.85005,0.27557,0.52495,0.37499114408507245,566.6116187125444,0.37653,0.68953,0.8599,0.2843,0.5332,0.3766433477493716,122.0324446707964,0.37284,0.6947,0.85408,0.26364,0.51346,0.3727994563494935,120.78702385723591
0.36859,0.69767,0.85459,0.26837,0.51805,0.3686045057465113,556.9614081829786,0.38263,0.68278,0.85605,0.29049,0.53897,0.38247569820579186,123.92212621867657,0.37839,0.68983,0.8525,0.26784,0.51753,0.3783235614774404,122.57683391869068
0.36618,0.70123,0.85555,0.26521,0.51499,0.36617719228696854,553.2937375456095,0.37139,0.68572,0.85669,0.2878,0.53647,0.37132444402869835,120.30911986529827,0.36866,0.69294,0.84941,0.26516,0.51494,0.3685622745090061,119.41417694091797
0.35989,0.711,0.86144,0.25654,0.5065,0.35989830515228466,543.8063390851021,0.37562,0.68742,0.86409,0.28624,0.53502,0.37544954163424765,121.64565148949623,0.37137,0.69642,0.86118,0.26215,0.51201,0.3712624040098838,120.28901889920235
0.35508,0.71743,0.86421,0.25084,0.50084,0.3550676661737702,536.5072435885668,0.36368,0.68135,0.85974,0.2918,0.54018,0.36364652450989793,117.82147394120693,0.35617,0.69756,0.85882,0.26117,0.51105,0.356225573124341,115.41708569228649
0.35212,0.72243,0.86605,0.2464,0.49638,0.35211763183341604,532.0497417002916,0.37047,0.70031,0.86654,0.27444,0.52387,0.37052737668524555,120.05087004601955,0.36388,0.70981,0.86404,0.25059,0.50059,0.3638647715158669,117.89218597114086
0.34702,0.72915,0.87009,0.24043,0.49034,0.34700759323246033,524.3284733742476,0.35189,0.70759,0.87179,0.26777,0.51746,0.3521222664894145,114.0876143425703,0.34313,0.72115,0.86919,0.2408,0.49071,0.3432216016506707,111.20379893481731
0.34282,0.73386,0.87239,0.23625,0.48606,0.3428039261830871,517.9767324626446,0.35946,0.69873,0.86202,0.27588,0.52525,0.3592705453895492,116.40365670621395,0.35576,0.70412,0.85769,0.2555,0.50547,0.3557430569680385,115.26075045764446
0.34089,0.73742,0.87475,0.23309,0.48279,0.3408931947105535,515.0896172076464,0.33921,0.72912,0.87832,0.24805,0.49805,0.3391347387690603,109.87965536117554,0.33085,0.74434,0.87846,0.22077,0.46987,0.3307706706777767,107.16969729959965
0.33602,0.74387,0.87737,0.22737,0.47683,0.33602427981650884,507.73268680274487,0.35594,0.71961,0.87536,0.25676,0.50672,0.3561381773080355,115.3887694478035,0.34867,0.72955,0.87397,0.23354,0.48326,0.34864253569164394,112.96018156409264
0.33316,0.74647,0.87916,0.22505,0.4744,0.3331553204457228,503.39768919348717,0.33895,0.71962,0.87882,0.25676,0.50671,0.33902169000587346,109.843027561903,0.33103,0.73405,0.87612,0.22965,0.47922,0.33107394136396456,107.26795700192451
0.33169,0.74829,0.88038,0.22344,0.4727,0.3316936121722233,501.18904799222946,0.341,0.71023,0.87754,0.26535,0.51513,0.34092636806545434,110.4601432532072,0.335,0.7235,0.87389,0.23877,0.48864,0.334991823191996,108.5373507142067
0.32813,0.755,0.88233,0.21748,0.46635,0.3281317072877972,495.8070097118616,0.3511,0.71157,0.87512,0.26413,0.51393,0.3511559824332779,113.77453830838203,0.34094,0.72315,0.87163,0.23907,0.48895,0.3408446319309282,110.43366074562073
0.32535,0.75859,0.88429,0.21429,0.46292,0.32535862025245776,491.6168752014637,0.34504,0.7252,0.87905,0.25164,0.50164,0.3451879190993898,111.84088578820229,0.33955,0.73441,0.87526,0.22935,0.4789,0.33956868031326637,110.0202524214983
0.32387,0.76034,0.88499,0.21274,0.46124,0.3238567511799476,489.3475510329008,0.34459,0.73487,0.88129,0.24279,0.49273,0.3446650790211595,111.67148560285568,0.3365,0.74491,0.87992,0.22028,0.46934,0.3365219375233591,109.03310775756836
0.32056,0.76481,0.88842,0.20878,0.45692,0.32055394602957976,484.35701245069504,0.34065,0.71653,0.88275,0.25958,0.50949,0.34062046079355995,110.36102929711342,0.33361,0.72768,0.87818,0.23515,0.48493,0.3335116950358138,108.05778919160366
0.31724,0.76882,0.88992,0.20522,0.45301,0.3172523002802813,479.368225723505,0.34371,0.72478,0.88098,0.25202,0.50202,0.34359780119525063,111.3256875872612,0.33967,0.7265,0.875,0.23618,0.48598,0.33970432066255146,110.06419989466667
0.31558,0.77276,0.89153,0.20172,0.44913,0.31555764404730163,476.80760015547276,0.32915,0.73853,0.88503,0.23943,0.48932,0.3290984641622614,106.62790238857269,0.32024,0.75073,0.88371,0.21525,0.46395,0.32013138677970865,103.7225693166256
0.31385,0.77457,0.89246,0.20011,0.44734,0.3138456526258621,474.2207811176777,0.32526,0.74923,0.88765,0.22963,0.4792,0.32517942570057917,105.35813392698765,0.32275,0.74747,0.88063,0.21807,0.46698,0.32275917698387746,104.5739733427763
0.31073,0.77913,0.89449,0.19606,0.44279,0.3107316476532673,469.5155196040869,0.32669,0.74638,0.88598,0.23225,0.48192,0.326629622069038,105.82799755036831,0.32092,0.75241,0.88135,0.21381,0.46239,0.320888171363392,103.967767521739
0.3068,0.78435,0.89708,0.19143,0.43753,0.30679320124385373,463.564527079463,0.33171,0.74847,0.88737,0.23034,0.47993,0.3317338314689236,107.48176139593124,0.32634,0.75304,0.88349,0.21326,0.4618,0.32639496368758475,105.75196823477745
0.30493,0.78653,0.89776,0.18949,0.43531,0.30493915824602963,460.76306810975075,0.33097,0.74295,0.88468,0.23539,0.48517,0.33120442853297716,107.3102348446846,0.32399,0.74949,0.88234,0.21633,0.46511,0.32401772616086183,104.98174327611923
0.3009,0.79116,0.90046,0.18539,0.43056,0.30091820870267877,454.68741334974766,0.32293,0.75442,0.89141,0.22488,0.47422,0.32313695885700944,104.69637466967106,0.31838,0.75887,0.88688,0.20823,0.45632,0.318462018015576,103.18169383704662
0.29842,0.7935,0.90137,0.18331,0.42814,0.29844613035020257,450.95210295915604,0.32314,0.75104,0.88718,0.22798,0.47747,0.3232060741679168,104.71876803040504,0.31749,0.75557,0.88255,0.21107,0.45942,0.31759129791164104,102.8995805233717
0.29619,0.79549,0.90263,0.18154,0.42608,0.29618326756513963,447.532917290926,0.31528,0.7669,0.89387,0.21345,0.46201,0.3151304024145191,102.10225038230419,0.31047,0.76933,0.89096,0.19919,0.44631,0.31049401579815666,100.60006111860275
0.29435,0.80015,0.90445,0.1774,0.42119,0.2943372625554342,444.743603721261,0.31792,0.76442,0.89297,0.21573,0.46447,0.3180377503144152,103.04423110187054,0.31436,0.76401,0.88805,0.20378,0.45142,0.31441443289319676,101.87027625739574
0.29149,0.80135,0.90546,0.17634,0.41993,0.29148807894860096,440.43848729133606,0.31875,0.76098,0.89468,0.21888,0.46784,0.31860910098493833,103.22934871912003,0.31363,0.76043,0.88932,0.20688,0.45484,0.31363543550725337,101.61788110435009
0.28891,0.8067,0.90729,0.17159,0.41424,0.28890581543401406,436.53668712079525,0.31296,0.77221,0.8974,0.20859,0.45672,0.31291474259378,101.38437660038471,0.30624,0.774,0.89381,0.19516,0.44177,0.3062564453776972,99.22708830237389
0.28675,0.80967,0.90862,0.16895,0.41104,0.28675573647101144,433.28791780769825,0.31317,0.77028,0.89598,0.21036,0.45865,0.31311790001245193,101.45019960403442,0.3079,0.7724,0.89195,0.19654,0.44333,0.307892957587301,99.75731825828552
0.28366,0.81231,0.91002,0.16661,0.40818,0.2836600182113231,428.6102875173092,0.31938,0.75567,0.89339,0.22374,0.47302,0.3193566610139829,103.47155816853046,0.31259,0.76111,0.89069,0.20629,0.45419,0.31246905369155203,101.23997339606285
0.28138,0.81436,0.91127,0.16479,0.40594,0.2813782243835934,425.1624970436096,0.31467,0.77127,0.89602,0.20945,0.45766,0.3146091318332855,101.93335871398449,0.30875,0.76931,0.8916,0.19921,0.44633,0.308752970011146,100.0359622836113
0.27987,0.81609,0.912,0.16325,0.40405,0.279865996518883,422.8775207400322,0.31721,0.75995,0.89544,0.21982,0.46885,0.317131450606717,102.75058999657631,0.31044,0.7618,0.89152,0.2057,0.45354,0.3104047034349706,100.57112391293049
0.27727,0.82028,0.91392,0.15953,0.39942,0.2772705311671856,418.95577259361744,0.31656,0.76668,0.89478,0.21366,0.46224,0.3166452679829097,102.59306682646275,0.30785,0.77197,0.89222,0.19691,0.44375,0.30777288007515446,99.71841314435005
0.27492,0.82327,0.91546,0.15688,0.39609,0.2749099519022406,415.3889373242855,0.30834,0.77478,0.89853,0.20624,0.45414,0.3085061958818524,99.95600746572018,0.30271,0.77506,0.89418,0.19425,0.44074,0.3026909732984172,98.07187534868717
0.27188,0.82617,0.91692,0.1543,0.39281,0.27188530655036613,410.8186981976032,0.31162,0.77507,0.8973,0.20598,0.45385,0.31155164755972814,100.94273380935192,0.30545,0.77423,0.89329,0.19496,0.44155,0.3054369095666909,98.96155869960785
0.26983,0.82828,0.91784,0.15244,0.39043,0.2698318685110952,407.7159533202648,0.31029,0.7715,0.89745,0.20924,0.45743,0.3102287303334401,100.51410862803459,0.30363,0.77692,0.89477,0.19264,0.43891,0.30355206315900074,98.35086846351624
0.26705,0.83151,0.91949,0.14957,0.38674,0.2670573862300339,403.5237105935812,0.31101,0.77693,0.89814,0.20427,0.45196,0.3109513005172765,100.74822136759758,0.30513,0.77672,0.894,0.19281,0.4391,0.3051436343862687,98.86653754115105
0.26383,0.83437,0.92076,0.14703,0.38344,0.26383426475808924,398.6535740494728,0.30783,0.78372,0.90079,0.19805,0.44503,0.3078338009891687,99.73815152049065,0.30471,0.77778,0.89435,0.1919,0.43806,0.304807575672497,98.75765451788902
