train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
5.5398,-34.88012,-0.13439,31.8504,5.64362,5.539787645295785,8370.619132041931,5.51231,-33.47879,-0.16027,31.5733,5.61901,5.512737449304558,1786.1269335746765,5.55189,-36.02261,-0.1551,31.9704,5.65424,5.551623086870452,1798.7258801460266
1.17949,-2.39717,0.35803,3.01563,1.73656,1.1793857279358755,1782.051834911108,0.55988,0.36375,0.70233,0.58263,0.7633,0.5599707399989352,181.430519759655,0.56853,0.29934,0.68521,0.60504,0.77784,0.5684410929679871,184.1749141216278
0.58143,0.29651,0.67358,0.62448,0.79024,0.5814404613446275,878.556537091732,0.48624,0.50842,0.78161,0.45016,0.67094,0.4861824552953979,157.52311551570892,0.50257,0.3947,0.76587,0.5227,0.72298,0.5026050538376525,162.84403744339943
0.51613,0.4558,0.73316,0.48308,0.69504,0.516106380582408,779.8367410600185,0.45736,0.56263,0.80143,0.40051,0.63286,0.45739198476076126,148.19500306248665,0.45199,0.54894,0.79522,0.3895,0.6241,0.4520177602951909,146.45375433564186
0.49475,0.49137,0.75274,0.4515,0.67194,0.4947360965844261,747.5462419390678,0.53378,0.45876,0.74545,0.49563,0.70401,0.5338774346459059,172.9762888252735,0.5348,0.42556,0.73454,0.49605,0.70431,0.5348525567923064,173.29222840070724
0.48224,0.51911,0.76443,0.42688,0.65336,0.48223402072545474,728.6556053161621,0.43152,0.5969,0.80075,0.36913,0.60756,0.43160655901387884,139.84052512049675,0.44356,0.527,0.79221,0.40846,0.63911,0.44355500645843554,143.7118220925331
0.47171,0.54384,0.77506,0.40492,0.63634,0.471699829274341,712.7384420335293,0.4452,0.60562,0.8227,0.36115,0.60096,0.4457454671278412,144.42153134942055,0.45954,0.52287,0.80793,0.41202,0.64189,0.45956804543549634,148.9000467211008
0.45682,0.57196,0.78717,0.37997,0.61642,0.4568184797314916,690.2527228742838,0.43793,0.59017,0.79966,0.3753,0.61261,0.438002434041765,141.91278862953186,0.42989,0.60615,0.79762,0.34011,0.58319,0.4298642407412882,139.27601400017738
0.44846,0.59163,0.79534,0.36251,0.60209,0.4484922380971246,677.6717717647552,0.42661,0.63367,0.82374,0.33546,0.57919,0.4266301146995874,138.22815716266632,0.42195,0.63895,0.81832,0.31178,0.55837,0.4219452117880185,136.710248619318
0.44124,0.60521,0.80177,0.35045,0.59199,0.44125309752202996,666.7334303557873,0.41624,0.63709,0.83722,0.33233,0.57648,0.4163805759615368,134.90730661153793,0.41186,0.64334,0.83706,0.30799,0.55496,0.41178459416569013,133.4182085096836
0.43388,0.61354,0.8075,0.34306,0.58571,0.43384895552119856,655.545771792531,0.37881,0.6952,0.85467,0.27911,0.52831,0.37885244084913056,122.7481908351183,0.37905,0.68813,0.84638,0.26931,0.51895,0.3789452774749126,122.77826990187168
0.422,0.63518,0.81747,0.32385,0.56908,0.421990384336026,637.6274707317352,0.4612,0.55913,0.85116,0.40372,0.63539,0.46100862158669365,149.36679339408875,0.45553,0.56173,0.84412,0.37847,0.6152,0.4555827217337526,147.60880184173584
0.41066,0.65448,0.82539,0.30672,0.55382,0.4106604582836579,620.5079524666071,0.40416,0.67169,0.84988,0.30064,0.54831,0.40419910940123194,130.96051144599915,0.40527,0.65127,0.83751,0.30114,0.54877,0.40529989736315647,131.3171667456627
0.40686,0.66153,0.82902,0.30046,0.54814,0.4069023821959032,614.8294994980097,0.40028,0.65684,0.84059,0.31424,0.56057,0.40037617349514254,129.72188021242619,0.39583,0.66254,0.83691,0.29141,0.53983,0.3958278487861892,128.2482230067253
0.39677,0.678,0.83701,0.28583,0.53463,0.3967650483906624,599.5119881182909,0.38855,0.68703,0.85108,0.2866,0.53535,0.3885489595984971,125.88986290991306,0.3854,0.67777,0.84318,0.27826,0.52751,0.38532531587981883,124.8454023450613
