train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
5.2658,-31.58934,-0.04231,28.92922,5.37859,5.2657815799422805,7956.595967292786,5.23333,-30.26286,-0.04765,28.62838,5.35055,5.233361915305808,1695.609260559082,5.2682,-32.53744,-0.0441,28.96083,5.38153,5.268487399007067,1706.9899172782898
1.36471,-3.11076,0.30837,3.64908,1.91026,1.3647128546340508,2062.081123352051,0.69821,-0.01783,0.58362,0.93206,0.96543,0.6984166140541618,226.28698295354843,0.68706,-0.06228,0.58702,0.91732,0.95777,0.6870856441465425,222.61574870347977
0.67694,0.03286,0.5846,0.85852,0.92656,0.6768964224505472,1022.7904943227768,0.59242,0.28334,0.66044,0.65627,0.8101,0.5923044944618955,191.90665620565414,0.58882,0.25294,0.6532,0.64512,0.80319,0.5887913684602137,190.76840338110924
0.55718,0.35657,0.68642,0.57117,0.75576,0.557201720621316,841.9317998588085,0.65751,0.26393,0.73106,0.67404,0.821,0.6575735042124619,213.05381536483765,0.65784,0.22242,0.72614,0.67147,0.81943,0.6579516277085116,213.17632737755775
0.51399,0.45513,0.72849,0.48367,0.69547,0.5139845306316327,776.6306257843971,0.49125,0.49264,0.7718,0.46461,0.68162,0.4912645478307465,159.16971349716187,0.48438,0.49317,0.76784,0.43767,0.66157,0.4843642121111905,156.93400472402573
0.49563,0.48983,0.74801,0.45287,0.67296,0.49561164648938383,748.869197845459,0.57525,0.4224,0.77265,0.52893,0.72728,0.5750967241179796,186.3313386142254,0.5799,0.39186,0.75312,0.52515,0.72467,0.579810280582787,187.858530908823
0.48064,0.52139,0.75952,0.42486,0.65181,0.4806208721972869,726.2181378901005,0.58533,0.33515,0.68588,0.60882,0.78027,0.5851392140726984,189.5851053595543,0.58737,0.31196,0.68698,0.59414,0.77081,0.587146250370108,190.235385119915
0.47193,0.54007,0.76842,0.40828,0.63897,0.4719029772190918,713.0453985780478,0.49384,0.50896,0.78936,0.44966,0.67056,0.4938136790821582,159.99563202261925,0.48976,0.51435,0.78182,0.41937,0.64759,0.4898224949468801,158.70248836278915
0.46232,0.55708,0.77671,0.39318,0.62704,0.4623024787514672,698.539045393467,0.45489,0.57415,0.8057,0.38997,0.62447,0.4547655587946927,147.34404104948044,0.44416,0.5842,0.80046,0.35906,0.59921,0.4441483135760566,143.90405359864235
0.45114,0.57974,0.78603,0.37306,0.61078,0.45113786911033465,681.6693202257156,0.41675,0.63442,0.82531,0.33477,0.57859,0.4165839721667178,134.97320698201656,0.41307,0.64103,0.81994,0.30999,0.55677,0.4130765529418433,133.83680315315723
