train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.49,0.46,0.77,0.58,0.54,0.7971934027531568,27.10457569360733,0.44,0.44,0.67,0.53,0.5,0.8792998194694519,4.3964990973472595,1712415901,,False,1,9e8cba0b,2024-04-06_17-05-01,26.64182424545288,26.64182424545288,1660055,jyn,131.130.125.89,26.64182424545288,1,128,3,0.0,0.0001
0.58,0.52,0.65,0.58,0.6,0.7013032173409182,23.844309389591217,0.48,0.46,0.5,0.48,0.49,0.7644001364707946,3.8220006823539734,1712415922,,False,2,9e8cba0b,2024-04-06_17-05-22,20.39172887802124,47.03355312347412,1660055,jyn,131.130.125.89,47.03355312347412,2,128,3,0.0,0.0001
0.67,0.61,0.72,0.66,0.73,0.6074227173538769,20.652372390031815,0.5,0.49,0.74,0.59,0.57,0.7452207446098328,3.726103723049164,1712415943,,False,3,9e8cba0b,2024-04-06_17-05-43,21.144096612930298,68.17764973640442,1660055,jyn,131.130.125.89,68.17764973640442,3,128,3,0.0,0.0001
0.7,0.67,0.66,0.66,0.78,0.5635025606435888,19.15908706188202,0.56,0.53,0.56,0.54,0.6,0.6889882206916809,3.4449411034584045,1712415964,,False,4,9e8cba0b,2024-04-06_17-06-04,21.182267904281616,89.35991764068604,1660055,jyn,131.130.125.89,89.35991764068604,4,128,3,0.0,0.0001
0.77,0.73,0.76,0.75,0.83,0.52308628839605,17.7849338054657,0.67,0.61,0.85,0.71,0.72,0.6151430010795593,3.0757150053977966,1712415985,,False,5,9e8cba0b,2024-04-06_17-06-25,21.02556824684143,110.38548588752747,1660055,jyn,131.130.125.89,110.38548588752747,5,128,3,0.0,0.0001
0.77,0.74,0.74,0.74,0.84,0.5077286651905846,17.262774616479874,0.64,0.6,0.72,0.66,0.68,0.6573300838470459,3.2866504192352295,1712416006,,False,6,9e8cba0b,2024-04-06_17-06-46,20.990355253219604,131.37584114074707,1660055,jyn,131.130.125.89,131.37584114074707,6,128,3,0.0,0.0001
0.79,0.75,0.78,0.76,0.85,0.4898856387418859,16.65611171722412,0.64,0.6,0.72,0.65,0.67,0.6980059146881104,3.4900295734405518,1712416025,,False,7,9e8cba0b,2024-04-06_17-07-05,18.96724033355713,150.3430814743042,1660055,jyn,131.130.125.89,150.3430814743042,7,128,3,0.0,0.0001
0.79,0.75,0.78,0.77,0.85,0.48515351204311147,16.49521940946579,0.66,0.66,0.58,0.62,0.66,0.7862684249877929,3.931342124938965,1712416044,,False,8,9e8cba0b,2024-04-06_17-07-24,19.05470323562622,169.39778470993042,1660055,jyn,131.130.125.89,169.39778470993042,8,128,3,0.0,0.0001
0.8,0.76,0.79,0.77,0.87,0.46357768248109255,15.761641204357147,0.72,0.64,0.9,0.75,0.75,0.7101209282875061,3.5506046414375305,1712416062,,False,9,9e8cba0b,2024-04-06_17-07-42,17.71522045135498,187.1130051612854,1660055,jyn,131.130.125.89,187.1130051612854,9,128,3,0.0,0.0001
0.8,0.78,0.78,0.78,0.88,0.431228827465983,14.661780133843422,0.66,0.63,0.71,0.67,0.73,0.6233436822891235,3.1167184114456177,1712416079,,False,10,9e8cba0b,2024-04-06_17-07-59,16.72270441055298,203.83570957183838,1660055,jyn,131.130.125.89,203.83570957183838,10,128,3,0.0,0.0001
0.81,0.8,0.77,0.79,0.87,0.44048332773587284,14.976433143019676,0.68,0.67,0.64,0.65,0.7,0.7260576009750366,3.630288004875183,1712416095,,False,11,9e8cba0b,2024-04-06_17-08-15,16.551634550094604,220.38734412193298,1660055,jyn,131.130.125.89,220.38734412193298,11,128,3,0.0,0.0001
0.81,0.8,0.78,0.79,0.89,0.43450994351330924,14.773338079452515,0.66,0.68,0.54,0.6,0.66,0.8428091168403625,4.214045584201813,1712416112,,False,12,9e8cba0b,2024-04-06_17-08-32,16.90971565246582,237.2970597743988,1660055,jyn,131.130.125.89,237.2970597743988,12,128,3,0.0,0.0001
0.82,0.79,0.79,0.79,0.89,0.4209807927117628,14.313346952199936,0.68,0.63,0.79,0.7,0.72,0.8140313625335693,4.070156812667847,1712416129,,False,13,9e8cba0b,2024-04-06_17-08-49,16.67497968673706,253.97203946113586,1660055,jyn,131.130.125.89,253.97203946113586,13,128,3,0.0,0.0001
0.81,0.79,0.79,0.79,0.88,0.43622537483187285,14.831662744283676,0.61,0.56,0.88,0.68,0.65,1.0642997860908507,5.321498930454254,1712416146,,False,14,9e8cba0b,2024-04-06_17-09-06,17.638360738754272,271.61040019989014,1660055,jyn,131.130.125.89,271.61040019989014,14,128,3,0.0,0.0001
0.82,0.79,0.8,0.79,0.88,0.433315701344434,14.732733845710754,0.67,0.72,0.5,0.59,0.73,0.6719166159629821,3.359583079814911,1712416163,,False,15,9e8cba0b,2024-04-06_17-09-23,17.064374208450317,288.67477440834045,1660055,jyn,131.130.125.89,288.67477440834045,15,128,3,0.0,0.0001
0.81,0.79,0.79,0.79,0.89,0.41324516166658964,14.050335496664047,0.64,0.66,0.53,0.58,0.62,1.0764456629753112,5.382228314876556,1712416180,,False,16,9e8cba0b,2024-04-06_17-09-40,16.75535297393799,305.43012738227844,1660055,jyn,131.130.125.89,305.43012738227844,16,128,3,0.0,0.0001
0.85,0.83,0.85,0.84,0.92,0.3657818936249789,12.436584383249283,0.73,0.7,0.76,0.73,0.77,0.6059049785137176,3.0295248925685883,1712416197,,False,17,9e8cba0b,2024-04-06_17-09-57,16.749770402908325,322.17989778518677,1660055,jyn,131.130.125.89,322.17989778518677,17,128,3,0.0,0.0001
0.85,0.82,0.83,0.83,0.92,0.37338493808227424,12.695087894797325,0.64,0.6,0.74,0.66,0.71,0.6884274840354919,3.4421374201774597,1712416214,,False,18,9e8cba0b,2024-04-06_17-10-14,17.26607370376587,339.44597148895264,1660055,jyn,131.130.125.89,339.44597148895264,18,128,3,0.0,0.0001
0.83,0.81,0.81,0.81,0.91,0.38598740188514485,13.123571664094925,0.68,0.66,0.65,0.66,0.73,0.6428418576717376,3.2142092883586884,1712416233,,False,19,9e8cba0b,2024-04-06_17-10-33,18.346259593963623,357.79223108291626,1660055,jyn,131.130.125.89,357.79223108291626,19,128,3,0.0,0.0001
0.82,0.81,0.79,0.8,0.9,0.41272664333091064,14.032705873250961,0.64,0.65,0.51,0.57,0.67,0.9324257850646973,4.662128925323486,1712416251,,False,20,9e8cba0b,2024-04-06_17-10-51,17.9690899848938,375.76132106781006,1660055,jyn,131.130.125.89,375.76132106781006,20,128,3,0.0,0.0001
0.86,0.84,0.85,0.85,0.92,0.3483160813065136,11.842746764421463,0.72,0.7,0.74,0.72,0.78,0.5905357599258423,2.9526787996292114,1712416270,,False,21,9e8cba0b,2024-04-06_17-11-10,19.43611240386963,395.1974334716797,1660055,jyn,131.130.125.89,395.1974334716797,21,128,3,0.0,0.0001
0.85,0.83,0.83,0.83,0.92,0.35763779194915996,12.159684926271439,0.7,0.69,0.68,0.69,0.75,0.6294130206108093,3.1470651030540466,1712416289,,False,22,9e8cba0b,2024-04-06_17-11-29,18.820958375930786,414.0183918476105,1660055,jyn,131.130.125.89,414.0183918476105,22,128,3,0.0,0.0001
