train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.55,0.47,0.07,0.12,0.49,0.8808033203377443,29.947312891483307,0.48,0.25,0.04,0.07,0.41,1.0922760725021363,5.461380362510681,1712524941,,False,1,f0d324b4,2024-04-07_23-22-21,35.857182025909424,35.857182025909424,12156,AT-MB-PC-E13,127.0.0.1,35.857182025909424,1,256,6,0.2,0.001
0.6,0.56,0.47,0.51,0.62,0.7176381034009597,24.39969551563263,0.52,0.0,0.0,0.0,0.45,1.50233051776886,7.511652588844299,1712524967,,False,2,f0d324b4,2024-04-07_23-22-47,26.117316961288452,61.974498987197876,12156,AT-MB-PC-E13,127.0.0.1,61.974498987197876,2,256,6,0.2,0.001
0.68,0.66,0.58,0.62,0.73,0.6297831184723798,21.412626028060913,0.54,0.52,0.44,0.48,0.6,0.770046842098236,3.8502342104911804,1712524994,,False,3,f0d324b4,2024-04-07_23-23-14,26.843916416168213,88.81841540336609,12156,AT-MB-PC-E13,127.0.0.1,88.81841540336609,3,256,6,0.2,0.001
0.7,0.68,0.62,0.65,0.76,0.590993055525948,20.093763887882233,0.58,0.58,0.42,0.48,0.65,0.715606963634491,3.578034818172455,1712525021,,False,4,f0d324b4,2024-04-07_23-23-41,26.67557716369629,115.49399256706238,12156,AT-MB-PC-E13,127.0.0.1,115.49399256706238,4,256,6,0.2,0.001
0.71,0.67,0.69,0.68,0.78,0.5719069619389141,19.44483670592308,0.6,0.56,0.74,0.63,0.64,0.7997587442398071,3.9987937211990356,1712525048,,False,5,f0d324b4,2024-04-07_23-24-08,27.033971786499023,142.5279643535614,12156,AT-MB-PC-E13,127.0.0.1,142.5279643535614,5,256,6,0.2,0.001
0.72,0.68,0.68,0.68,0.78,0.589689776301384,20.049452394247055,0.64,0.58,0.86,0.69,0.74,0.7426468729972839,3.7132343649864197,1712525075,,False,6,f0d324b4,2024-04-07_23-24-35,26.833523988723755,169.36148834228516,12156,AT-MB-PC-E13,127.0.0.1,169.36148834228516,6,256,6,0.2,0.001
0.73,0.7,0.68,0.69,0.79,0.569802892558715,19.373298346996307,0.67,0.67,0.61,0.64,0.71,0.6754653871059417,3.377326935529709,1712525102,,False,7,f0d324b4,2024-04-07_23-25-02,26.661247730255127,196.02273607254028,12156,AT-MB-PC-E13,127.0.0.1,196.02273607254028,7,256,6,0.2,0.001
0.73,0.69,0.7,0.7,0.81,0.5327136875951991,18.11226537823677,0.62,0.58,0.72,0.64,0.72,0.7397180914878845,3.6985904574394226,1712525129,,False,8,f0d324b4,2024-04-07_23-25-29,26.97627568244934,222.99901175498962,12156,AT-MB-PC-E13,127.0.0.1,222.99901175498962,8,256,6,0.2,0.001
0.73,0.7,0.69,0.7,0.8,0.5577690653941211,18.964148223400116,0.64,0.62,0.62,0.62,0.7,0.7082222819328308,3.541111409664154,1712525155,,False,9,f0d324b4,2024-04-07_23-25-55,26.94114398956299,249.9401557445526,12156,AT-MB-PC-E13,127.0.0.1,249.9401557445526,9,256,6,0.2,0.001
0.74,0.7,0.72,0.71,0.8,0.546073218478876,18.566489428281784,0.6,0.56,0.76,0.65,0.69,0.7956468045711518,3.9782340228557587,1712525182,,False,10,f0d324b4,2024-04-07_23-26-22,26.353522777557373,276.29367852211,12156,AT-MB-PC-E13,127.0.0.1,276.29367852211,10,256,6,0.2,0.001
0.76,0.74,0.71,0.72,0.82,0.5229086648015415,17.77889460325241,0.6,0.57,0.72,0.63,0.63,0.9191690325737,4.5958451628685,1712525209,,False,11,f0d324b4,2024-04-07_23-26-49,27.086435794830322,303.3801143169403,12156,AT-MB-PC-E13,127.0.0.1,303.3801143169403,11,256,6,0.2,0.001
0.77,0.72,0.78,0.75,0.83,0.5103436375365538,17.35168367624283,0.53,0.51,0.26,0.35,0.6,0.7524060010910034,3.762030005455017,1712525236,,False,12,f0d324b4,2024-04-07_23-27-16,26.763604164123535,330.14371848106384,12156,AT-MB-PC-E13,127.0.0.1,330.14371848106384,12,256,6,0.2,0.001
0.74,0.71,0.69,0.7,0.81,0.547021375859485,18.59872677922249,0.62,0.57,0.81,0.67,0.72,0.6583350300788879,3.2916751503944397,1712525262,,False,13,f0d324b4,2024-04-07_23-27-42,26.731220483779907,356.87493896484375,12156,AT-MB-PC-E13,127.0.0.1,356.87493896484375,13,256,6,0.2,0.001
0.77,0.73,0.79,0.76,0.84,0.4879292451283511,16.589594334363937,0.64,0.76,0.35,0.48,0.72,1.1152554154396057,5.576277077198029,1712525289,,False,14,f0d324b4,2024-04-07_23-28-09,26.675249576568604,383.55018854141235,12156,AT-MB-PC-E13,127.0.0.1,383.55018854141235,14,256,6,0.2,0.001
0.78,0.74,0.76,0.75,0.85,0.48120902128079357,16.361106723546982,0.72,0.66,0.85,0.74,0.74,0.6516031146049499,3.2580155730247498,1712525316,,False,15,f0d324b4,2024-04-07_23-28-36,26.807785034179688,410.35797357559204,12156,AT-MB-PC-E13,127.0.0.1,410.35797357559204,15,256,6,0.2,0.001
0.78,0.76,0.76,0.76,0.86,0.4665638865793453,15.863172143697739,0.67,0.62,0.76,0.69,0.66,0.7545835137367248,3.7729175686836243,1712525343,,False,16,f0d324b4,2024-04-07_23-29-03,26.843339920043945,437.201313495636,12156,AT-MB-PC-E13,127.0.0.1,437.201313495636,16,256,6,0.2,0.001
