train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.55,0.0,0.0,0.0,0.53,1.5704564890440773,53.39552062749863,0.52,0.0,0.0,0.0,0.43,1.937893772125244,9.68946886062622,1712759888,,False,1,70ba21e6,2024-04-10_16-38-08,54.72901749610901,54.72901749610901,28980,AT-MB-PC-E13,127.0.0.1,54.72901749610901,1,256,6,0.0,0.0001
0.58,0.64,0.14,0.23,0.6,0.9900032053975498,33.66010898351669,0.52,0.0,0.0,0.0,0.48,1.2224321007728576,6.112160503864288,1712759930,,False,2,70ba21e6,2024-04-10_16-38-50,42.47765302658081,97.20667052268982,28980,AT-MB-PC-E13,127.0.0.1,97.20667052268982,2,256,6,0.0,0.0001
0.67,0.66,0.54,0.59,0.73,0.6064041616285548,20.617741495370865,0.57,0.56,0.46,0.5,0.56,0.8139782905578613,4.069891452789307,1712759972,,False,3,70ba21e6,2024-04-10_16-39-32,42.36969017982483,139.57636070251465,28980,AT-MB-PC-E13,127.0.0.1,139.57636070251465,3,256,6,0.0,0.0001
0.73,0.71,0.66,0.68,0.8,0.5364490756217171,18.239268571138382,0.63,0.6,0.69,0.64,0.65,0.7799954175949096,3.8999770879745483,1712760013,,False,4,70ba21e6,2024-04-10_16-40-13,41.05388832092285,180.6302490234375,28980,AT-MB-PC-E13,127.0.0.1,180.6302490234375,4,256,6,0.0,0.0001
0.75,0.72,0.71,0.72,0.82,0.5313436143538531,18.065682888031006,0.58,0.56,0.62,0.59,0.63,0.7596714854240417,3.7983574271202087,1712760056,,False,5,70ba21e6,2024-04-10_16-40-56,42.80372619628906,223.43397521972656,28980,AT-MB-PC-E13,127.0.0.1,223.43397521972656,5,256,6,0.0,0.0001
0.76,0.74,0.7,0.72,0.82,0.5121562358211068,17.413312017917633,0.64,0.59,0.76,0.67,0.64,0.8235476613044739,4.117738306522369,1712760099,,False,6,70ba21e6,2024-04-10_16-41-39,43.079267740249634,266.5132429599762,28980,AT-MB-PC-E13,127.0.0.1,266.5132429599762,6,256,6,0.0,0.0001
0.76,0.73,0.73,0.73,0.84,0.5032627074157491,17.110932052135468,0.63,0.62,0.56,0.59,0.68,0.7240186333656311,3.6200931668281555,1712760143,,False,7,70ba21e6,2024-04-10_16-42-23,43.24054312705994,309.75378608703613,28980,AT-MB-PC-E13,127.0.0.1,309.75378608703613,7,256,6,0.0,0.0001
0.77,0.76,0.69,0.72,0.85,0.4744320573175655,16.130689948797226,0.63,0.6,0.69,0.64,0.65,0.8544323205947876,4.272161602973938,1712760184,,False,8,70ba21e6,2024-04-10_16-43-04,41.855672121047974,351.6094582080841,28980,AT-MB-PC-E13,127.0.0.1,351.6094582080841,8,256,6,0.0,0.0001
0.79,0.77,0.75,0.76,0.87,0.4569321143276551,15.535691887140274,0.54,0.55,0.25,0.34,0.7,1.0036960601806642,5.01848030090332,1712760226,,False,9,70ba21e6,2024-04-10_16-43-46,41.9521381855011,393.5615963935852,28980,AT-MB-PC-E13,127.0.0.1,393.5615963935852,9,256,6,0.0,0.0001
0.79,0.78,0.75,0.76,0.87,0.4414382265771137,15.008899703621864,0.65,0.65,0.57,0.61,0.69,0.7504620909690857,3.7523104548454285,1712760269,,False,10,70ba21e6,2024-04-10_16-44-29,42.37977910041809,435.9413754940033,28980,AT-MB-PC-E13,127.0.0.1,435.9413754940033,10,256,6,0.0,0.0001
0.78,0.76,0.75,0.75,0.86,0.4784501861123478,16.267306327819824,0.61,0.61,0.5,0.55,0.68,0.8232992887496948,4.116496443748474,1712760310,,False,11,70ba21e6,2024-04-10_16-45-10,40.94559121131897,476.88696670532227,28980,AT-MB-PC-E13,127.0.0.1,476.88696670532227,11,256,6,0.0,0.0001
