train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.42,0.37,0.43,0.4,0.42,0.9756668665829826,33.17267346382141,0.48,0.48,0.97,0.64,0.59,0.7953879714012146,3.976939857006073,1712750780,,False,1,34b71f79,2024-04-10_14-06-20,28.0724036693573,28.0724036693573,32556,AT-MB-PC-E13,127.0.0.1,28.0724036693573,1,64,3,0.5,0.001
0.56,0.51,0.53,0.52,0.59,0.7529884156058816,25.601606130599976,0.56,0.53,0.64,0.58,0.58,0.7129227638244628,3.5646138191223145,1712750799,,False,2,34b71f79,2024-04-10_14-06-39,19.604926824569702,47.677330493927,32556,AT-MB-PC-E13,127.0.0.1,47.677330493927,2,64,3,0.5,0.001
0.63,0.58,0.58,0.58,0.68,0.6626961827278137,22.531670212745667,0.59,0.55,0.82,0.66,0.61,0.8021543383598327,4.010771691799164,1712750815,,False,3,34b71f79,2024-04-10_14-06-55,15.68749189376831,63.36482238769531,32556,AT-MB-PC-E13,127.0.0.1,63.36482238769531,3,64,3,0.5,0.001
0.67,0.63,0.62,0.63,0.71,0.6423415594241199,21.839613020420074,0.58,0.54,0.75,0.63,0.6,0.8121612071990967,4.060806035995483,1712750835,,False,4,34b71f79,2024-04-10_14-07-15,20.00947666168213,83.37429904937744,32556,AT-MB-PC-E13,127.0.0.1,83.37429904937744,4,64,3,0.5,0.001
0.67,0.64,0.61,0.62,0.74,0.6296069858705297,21.406637519598007,0.58,0.6,0.38,0.46,0.62,0.8607893824577332,4.303946912288666,1712750855,,False,5,34b71f79,2024-04-10_14-07-35,20.345242500305176,103.71954154968262,32556,AT-MB-PC-E13,127.0.0.1,103.71954154968262,5,64,3,0.5,0.001
0.67,0.63,0.62,0.63,0.73,0.6160274559960646,20.944933503866196,0.59,0.63,0.33,0.44,0.68,0.7812812864780426,3.906406432390213,1712750875,,False,6,34b71f79,2024-04-10_14-07-55,20.105846405029297,123.82538795471191,32556,AT-MB-PC-E13,127.0.0.1,123.82538795471191,6,64,3,0.5,0.001
0.7,0.66,0.66,0.66,0.77,0.5741418459836174,19.520822763442993,0.63,0.58,0.82,0.68,0.73,0.6819167613983155,3.409583806991577,1712750896,,False,7,34b71f79,2024-04-10_14-08-16,20.277632236480713,144.10302019119263,32556,AT-MB-PC-E13,127.0.0.1,144.10302019119263,7,64,3,0.5,0.001
0.7,0.67,0.64,0.66,0.77,0.5923689402201596,20.140543967485428,0.67,0.67,0.6,0.63,0.68,0.7195402026176453,3.5977010130882263,1712750915,,False,8,34b71f79,2024-04-10_14-08-35,19.548685789108276,163.6517059803009,32556,AT-MB-PC-E13,127.0.0.1,163.6517059803009,8,64,3,0.5,0.001
0.68,0.63,0.69,0.66,0.74,0.6145938450799269,20.896190732717514,0.58,0.54,0.83,0.66,0.62,0.8426370739936828,4.213185369968414,1712750932,,False,9,34b71f79,2024-04-10_14-08-52,17.277412176132202,180.9291181564331,32556,AT-MB-PC-E13,127.0.0.1,180.9291181564331,9,64,3,0.5,0.001
0.72,0.68,0.7,0.69,0.78,0.5541030457791161,18.839503556489944,0.5,0.49,0.83,0.62,0.57,1.624584674835205,8.122923374176025,1712750953,,False,10,34b71f79,2024-04-10_14-09-13,20.15538215637207,201.08450031280518,32556,AT-MB-PC-E13,127.0.0.1,201.08450031280518,10,64,3,0.5,0.001
0.69,0.65,0.65,0.65,0.76,0.6278808265924454,21.347948104143143,0.55,0.7,0.1,0.17,0.67,1.1031180024147034,5.515590012073517,1712750973,,False,11,34b71f79,2024-04-10_14-09-33,20.111589908599854,221.19609022140503,32556,AT-MB-PC-E13,127.0.0.1,221.19609022140503,11,64,3,0.5,0.001
0.71,0.67,0.71,0.69,0.78,0.584063453709378,19.85815742611885,0.55,0.52,0.58,0.55,0.59,1.1019007563591003,5.509503781795502,1712750993,,False,12,34b71f79,2024-04-10_14-09-53,20.658447742462158,241.8545379638672,32556,AT-MB-PC-E13,127.0.0.1,241.8545379638672,12,64,3,0.5,0.001
0.74,0.7,0.72,0.71,0.8,0.5731910721344107,19.48849645256996,0.51,0.49,0.96,0.65,0.66,1.9736046314239502,9.868023157119751,1712751013,,False,13,34b71f79,2024-04-10_14-10-13,19.8940269947052,261.7485649585724,32556,AT-MB-PC-E13,127.0.0.1,261.7485649585724,13,64,3,0.5,0.001
0.71,0.66,0.74,0.7,0.78,0.5703785743783502,19.392871528863907,0.54,0.51,0.85,0.64,0.63,1.015571117401123,5.077855587005615,1712751030,,False,14,34b71f79,2024-04-10_14-10-30,16.242419242858887,277.9909842014313,32556,AT-MB-PC-E13,127.0.0.1,277.9909842014313,14,64,3,0.5,0.001
0.73,0.68,0.73,0.71,0.81,0.526280651197714,17.893542140722275,0.62,0.59,0.65,0.62,0.67,0.85400892496109,4.27004462480545,1712751051,,True,15,34b71f79,2024-04-10_14-10-51,21.722776174545288,299.71376037597656,32556,AT-MB-PC-E13,127.0.0.1,299.71376037597656,15,64,3,0.5,0.001
