train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.46,0.44,0.76,0.56,0.49,1.0046126263983108,34.15682929754257,0.48,0.48,1.0,0.65,0.55,1.1390475630760193,5.695237815380096,1712751920,,False,1,74b5c1de,2024-04-10_14-25-20,46.54296255111694,46.54296255111694,13656,AT-MB-PC-E13,127.0.0.1,46.54296255111694,1,128,6,0.2,0.001
0.62,0.58,0.52,0.55,0.65,0.7161728801096187,24.349877923727036,0.51,0.33,0.03,0.05,0.5,0.9703401565551758,4.851700782775879,1712751958,,False,2,74b5c1de,2024-04-10_14-25-58,38.16591811180115,84.70888066291809,13656,AT-MB-PC-E13,127.0.0.1,84.70888066291809,2,128,6,0.2,0.001
0.66,0.61,0.66,0.63,0.7,0.6868064061683767,23.351417809724808,0.53,0.51,0.49,0.5,0.52,0.9670894742012024,4.835447371006012,1712751998,,False,3,74b5c1de,2024-04-10_14-26-38,39.83918619155884,124.54806685447693,13656,AT-MB-PC-E13,127.0.0.1,124.54806685447693,3,128,6,0.2,0.001
0.68,0.65,0.64,0.64,0.75,0.6298486292362213,21.414853394031525,0.58,0.57,0.54,0.55,0.64,0.7805078864097595,3.9025394320487976,1712752036,,False,4,74b5c1de,2024-04-10_14-27-16,38.81511449813843,163.36318135261536,13656,AT-MB-PC-E13,127.0.0.1,163.36318135261536,4,128,6,0.2,0.001
0.69,0.64,0.7,0.66,0.75,0.6687592977986616,22.737816125154495,0.65,0.59,0.86,0.7,0.68,0.6903870582580567,3.451935291290283,1712752077,,False,5,74b5c1de,2024-04-10_14-27-57,40.441078901290894,203.80426025390625,13656,AT-MB-PC-E13,127.0.0.1,203.80426025390625,5,128,6,0.2,0.001
0.7,0.66,0.66,0.66,0.76,0.6146818995475769,20.899184584617615,0.65,0.64,0.61,0.62,0.68,0.7927987813949585,3.9639939069747925,1712752111,,False,6,74b5c1de,2024-04-10_14-28-31,34.32729387283325,238.1315541267395,13656,AT-MB-PC-E13,127.0.0.1,238.1315541267395,6,128,6,0.2,0.001
0.69,0.65,0.66,0.65,0.76,0.6017243686844321,20.45862853527069,0.52,0.5,0.68,0.58,0.61,1.5093357920646668,7.546678960323334,1712752150,,False,7,74b5c1de,2024-04-10_14-29-10,39.04880666732788,277.1803607940674,13656,AT-MB-PC-E13,127.0.0.1,277.1803607940674,7,128,6,0.2,0.001
0.71,0.67,0.68,0.68,0.78,0.6086782120606479,20.695059210062027,0.57,0.53,0.76,0.63,0.61,0.8305868029594421,4.152934014797211,1712752189,,False,8,74b5c1de,2024-04-10_14-29-49,38.862258195877075,316.04261898994446,13656,AT-MB-PC-E13,127.0.0.1,316.04261898994446,8,128,6,0.2,0.001
0.71,0.67,0.68,0.67,0.77,0.6041862131918178,20.542331248521805,0.48,0.47,0.78,0.59,0.51,1.000860321521759,5.004301607608795,1712752219,,False,9,74b5c1de,2024-04-10_14-30-19,30.018031120300293,346.06065011024475,13656,AT-MB-PC-E13,127.0.0.1,346.06065011024475,9,128,6,0.2,0.001
0.7,0.67,0.62,0.64,0.75,0.6075820765074562,20.65779060125351,0.68,0.64,0.76,0.7,0.72,0.7148351669311523,3.5741758346557617,1712752260,,False,10,74b5c1de,2024-04-10_14-31-00,40.66990852355957,386.7305586338043,13656,AT-MB-PC-E13,127.0.0.1,386.7305586338043,10,128,6,0.2,0.001
0.69,0.64,0.69,0.67,0.75,0.6390741923276115,21.728522539138794,0.52,0.5,0.07,0.12,0.48,2.392896270751953,11.964481353759766,1712752300,,False,11,74b5c1de,2024-04-10_14-31-40,40.76568937301636,427.4962480068207,13656,AT-MB-PC-E13,127.0.0.1,427.4962480068207,11,128,6,0.2,0.001
0.7,0.66,0.66,0.66,0.75,0.6088579849285238,20.70117148756981,0.48,0.38,0.12,0.19,0.49,1.8923408269882203,9.461704134941101,1712752341,,False,12,74b5c1de,2024-04-10_14-32-21,40.95556163787842,468.4518096446991,13656,AT-MB-PC-E13,127.0.0.1,468.4518096446991,12,128,6,0.2,0.001
0.72,0.69,0.69,0.69,0.79,0.5631228396121193,19.146176546812057,0.6,0.63,0.4,0.49,0.63,1.0366691112518311,5.183345556259155,1712752382,,False,13,74b5c1de,2024-04-10_14-33-02,40.792720794677734,509.24453043937683,13656,AT-MB-PC-E13,127.0.0.1,509.24453043937683,13,128,6,0.2,0.001
0.72,0.68,0.69,0.69,0.79,0.5703323062728433,19.391298413276672,0.66,0.73,0.46,0.56,0.71,0.8376718521118164,4.188359260559082,1712752422,,False,14,74b5c1de,2024-04-10_14-33-42,40.12234568595886,549.3668761253357,13656,AT-MB-PC-E13,127.0.0.1,549.3668761253357,14,128,6,0.2,0.001
0.72,0.68,0.73,0.7,0.8,0.5685554216889774,19.330884337425232,0.6,0.68,0.32,0.43,0.62,0.7095500111579895,3.5477500557899475,1712752464,,True,15,74b5c1de,2024-04-10_14-34-24,41.37766170501709,590.7445378303528,13656,AT-MB-PC-E13,127.0.0.1,590.7445378303528,15,128,6,0.2,0.001
