train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss
0.41132,0.36182,0.42161,0.38943,0.40044,1.247896531048943,42.42848205566406,0.4702,0.47297,0.97222,0.63636,0.60056,0.8756285905838013,4.378142952919006,0.48344,0.48485,0.97959,0.64865,0.49607,0.9180602371692658,9.180602371692657
0.63962,0.59073,0.62076,0.60537,0.66053,0.7521752495976055,25.57395848631859,0.45033,0.43956,0.55556,0.4908,0.47767,0.8578146934509278,4.289073467254639,0.54967,0.52764,0.71429,0.60694,0.5598,0.8336051940917969,8.336051940917969
0.70943,0.67749,0.66314,0.67024,0.75583,0.5952769158517613,20.239415138959885,0.5894,0.5641,0.61111,0.58667,0.60232,0.8359197735786438,4.179598867893219,0.5894,0.58519,0.53741,0.56028,0.65117,0.8200376212596894,8.200376212596893
0.72736,0.68944,0.70551,0.69738,0.78477,0.5970208118943607,20.298707604408264,0.60265,0.57317,0.65278,0.61039,0.63256,0.9925917983055115,4.962958991527557,0.55629,0.54962,0.4898,0.51799,0.58727,0.9250293850898743,9.250293850898743
0.73113,0.69278,0.71186,0.70219,0.79257,0.5683994363336002,19.325580835342407,0.64238,0.60976,0.69444,0.64935,0.65454,0.8341733455657959,4.1708667278289795,0.53642,0.52846,0.44218,0.48148,0.61558,0.7914147973060608,7.914147973060608
0.70094,0.67033,0.64619,0.65804,0.76432,0.6282931925619349,21.36196854710579,0.60927,0.61404,0.48611,0.54264,0.63238,0.8553561806678772,4.276780903339386,0.57616,0.59596,0.40136,0.47967,0.57915,1.0047339081764222,10.047339081764221
0.71981,0.67258,0.72246,0.69663,0.77529,0.5954612993142184,20.245684176683426,0.53642,0.50769,0.91667,0.65347,0.58043,2.059433305263519,10.297166526317596,0.57947,0.53968,0.92517,0.6817,0.56976,1.748428761959076,17.48428761959076
0.72358,0.68607,0.69915,0.69255,0.78499,0.5880912301294944,19.99510182440281,0.49007,0.40741,0.15278,0.22222,0.48031,1.6171371459960937,8.085685729980469,0.54967,0.56627,0.31973,0.4087,0.56375,1.0692861020565032,10.692861020565033
0.72264,0.69432,0.67373,0.68387,0.78178,0.6222842651254991,21.157665014266968,0.47682,0.47682,1.0,0.64574,0.65999,1.661017155647278,8.30508577823639,0.5,0.49324,0.9932,0.65914,0.57661,1.459320080280304,14.59320080280304
0.73679,0.67904,0.77542,0.72404,0.81658,0.5407299592214472,18.384818613529205,0.60927,0.62745,0.44444,0.52033,0.61392,0.8914302468299866,4.457151234149933,0.58278,0.56442,0.62585,0.59355,0.62093,0.7842103004455566,7.842103004455566
0.72736,0.6841,0.72034,0.70175,0.78984,0.5876623094081879,19.980518519878387,0.53642,0.5625,0.125,0.20455,0.67616,0.8367338657379151,4.183669328689575,0.54636,0.56098,0.31293,0.40175,0.58455,0.8203437209129334,8.203437209129333
0.77075,0.75964,0.70975,0.73384,0.83814,0.5149979696554297,17.509930968284607,0.54305,0.8,0.05556,0.1039,0.51758,1.5516335129737855,7.758167564868927,0.59603,0.65432,0.36054,0.46491,0.64551,0.9746162056922912,9.746162056922913
0.77264,0.72084,0.79873,0.75779,0.8408,0.5184322674484814,17.626697093248367,0.5298,0.50459,0.76389,0.60773,0.62447,1.3270058393478394,6.635029196739197,0.55629,0.53234,0.72789,0.61494,0.59842,1.0860975682735443,10.860975682735443
0.7566,0.71926,0.74364,0.73125,0.82545,0.5214656118084403,17.72983080148697,0.49007,0.35294,0.08333,0.13483,0.49437,1.90003502368927,9.50017511844635,0.49007,0.4557,0.2449,0.31858,0.56761,1.397702044248581,13.97702044248581
0.76132,0.72301,0.75212,0.73728,0.8458,0.48408159525955424,16.458774238824844,0.66225,0.66154,0.59722,0.62774,0.69568,0.7244161486625671,3.6220807433128357,0.62914,0.65217,0.5102,0.57252,0.71635,0.6899194777011871,6.899194777011871
0.77358,0.75551,0.72669,0.74082,0.83927,0.5199689729248776,17.67894507944584,0.53642,0.75,0.04167,0.07895,0.50967,1.6510367155075074,8.255183577537537,0.48344,0.26316,0.03401,0.06024,0.53237,1.3988937616348267,13.988937616348267
0.79245,0.75403,0.79237,0.77273,0.8716,0.4476158373496112,15.21893846988678,0.51656,0.0,0.0,0.0,0.58931,2.8398623943328856,14.199311971664429,0.51656,0.57143,0.02721,0.05195,0.60197,2.2851499676704408,22.851499676704407
0.79717,0.76715,0.78178,0.7744,0.87077,0.44110893370474086,14.99770374596119,0.66887,0.625,0.76389,0.6875,0.77795,0.6578912615776062,3.289456307888031,0.65232,0.63125,0.68707,0.65798,0.69686,0.7151108860969544,7.1511088609695435
0.79811,0.77331,0.77331,0.77331,0.87185,0.4665929289425121,15.86415958404541,0.68212,0.62,0.86111,0.72093,0.75791,0.7491459846496582,3.745729923248291,0.54636,0.53968,0.46259,0.49817,0.59447,0.901191258430481,9.01191258430481
