train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.46,0.45,0.96,0.61,0.56,1.5209714051555185,51.71302777528763,0.48,0.48,1.0,0.65,0.56,0.8560113072395324,4.280056536197662,1713134913,,False,1,1c226fd0,2024-04-15_00-48-33,44.087233543395996,44.087233543395996,18120,AT-MB-PC-E13,127.0.0.1,44.087233543395996,1,128,3,0.2,1e-05
0.46,0.45,0.95,0.61,0.55,1.4791457127122318,50.29095423221588,0.48,0.47,0.83,0.6,0.53,0.975051474571228,4.87525737285614,1713134948,,False,2,1c226fd0,2024-04-15_00-49-08,34.87531542778015,78.96254897117615,18120,AT-MB-PC-E13,127.0.0.1,78.96254897117615,2,128,3,0.2,1e-05
0.47,0.45,0.95,0.61,0.57,1.398419399471844,47.546259582042694,0.48,0.48,0.88,0.62,0.55,1.184506106376648,5.92253053188324,1713134984,,False,3,1c226fd0,2024-04-15_00-49-44,35.742799282073975,114.70534825325012,18120,AT-MB-PC-E13,127.0.0.1,114.70534825325012,3,128,3,0.2,1e-05
0.48,0.46,0.94,0.62,0.59,1.2239192128181458,41.613253235816956,0.49,0.48,0.86,0.62,0.58,1.1112630128860475,5.556315064430237,1713135020,,False,4,1c226fd0,2024-04-15_00-50-20,35.91192054748535,150.61726880073547,18120,AT-MB-PC-E13,127.0.0.1,150.61726880073547,4,128,3,0.2,1e-05
0.49,0.47,0.9,0.61,0.56,1.0778213739395142,36.64592671394348,0.46,0.46,0.72,0.56,0.57,0.910889732837677,4.554448664188385,1713135055,,False,5,1c226fd0,2024-04-15_00-50-55,34.870747089385986,185.48801589012146,18120,AT-MB-PC-E13,127.0.0.1,185.48801589012146,5,128,3,0.2,1e-05
0.51,0.47,0.85,0.61,0.6,0.8871191810159123,30.162052154541016,0.5,0.49,0.78,0.6,0.53,0.9310124635696411,4.655062317848206,1713135090,,False,6,1c226fd0,2024-04-15_00-51-30,35.65899181365967,221.14700770378113,18120,AT-MB-PC-E13,127.0.0.1,221.14700770378113,6,128,3,0.2,1e-05
0.54,0.49,0.77,0.6,0.6,0.7882862809826346,26.801733553409576,0.47,0.46,0.57,0.51,0.54,0.7821314096450805,3.910657048225403,1713135126,,False,7,1c226fd0,2024-04-15_00-52-06,35.66476655006409,256.8117742538452,18120,AT-MB-PC-E13,127.0.0.1,256.8117742538452,7,128,3,0.2,1e-05
0.58,0.52,0.71,0.6,0.61,0.7387264099191216,25.116697937250137,0.55,0.52,0.67,0.59,0.57,0.7637348651885987,3.818674325942993,1713135161,,False,8,1c226fd0,2024-04-15_00-52-41,34.78742742538452,291.59920167922974,18120,AT-MB-PC-E13,127.0.0.1,291.59920167922974,8,128,3,0.2,1e-05
0.59,0.53,0.68,0.6,0.64,0.7040299948524026,23.93701982498169,0.5,0.48,0.47,0.48,0.52,0.7629646301269531,3.8148231506347656,1713135197,,False,9,1c226fd0,2024-04-15_00-53-17,36.16560435295105,327.7648060321808,18120,AT-MB-PC-E13,127.0.0.1,327.7648060321808,9,128,3,0.2,1e-05
0.6,0.54,0.67,0.6,0.65,0.6885440218098023,23.41049674153328,0.5,0.48,0.43,0.45,0.52,0.7540489077568054,3.770244538784027,1713135233,,False,10,1c226fd0,2024-04-15_00-53-53,36.21744656562805,363.98225259780884,18120,AT-MB-PC-E13,127.0.0.1,363.98225259780884,10,128,3,0.2,1e-05
0.59,0.53,0.63,0.58,0.64,0.6772923083866343,23.02793848514557,0.49,0.47,0.53,0.5,0.49,0.7618578910827637,3.8092894554138184,1713135268,,False,11,1c226fd0,2024-04-15_00-54-28,34.454339265823364,398.4365918636322,18120,AT-MB-PC-E13,127.0.0.1,398.4365918636322,11,128,3,0.2,1e-05
0.61,0.55,0.64,0.59,0.65,0.671452918473412,22.82939922809601,0.48,0.45,0.46,0.46,0.52,0.7397241353988647,3.6986206769943237,1713135303,,False,12,1c226fd0,2024-04-15_00-55-03,35.59110426902771,434.0276961326599,18120,AT-MB-PC-E13,127.0.0.1,434.0276961326599,12,128,3,0.2,1e-05
0.63,0.57,0.64,0.61,0.68,0.6517216931371128,22.158537566661835,0.46,0.43,0.4,0.42,0.46,0.7852388620376587,3.9261943101882935,1713135339,,False,13,1c226fd0,2024-04-15_00-55-39,35.7692174911499,469.7969136238098,18120,AT-MB-PC-E13,127.0.0.1,469.7969136238098,13,128,3,0.2,1e-05
0.63,0.58,0.64,0.6,0.69,0.6436966447269216,21.885685920715332,0.48,0.45,0.4,0.43,0.49,0.7730222105979919,3.8651110529899597,1713135374,,False,14,1c226fd0,2024-04-15_00-56-14,34.55285096168518,504.349764585495,18120,AT-MB-PC-E13,127.0.0.1,504.349764585495,14,128,3,0.2,1e-05
0.65,0.6,0.65,0.63,0.7,0.6349671246374354,21.588882237672806,0.53,0.51,0.33,0.4,0.55,0.7382262229919434,3.691131114959717,1713135410,,True,15,1c226fd0,2024-04-15_00-56-50,35.960766553878784,540.3105311393738,18120,AT-MB-PC-E13,127.0.0.1,540.3105311393738,15,128,3,0.2,1e-05
