train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.48774,0.43826,0.5339,0.48138,0.46673,0.9436425426427055,32.08384644985199,0.48344,0.48,1.0,0.64865,0.65682,1.285024309158325,6.425121545791626,0.48344,0.48464,0.96599,0.64545,0.54549,1.2463241815567017,12.463241815567017,1713309256,,False,1,051bd612,2024-04-17_01-14-16,182.62594151496887,182.62594151496887,8572,AT-MB-PC-E13,127.0.0.1,182.62594151496887,1,128,0.2,10,0.0001
0.52453,0.4697,0.52542,0.496,0.53069,0.7974209636449814,27.112312763929367,0.50993,0.49254,0.91667,0.64078,0.58703,0.8299208879470825,4.149604439735413,0.48013,0.48264,0.94558,0.63908,0.51683,0.8634751737117767,8.634751737117767,1713309429,,False,2,051bd612,2024-04-17_01-17-09,172.74766850471497,355.37361001968384,8572,AT-MB-PC-E13,127.0.0.1,355.37361001968384,2,128,0.2,10,0.0001
0.56887,0.5179,0.45975,0.48709,0.58617,0.7199608648524565,24.47866940498352,0.56291,0.53261,0.68056,0.59756,0.55661,0.7708988308906555,3.8544941544532776,0.57947,0.55747,0.65986,0.60436,0.59241,0.7738958120346069,7.738958120346069,1713309604,,False,3,051bd612,2024-04-17_01-20-04,174.8519365787506,530.2255465984344,8572,AT-MB-PC-E13,127.0.0.1,530.2255465984344,3,128,0.2,10,0.0001
0.61887,0.58173,0.51271,0.54505,0.64233,0.6929605760995079,23.56065958738327,0.49007,0.46575,0.47222,0.46897,0.48699,0.7820561170578003,3.9102805852890015,0.61921,0.6194,0.56463,0.59075,0.65429,0.6716633021831513,6.7166330218315125,1713309777,,False,4,051bd612,2024-04-17_01-22-57,172.45866084098816,702.6842074394226,8572,AT-MB-PC-E13,127.0.0.1,702.6842074394226,4,128,0.2,10,0.0001
0.6434,0.61033,0.55085,0.57906,0.67547,0.6522113628247205,22.175186336040497,0.56954,0.57143,0.38889,0.46281,0.548,0.7775714874267579,3.887857437133789,0.59603,0.6087,0.47619,0.53435,0.63875,0.7046079754829406,7.046079754829407,1713309949,,False,5,051bd612,2024-04-17_01-25-49,172.6561450958252,875.3403525352478,8572,AT-MB-PC-E13,127.0.0.1,875.3403525352478,5,128,0.2,10,0.0001
0.66981,0.63319,0.61441,0.62366,0.71466,0.6192003146690481,21.052810698747635,0.60265,0.63043,0.40278,0.49153,0.63309,0.788727867603302,3.94363933801651,0.60265,0.64516,0.40816,0.5,0.64446,0.7285954356193542,7.2859543561935425,1713310124,,False,6,051bd612,2024-04-17_01-28-44,174.9664387702942,1050.306791305542,8572,AT-MB-PC-E13,127.0.0.1,1050.306791305542,6,128,0.2,10,0.0001
0.69245,0.66222,0.63136,0.64642,0.74472,0.6213282942771912,21.1251620054245,0.62914,0.57018,0.90278,0.69892,0.67106,0.7162213325500488,3.581106662750244,0.5894,0.55251,0.82313,0.6612,0.62844,0.7391826331615448,7.391826331615448,1713310297,,False,7,051bd612,2024-04-17_01-31-37,172.57629704475403,1222.883088350296,8572,AT-MB-PC-E13,127.0.0.1,1222.883088350296,7,128,0.2,10,0.0001
0.68113,0.64195,0.64195,0.64195,0.74658,0.5956815516247469,20.253172755241394,0.53642,0.50893,0.79167,0.61957,0.59793,0.8731285929679871,4.365642964839935,0.62583,0.57391,0.89796,0.70027,0.69348,0.7238045871257782,7.238045871257782,1713310470,,False,8,051bd612,2024-04-17_01-34-30,172.80077648162842,1395.6838648319244,8572,AT-MB-PC-E13,127.0.0.1,1395.6838648319244,8,128,0.2,10,0.0001
0.69811,0.6617,0.6589,0.6603,0.74816,0.6075184187468361,20.655626237392426,0.63576,0.59341,0.75,0.66258,0.65401,0.743738305568695,3.7186915278434753,0.65232,0.60714,0.80952,0.69388,0.73162,0.6763871967792511,6.763871967792511,1713310644,,False,9,051bd612,2024-04-17_01-37-24,174.57468223571777,1570.2585470676422,8572,AT-MB-PC-E13,127.0.0.1,1570.2585470676422,9,128,0.2,10,0.0001
0.72547,0.69803,0.67585,0.68676,0.77853,0.5695106509853812,19.36336213350296,0.64901,0.6338,0.625,0.62937,0.65946,0.7100373268127441,3.5501866340637207,0.68874,0.66879,0.71429,0.69079,0.71819,0.6708473861217499,6.708473861217499,1713310816,,False,10,051bd612,2024-04-17_01-40-16,172.33140778541565,1742.5899548530579,8572,AT-MB-PC-E13,127.0.0.1,1742.5899548530579,10,128,0.2,10,0.0001
