train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.7,0.66,0.69,0.67,0.75,0.5957900285720825,20.256860971450806,0.64,0.65,0.5,0.57,0.66,0.6855072021484375,3.4275360107421875,1713172596,,True,100,04c6b21b,2024-04-15_11-16-36,32.29819655418396,3411.304785490036,28072,AT-MB-PC-E13,127.0.0.1,3411.304785490036,100,64,3,0.5,1e-05,04c6b21b
0.83,0.79,0.85,0.82,0.91,0.3765712235780323,12.803421601653099,0.72,0.71,0.68,0.7,0.78,0.6621337175369263,3.3106685876846313,1713175358,,True,100,26174454,2024-04-15_12-02-38,62.575109004974365,6168.981234073639,12148,AT-MB-PC-E13,127.0.0.1,6168.981234073639,100,256,6,0.5,0.001,26174454
0.47,0.45,0.91,0.61,0.57,1.059629904873231,36.02741676568985,0.47,0.46,0.72,0.57,0.53,0.8817012548446655,4.408506274223328,1713172766,,True,5,2517356e,2024-04-15_11-19-26,32.22555875778198,170.09535002708435,28072,AT-MB-PC-E13,127.0.0.1,170.09535002708435,5,64,3,0.5,1e-05,2517356e
0.5,0.45,0.57,0.5,0.52,0.8137159715680515,27.66634303331375,0.51,0.45,0.14,0.21,0.41,0.8476544141769409,4.238272070884705,1713173088,,True,5,8fadc536,2024-04-15_11-24-48,62.53633904457092,321.59630489349365,28072,AT-MB-PC-E13,127.0.0.1,321.59630489349365,5,64,6,0.5,1e-05,8fadc536
0.88,0.86,0.88,0.87,0.96,0.2601439957233036,8.844895854592323,0.74,0.74,0.68,0.71,0.79,0.6666130781173706,3.333065390586853,1713176350,,True,100,df8ab33e,2024-04-15_12-19-10,31.948023796081543,3262.2622854709625,28072,AT-MB-PC-E13,127.0.0.1,3262.2622854709625,100,64,3,0.0,0.0001,df8ab33e
0.81,0.77,0.81,0.79,0.89,0.41599614436135574,14.143868908286095,0.62,0.67,0.39,0.49,0.69,1.0476662635803222,5.238331317901611,1713176848,,True,45,5b0e692a,2024-04-15_12-27-28,34.90610361099243,1489.208557844162,12148,AT-MB-PC-E13,127.0.0.1,1489.208557844162,45,256,3,0.5,0.001,5b0e692a
0.62,0.58,0.53,0.55,0.63,0.6709095432477838,22.810924470424652,0.58,0.55,0.58,0.57,0.61,0.6871326923370361,3.4356634616851807,1713177917,,True,15,fa5f920e,2024-04-15_12-45-17,102.92989897727966,1566.5629715919495,28072,AT-MB-PC-E13,127.0.0.1,1566.5629715919495,15,256,10,0.5,0.0001,fa5f920e
0.57,0.52,0.52,0.52,0.58,0.7510812352685368,25.53676199913025,0.45,0.45,0.65,0.53,0.43,0.8590691566467286,4.295345783233643,1713177411,,True,5,e5e17dff,2024-04-15_12-36-51,112.39130663871765,563.2360460758209,12148,AT-MB-PC-E13,127.0.0.1,563.2360460758209,5,256,10,0.2,1e-05,e5e17dff
0.64,0.6,0.57,0.59,0.68,0.6679842156522414,22.71146333217621,0.47,0.42,0.29,0.34,0.51,0.8199804067611695,4.099902033805847,1713177757,,True,5,33fb7e85,2024-04-15_12-42-37,67.73031330108643,345.9499702453613,12148,AT-MB-PC-E13,127.0.0.1,345.9499702453613,5,64,6,0.2,0.0001,33fb7e85
0.47,0.45,0.91,0.61,0.57,1.0596298575401306,36.02741515636444,0.47,0.46,0.72,0.57,0.53,0.8817028641700745,4.408514320850372,1713177936,,True,5,6ede6915,2024-04-15_12-45-36,23.4613676071167,178.55170035362244,12148,AT-MB-PC-E13,127.0.0.1,178.55170035362244,5,256,3,0.5,1e-05,6ede6915
