train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.45,0.44,0.87,0.59,0.49,0.9471461474895477,32.20296901464462,0.45,0.46,0.92,0.61,0.43,0.8040184855461121,4.02009242773056,1713194957,,False,1,fbd431cf,2024-04-15_17-29-17,29.61361289024353,29.61361289024353,2228,AT-MB-PC-E13,127.0.0.1,29.61361289024353,1,64,6,0.2,0.0001
0.46,0.44,0.79,0.57,0.51,0.8222456293947557,27.956351399421692,0.46,0.45,0.61,0.52,0.48,0.809610116481781,4.048050582408905,1713194981,,False,2,fbd431cf,2024-04-15_17-29-41,23.35946249961853,52.97307538986206,2228,AT-MB-PC-E13,127.0.0.1,52.97307538986206,2,64,6,0.2,0.0001
0.54,0.48,0.54,0.51,0.55,0.7197683278252097,24.47212314605713,0.52,0.49,0.54,0.52,0.55,0.7608641028404236,3.804320514202118,1713195004,,False,3,fbd431cf,2024-04-15_17-30-04,23.345256805419922,76.31833219528198,2228,AT-MB-PC-E13,127.0.0.1,76.31833219528198,3,64,6,0.2,0.0001
0.59,0.54,0.54,0.54,0.63,0.6686122680411619,22.732817113399506,0.51,0.46,0.15,0.23,0.48,0.7619584560394287,3.8097922801971436,1713195028,,False,4,fbd431cf,2024-04-15_17-30-28,23.875468015670776,100.19380021095276,2228,AT-MB-PC-E13,127.0.0.1,100.19380021095276,4,64,6,0.2,0.0001
0.64,0.59,0.6,0.59,0.67,0.6472191056784462,22.00544959306717,0.52,0.49,0.56,0.52,0.59,0.6771613001823426,3.3858065009117126,1713195051,,False,5,fbd431cf,2024-04-15_17-30-51,23.228015661239624,123.42181587219238,2228,AT-MB-PC-E13,127.0.0.1,123.42181587219238,5,64,6,0.2,0.0001
0.69,0.66,0.62,0.64,0.75,0.5970626859103932,20.30013132095337,0.6,0.58,0.58,0.58,0.63,0.6563485741615296,3.2817428708076477,1713195074,,False,6,fbd431cf,2024-04-15_17-31-14,23.43009638786316,146.85191226005554,2228,AT-MB-PC-E13,127.0.0.1,146.85191226005554,6,64,6,0.2,0.0001
0.67,0.64,0.6,0.62,0.73,0.59559024607434,20.250068366527557,0.56,0.59,0.24,0.34,0.59,0.7212925910949707,3.6064629554748535,1713195099,,False,7,fbd431cf,2024-04-15_17-31-39,24.164418935775757,171.0163311958313,2228,AT-MB-PC-E13,127.0.0.1,171.0163311958313,7,64,6,0.2,0.0001
0.7,0.68,0.64,0.66,0.77,0.5742563430000754,19.524715662002563,0.58,0.57,0.44,0.5,0.6,0.7220310688018798,3.6101553440093994,1713195122,,False,8,fbd431cf,2024-04-15_17-32-02,23.14530920982361,194.1616404056549,2228,AT-MB-PC-E13,127.0.0.1,194.1616404056549,8,64,6,0.2,0.0001
0.72,0.7,0.65,0.68,0.77,0.5800781732096392,19.72265788912773,0.61,0.57,0.75,0.65,0.68,0.6500536680221558,3.250268340110779,1713195146,,False,9,fbd431cf,2024-04-15_17-32-26,23.743353605270386,217.9049940109253,2228,AT-MB-PC-E13,127.0.0.1,217.9049940109253,9,64,6,0.2,0.0001
0.7,0.68,0.63,0.65,0.77,0.5620012826779309,19.108043611049652,0.66,0.64,0.65,0.64,0.7,0.6495605826377868,3.2478029131889343,1713195169,,False,10,fbd431cf,2024-04-15_17-32-49,23.40049409866333,241.30548810958862,2228,AT-MB-PC-E13,127.0.0.1,241.30548810958862,10,64,6,0.2,0.0001
