train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.48,0.46,0.85,0.59,0.55,0.8881679580492132,30.19771057367325,0.48,0.48,0.93,0.63,0.67,0.8332690596580505,4.166345298290253,1712615268,,False,1,8db28ee1,2024-04-09_00-27-48,76.78791785240173,76.78791785240173,27268,AT-MB-PC-E13,127.0.0.1,76.78791785240173,1,256,6,0.0,0.0001
0.56,0.5,0.5,0.5,0.57,0.7400580329053542,25.161973118782043,0.58,0.55,0.67,0.6,0.63,0.6825567483901978,3.4127837419509888,1712615343,,False,2,8db28ee1,2024-04-09_00-29-03,75.28641819953918,152.07433605194092,27268,AT-MB-PC-E13,127.0.0.1,152.07433605194092,2,256,6,0.0,0.0001
0.69,0.64,0.69,0.66,0.73,0.6125375900198432,20.826278060674667,0.5,0.47,0.42,0.44,0.55,0.7376033067703247,3.6880165338516235,1712615418,,False,3,8db28ee1,2024-04-09_00-30-18,75.32860136032104,227.40293741226196,27268,AT-MB-PC-E13,127.0.0.1,227.40293741226196,3,256,6,0.0,0.0001
0.73,0.7,0.68,0.69,0.79,0.567297843449256,19.288126677274704,0.56,0.54,0.5,0.52,0.61,0.7036535501480102,3.5182677507400513,1712615494,,False,4,8db28ee1,2024-04-09_00-31-34,76.2168242931366,303.61976170539856,27268,AT-MB-PC-E13,127.0.0.1,303.61976170539856,4,256,6,0.0,0.0001
0.75,0.74,0.68,0.71,0.82,0.5330950828159556,18.125232815742493,0.65,0.62,0.68,0.65,0.67,0.7251199007034301,3.625599503517151,1712615570,,False,5,8db28ee1,2024-04-09_00-32-50,75.38980913162231,379.0095708370209,27268,AT-MB-PC-E13,127.0.0.1,379.0095708370209,5,256,6,0.0,0.0001
0.77,0.75,0.71,0.73,0.83,0.531840914312531,18.082591086626053,0.64,0.64,0.57,0.6,0.66,0.7431727766990661,3.715863883495331,1712615645,,False,6,8db28ee1,2024-04-09_00-34-05,75.24963974952698,454.25921058654785,27268,AT-MB-PC-E13,127.0.0.1,454.25921058654785,6,256,6,0.0,0.0001
0.77,0.75,0.73,0.74,0.84,0.5101360783857458,17.344626665115356,0.55,0.53,0.51,0.52,0.61,0.7167154908180237,3.5835774540901184,1712615721,,False,7,8db28ee1,2024-04-09_00-35-21,75.81596851348877,530.0751791000366,27268,AT-MB-PC-E13,127.0.0.1,530.0751791000366,7,256,6,0.0,0.0001
0.79,0.77,0.74,0.75,0.86,0.46893272373606176,15.9437126070261,0.64,0.6,0.74,0.66,0.67,0.7498827576637268,3.749413788318634,1712615797,,False,8,8db28ee1,2024-04-09_00-36-37,75.98472189903259,606.0599009990692,27268,AT-MB-PC-E13,127.0.0.1,606.0599009990692,8,256,6,0.0,0.0001
0.78,0.77,0.73,0.75,0.86,0.4779757980038138,16.25117713212967,0.64,0.58,0.89,0.7,0.64,0.8445116639137268,4.222558319568634,1712615872,,False,9,8db28ee1,2024-04-09_00-37-52,75.5137710571289,681.5736720561981,27268,AT-MB-PC-E13,127.0.0.1,681.5736720561981,9,256,6,0.0,0.0001
0.77,0.75,0.72,0.73,0.84,0.5034268664963105,17.116513460874557,0.64,0.62,0.67,0.64,0.66,0.8469497084617614,4.234748542308807,1712615947,,False,10,8db28ee1,2024-04-09_00-39-07,74.62382745742798,756.1974995136261,27268,AT-MB-PC-E13,127.0.0.1,756.1974995136261,10,256,6,0.0,0.0001
0.77,0.73,0.76,0.75,0.84,0.5201498234973234,17.685093998908997,0.68,0.67,0.62,0.65,0.73,0.619230455160141,3.096152275800705,1712616018,,False,11,8db28ee1,2024-04-09_00-40-18,71.05978107452393,827.25728058815,27268,AT-MB-PC-E13,127.0.0.1,827.25728058815,11,256,6,0.0,0.0001
0.81,0.8,0.78,0.79,0.88,0.47804251400863423,16.253445476293564,0.7,0.68,0.68,0.68,0.69,0.7779432654380798,3.889716327190399,1712616095,,False,12,8db28ee1,2024-04-09_00-41-35,76.67631506919861,903.9335956573486,27268,AT-MB-PC-E13,127.0.0.1,903.9335956573486,12,256,6,0.0,0.0001
0.81,0.78,0.79,0.79,0.89,0.4337800763109151,14.748522594571114,0.68,0.71,0.54,0.61,0.73,0.846533203125,4.232666015625,1712616171,,False,13,8db28ee1,2024-04-09_00-42-51,76.31687998771667,980.2504756450653,27268,AT-MB-PC-E13,127.0.0.1,980.2504756450653,13,256,6,0.0,0.0001
0.78,0.76,0.75,0.76,0.86,0.4737944401362363,16.109010964632034,0.68,0.67,0.67,0.67,0.7,0.6785584688186646,3.3927923440933228,1712616247,,False,14,8db28ee1,2024-04-09_00-44-07,75.85407853126526,1056.1045541763306,27268,AT-MB-PC-E13,127.0.0.1,1056.1045541763306,14,256,6,0.0,0.0001
0.82,0.79,0.81,0.8,0.89,0.4134957222815822,14.058854557573795,0.63,0.58,0.81,0.67,0.7,0.7769959211349488,3.8849796056747437,1712616324,,True,15,8db28ee1,2024-04-09_00-45-24,76.9192111492157,1133.0237653255463,27268,AT-MB-PC-E13,127.0.0.1,1133.0237653255463,15,256,6,0.0,0.0001
