train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.48113,0.45558,0.84746,0.59259,0.54587,0.8881679738269133,30.19771111011505,0.47682,0.47518,0.93056,0.62911,0.67141,0.8332688808441162,4.166344404220581,0.52649,0.50752,0.91837,0.65375,0.6262,0.8447392225265503,8.447392225265503,1713425221,,False,1,62ce4ec8,2024-04-18_09-27-01,31.363012552261353,31.363012552261353,38956,AT-MB-PC-E13,127.0.0.1,31.363012552261353,1,256,0.0,6,0.0001
0.58585,0.5328,0.5678,0.54974,0.60387,0.7094436375533834,24.121083676815033,0.55629,0.54386,0.43056,0.48062,0.60214,0.6936091780662537,3.4680458903312683,0.60596,0.60294,0.55782,0.57951,0.66776,0.6376397371292114,6.376397371292114,1713425261,,False,2,62ce4ec8,2024-04-18_09-27-41,39.66884732246399,71.03185987472534,38956,AT-MB-PC-E13,127.0.0.1,71.03185987472534,2,256,0.0,6,0.0001
0.69906,0.66242,0.66102,0.66172,0.74438,0.6122441747609306,20.816301941871643,0.5894,0.57576,0.52778,0.55072,0.59898,0.6861570596694946,3.430785298347473,0.66887,0.65772,0.66667,0.66216,0.71525,0.6221442997455597,6.221442997455597,1713425299,,False,3,62ce4ec8,2024-04-18_09-28-19,38.81670022010803,109.84856009483337,38956,AT-MB-PC-E13,127.0.0.1,109.84856009483337,3,256,0.0,6,0.0001
0.72358,0.7067,0.64831,0.67624,0.78236,0.5689696590690052,19.344968408346176,0.55629,0.52294,0.79167,0.62983,0.59406,0.793589425086975,3.9679471254348755,0.62583,0.57727,0.86395,0.6921,0.73004,0.6819578349590302,6.8195783495903015,1713425338,,False,4,62ce4ec8,2024-04-18_09-28-58,38.900580644607544,148.74914073944092,38956,AT-MB-PC-E13,127.0.0.1,148.74914073944092,4,256,0.0,6,0.0001
0.73113,0.69358,0.70975,0.70157,0.80502,0.5506025272257188,18.72048592567444,0.62914,0.64815,0.48611,0.55556,0.63001,0.6709839224815368,3.3549196124076843,0.6755,0.65217,0.71429,0.68182,0.74409,0.5910366207361222,5.910366207361221,1713425377,,False,5,62ce4ec8,2024-04-18_09-29-37,38.3892867565155,187.13842749595642,38956,AT-MB-PC-E13,127.0.0.1,187.13842749595642,5,256,0.0,6,0.0001
0.75283,0.73649,0.6928,0.71397,0.83027,0.5087594100657631,17.297819942235947,0.58278,0.56522,0.54167,0.55319,0.60144,0.7629113674163819,3.814556837081909,0.68543,0.68571,0.65306,0.66899,0.74496,0.5987206846475601,5.987206846475601,1713425416,,False,6,62ce4ec8,2024-04-18_09-30-16,38.95933175086975,226.09775924682617,38956,AT-MB-PC-E13,127.0.0.1,226.09775924682617,6,256,0.0,6,0.0001
0.79057,0.78281,0.73305,0.75711,0.85681,0.4846949638689266,16.479628771543503,0.61589,0.55932,0.91667,0.69474,0.65876,0.8377994656562805,4.188997328281403,0.67219,0.6165,0.86395,0.71955,0.74926,0.6992747724056244,6.992747724056244,1713425455,,False,7,62ce4ec8,2024-04-18_09-30-55,39.165340185165405,265.2630994319916,38956,AT-MB-PC-E13,127.0.0.1,265.2630994319916,7,256,0.0,6,0.0001
0.76698,0.73101,0.75424,0.74244,0.84824,0.48708944636232715,16.561041176319122,0.5894,0.58065,0.5,0.53731,0.62693,0.8166102290153503,4.083051145076752,0.65563,0.66667,0.58503,0.62319,0.75221,0.6261764287948608,6.261764287948608,1713425494,,False,8,62ce4ec8,2024-04-18_09-31-34,39.29843592643738,304.56153535842896,38956,AT-MB-PC-E13,127.0.0.1,304.56153535842896,8,256,0.0,6,0.0001
0.79717,0.76939,0.77754,0.77345,0.87667,0.45096055023810444,15.33265870809555,0.68874,0.69841,0.61111,0.65185,0.70675,0.8456124901771546,4.228062450885773,0.6755,0.68992,0.60544,0.64493,0.75111,0.6667744100093842,6.6677441000938416,1713425534,,False,9,62ce4ec8,2024-04-18_09-32-14,39.74439311027527,344.3059284687042,38956,AT-MB-PC-E13,127.0.0.1,344.3059284687042,9,256,0.0,6,0.0001
0.77075,0.75501,0.71822,0.73616,0.85459,0.4735899593900232,16.102058619260788,0.60927,0.55856,0.86111,0.6776,0.71871,0.9712636470794678,4.856318235397339,0.66887,0.60444,0.92517,0.73118,0.7361,0.8212044358253479,8.212044358253479,1713425573,,False,10,62ce4ec8,2024-04-18_09-32-53,38.77124834060669,383.0771768093109,38956,AT-MB-PC-E13,127.0.0.1,383.0771768093109,10,256,0.0,6,0.0001
0.76132,0.73548,0.72458,0.72999,0.82789,0.5322137860690846,18.095268726348877,0.66225,0.59292,0.93056,0.72432,0.77954,0.7137074112892151,3.5685370564460754,0.64901,0.58874,0.92517,0.71958,0.70327,0.7634714782238007,7.634714782238007,1713425611,,False,11,62ce4ec8,2024-04-18_09-33-31,38.65184020996094,421.72901701927185,38956,AT-MB-PC-E13,127.0.0.1,421.72901701927185,11,256,0.0,6,0.0001
