train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.43,0.43,0.9,0.58,0.47,1.09224091908511,37.13619124889374,0.43,0.45,0.86,0.59,0.42,0.8453988194465637,4.226994097232819,1712684593,,False,1,c031ee85,2024-04-09_19-43-13,35.85627555847168,35.85627555847168,35640,AT-MB-PC-E13,127.0.0.1,35.85627555847168,1,64,6,0.0,0.001
0.67,0.63,0.62,0.63,0.72,0.6299246856394936,21.417439311742783,0.56,0.57,0.36,0.44,0.59,0.8783465385437011,4.391732692718506,1712684622,,False,2,c031ee85,2024-04-09_19-43-42,29.517043113708496,65.37331867218018,35640,AT-MB-PC-E13,127.0.0.1,65.37331867218018,2,64,6,0.0,0.001
0.75,0.71,0.74,0.72,0.8,0.5596288758165696,19.027381777763367,0.69,0.64,0.78,0.7,0.71,0.6414262771606445,3.2071313858032227,1712684653,,False,3,c031ee85,2024-04-09_19-44-13,30.355040311813354,95.72835898399353,35640,AT-MB-PC-E13,127.0.0.1,95.72835898399353,3,64,6,0.0,0.001
0.78,0.76,0.74,0.75,0.84,0.4950346122769749,16.831176817417145,0.65,0.6,0.81,0.69,0.72,0.7216710686683655,3.6083553433418274,1712684682,,False,4,c031ee85,2024-04-09_19-44-42,29.29916501045227,125.0275239944458,35640,AT-MB-PC-E13,127.0.0.1,125.0275239944458,4,64,6,0.0,0.001
0.74,0.7,0.73,0.72,0.82,0.5479759293444016,18.631181597709656,0.66,0.6,0.81,0.69,0.74,0.6614423394203186,3.307211697101593,1712684713,,False,5,c031ee85,2024-04-09_19-45-13,30.619675397872925,155.64719939231873,35640,AT-MB-PC-E13,127.0.0.1,155.64719939231873,5,64,6,0.0,0.001
0.77,0.75,0.74,0.74,0.84,0.4872488896636402,16.566462248563766,0.68,0.66,0.69,0.68,0.72,0.7618446826934815,3.8092234134674072,1712684742,,False,6,c031ee85,2024-04-09_19-45-42,29.26359486579895,184.91079425811768,35640,AT-MB-PC-E13,127.0.0.1,184.91079425811768,6,64,6,0.0,0.001
0.77,0.75,0.75,0.75,0.85,0.4868235789677676,16.5520016849041,0.67,0.6,0.89,0.72,0.76,0.7134358406066894,3.5671792030334473,1712684771,,False,7,c031ee85,2024-04-09_19-46-11,29.13472008705139,214.04551434516907,35640,AT-MB-PC-E13,127.0.0.1,214.04551434516907,7,64,6,0.0,0.001
0.76,0.74,0.73,0.73,0.85,0.494323697160272,16.80700570344925,0.6,0.54,0.93,0.69,0.7,0.8951321721076966,4.475660860538483,1712684802,,False,8,c031ee85,2024-04-09_19-46-42,30.635820150375366,244.68133449554443,35640,AT-MB-PC-E13,127.0.0.1,244.68133449554443,8,64,6,0.0,0.001
0.75,0.72,0.74,0.73,0.84,0.5186568595030728,17.634333223104477,0.74,0.72,0.75,0.73,0.74,0.6412235260009765,3.206117630004883,1712684831,,False,9,c031ee85,2024-04-09_19-47-11,29.069498538970947,273.7508330345154,35640,AT-MB-PC-E13,127.0.0.1,273.7508330345154,9,64,6,0.0,0.001
0.77,0.74,0.73,0.73,0.83,0.5042393321500105,17.144137293100357,0.66,0.6,0.81,0.69,0.69,0.7321416735649109,3.6607083678245544,1712684861,,False,10,c031ee85,2024-04-09_19-47-41,29.866533279418945,303.6173663139343,35640,AT-MB-PC-E13,127.0.0.1,303.6173663139343,10,64,6,0.0,0.001
0.74,0.71,0.7,0.7,0.81,0.5276737248196322,17.940906643867493,0.69,0.73,0.56,0.63,0.81,0.6048837304115295,3.0244186520576477,1712684891,,False,11,c031ee85,2024-04-09_19-48-11,29.982728958129883,333.6000952720642,35640,AT-MB-PC-E13,127.0.0.1,333.6000952720642,11,64,6,0.0,0.001
0.78,0.75,0.75,0.75,0.84,0.49217486600665483,16.733945444226265,0.7,0.68,0.72,0.7,0.73,0.7318094134330749,3.6590470671653748,1712684920,,False,12,c031ee85,2024-04-09_19-48-40,29.160714626312256,362.76080989837646,35640,AT-MB-PC-E13,127.0.0.1,362.76080989837646,12,64,6,0.0,0.001
0.77,0.75,0.72,0.74,0.84,0.5187495653243626,17.637485221028328,0.65,0.59,0.83,0.69,0.69,0.8352682948112488,4.176341474056244,1712684950,,False,13,c031ee85,2024-04-09_19-49-10,30.47575879096985,393.2365686893463,35640,AT-MB-PC-E13,127.0.0.1,393.2365686893463,13,64,6,0.0,0.001
0.77,0.75,0.73,0.74,0.84,0.5024876585778069,17.08458039164543,0.66,0.66,0.6,0.63,0.76,0.5953610181808472,2.976805090904236,1712684980,,False,14,c031ee85,2024-04-09_19-49-40,29.259088039398193,422.4956567287445,35640,AT-MB-PC-E13,127.0.0.1,422.4956567287445,14,64,6,0.0,0.001
0.74,0.7,0.73,0.72,0.82,0.5232051400577321,17.78897476196289,0.62,0.59,0.71,0.64,0.63,0.9134021639823914,4.567010819911957,1712685009,,True,15,c031ee85,2024-04-09_19-50-09,29.113702535629272,451.6093592643738,35640,AT-MB-PC-E13,127.0.0.1,451.6093592643738,15,64,6,0.0,0.001
