train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.49,0.46,0.78,0.58,0.53,0.8393601634923149,28.53824555873871,0.48,0.48,1.0,0.65,0.55,0.8699070096015931,4.349535048007965,1712666507,,False,1,e1a7d5a6,2024-04-09_14-41-47,47.71742820739746,47.71742820739746,25592,AT-MB-PC-E13,127.0.0.1,47.71742820739746,1,256,6,0.5,0.001
0.54,0.48,0.54,0.51,0.57,0.7307131816359127,24.844248175621033,0.52,0.5,0.32,0.39,0.47,0.7947900772094727,3.9739503860473633,1712666547,,False,2,e1a7d5a6,2024-04-09_14-42-27,39.99238419532776,87.70981240272522,25592,AT-MB-PC-E13,127.0.0.1,87.70981240272522,2,256,6,0.5,0.001
0.61,0.55,0.59,0.57,0.64,0.6722125288318185,22.85522598028183,0.52,0.48,0.18,0.26,0.49,0.8318607449531555,4.159303724765778,1712666587,,False,3,e1a7d5a6,2024-04-09_14-43-07,40.08871555328369,127.79852795600891,25592,AT-MB-PC-E13,127.0.0.1,127.79852795600891,3,256,6,0.5,0.001
0.61,0.57,0.54,0.55,0.68,0.6529623287565568,22.20071917772293,0.62,0.62,0.51,0.56,0.66,0.6480915188789368,3.240457594394684,1712666628,,False,4,e1a7d5a6,2024-04-09_14-43-48,40.83108925819397,168.62961721420288,25592,AT-MB-PC-E13,127.0.0.1,168.62961721420288,4,256,6,0.5,0.001
0.67,0.63,0.64,0.64,0.74,0.6120859349475187,20.810921788215637,0.65,0.61,0.74,0.67,0.72,0.6358410000801087,3.179205000400543,1712666668,,False,5,e1a7d5a6,2024-04-09_14-44-28,40.501601219177246,209.13121843338013,25592,AT-MB-PC-E13,127.0.0.1,209.13121843338013,5,256,6,0.5,0.001
0.71,0.69,0.65,0.67,0.77,0.5769534426576951,19.616417050361633,0.66,0.64,0.67,0.65,0.73,0.633678936958313,3.168394684791565,1712666708,,False,6,e1a7d5a6,2024-04-09_14-45-08,40.15064787864685,249.28186631202698,25592,AT-MB-PC-E13,127.0.0.1,249.28186631202698,6,256,6,0.5,0.001
0.69,0.66,0.65,0.66,0.76,0.5873750290449928,19.970750987529755,0.6,0.56,0.79,0.66,0.63,0.7743224978446961,3.8716124892234802,1712666748,,False,7,e1a7d5a6,2024-04-09_14-45-48,40.28368330001831,289.5655496120453,25592,AT-MB-PC-E13,127.0.0.1,289.5655496120453,7,256,6,0.5,0.001
0.73,0.7,0.69,0.7,0.79,0.5527431482777876,18.79326704144478,0.56,0.6,0.25,0.35,0.56,0.8770764827728271,4.385382413864136,1712666789,,False,8,e1a7d5a6,2024-04-09_14-46-29,40.408286809921265,329.97383642196655,25592,AT-MB-PC-E13,127.0.0.1,329.97383642196655,8,256,6,0.5,0.001
0.73,0.72,0.64,0.68,0.79,0.591030197985032,20.09502673149109,0.6,0.55,0.9,0.68,0.73,0.7109252095222474,3.5546260476112366,1712666829,,False,9,e1a7d5a6,2024-04-09_14-47-09,40.277403593063354,370.2512400150299,25592,AT-MB-PC-E13,127.0.0.1,370.2512400150299,9,256,6,0.5,0.001
0.72,0.7,0.67,0.68,0.79,0.5638215769739712,19.16993361711502,0.66,0.65,0.61,0.63,0.68,0.8413401961326599,4.2067009806633,1712666870,,False,10,e1a7d5a6,2024-04-09_14-47-50,40.85881066322327,411.1100506782532,25592,AT-MB-PC-E13,127.0.0.1,411.1100506782532,10,256,6,0.5,0.001
