train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.46,0.43,0.61,0.5,0.48,1.06717551631086,36.283967554569244,0.48,0.48,1.0,0.65,0.62,1.4530978202819824,7.265489101409912,1712814104,,False,1,a5533efa,2024-04-11_07-41-44,33.10656142234802,33.10656142234802,36576,AT-MB-PC-E13,127.0.0.1,33.10656142234802,1,64,3,0.5,0.001
0.54,0.48,0.43,0.46,0.53,0.8570982954081368,29.141342043876648,0.48,0.47,0.9,0.62,0.61,1.2831012964248658,6.415506482124329,1712814119,,False,2,a5533efa,2024-04-11_07-41-59,14.520463228225708,47.62702465057373,36576,AT-MB-PC-E13,127.0.0.1,47.62702465057373,2,64,3,0.5,0.001
0.61,0.56,0.55,0.56,0.63,0.742253270219354,25.23661118745804,0.56,0.57,0.28,0.37,0.56,0.7963951587677002,3.981975793838501,1712814134,,False,3,a5533efa,2024-04-11_07-42-14,14.92983078956604,62.55685544013977,36576,AT-MB-PC-E13,127.0.0.1,62.55685544013977,3,64,3,0.5,0.001
0.59,0.54,0.53,0.53,0.62,0.7469342640217613,25.395764976739883,0.59,0.58,0.49,0.53,0.61,0.7515218615531921,3.7576093077659607,1712814149,,False,4,a5533efa,2024-04-11_07-42-29,15.094845056533813,77.65170049667358,36576,AT-MB-PC-E13,127.0.0.1,77.65170049667358,4,64,3,0.5,0.001
0.61,0.56,0.53,0.55,0.63,0.7432637652930092,25.27096801996231,0.61,0.59,0.57,0.58,0.65,0.7478516817092895,3.7392584085464478,1712814163,,False,5,a5533efa,2024-04-11_07-42-43,14.43770694732666,92.08940744400024,36576,AT-MB-PC-E13,127.0.0.1,92.08940744400024,5,64,3,0.5,0.001
0.6,0.55,0.53,0.54,0.64,0.7032583741580739,23.91078472137451,0.6,0.62,0.4,0.49,0.66,0.7509266257286071,3.754633128643036,1712814178,,False,6,a5533efa,2024-04-11_07-42-58,15.091284036636353,107.1806914806366,36576,AT-MB-PC-E13,127.0.0.1,107.1806914806366,6,64,3,0.5,0.001
0.64,0.6,0.55,0.57,0.67,0.6916913653121275,23.517506420612335,0.54,0.53,0.33,0.41,0.51,1.1874688267707825,5.937344133853912,1712814194,,False,7,a5533efa,2024-04-11_07-43-14,15.1581711769104,122.338862657547,36576,AT-MB-PC-E13,127.0.0.1,122.338862657547,7,64,3,0.5,0.001
0.59,0.54,0.47,0.5,0.6,0.7715090127552257,26.231306433677673,0.55,0.53,0.46,0.49,0.57,0.7931532025337219,3.9657660126686096,1712814208,,False,8,a5533efa,2024-04-11_07-43-28,14.609802961349487,136.94866561889648,36576,AT-MB-PC-E13,127.0.0.1,136.94866561889648,8,64,3,0.5,0.001
0.6,0.55,0.61,0.58,0.65,0.7106547715032802,24.162262231111526,0.58,0.6,0.39,0.47,0.58,0.7400590300559997,3.700295150279999,1712814223,,False,9,a5533efa,2024-04-11_07-43-43,15.023197889328003,151.9718635082245,36576,AT-MB-PC-E13,127.0.0.1,151.9718635082245,9,64,3,0.5,0.001
0.63,0.6,0.56,0.58,0.67,0.6608535682453829,22.469021320343018,0.56,0.52,0.88,0.66,0.67,0.941536796092987,4.707683980464935,1712814238,,False,10,a5533efa,2024-04-11_07-43-58,15.208710670471191,167.18057417869568,36576,AT-MB-PC-E13,127.0.0.1,167.18057417869568,10,64,3,0.5,0.001
0.65,0.61,0.56,0.59,0.7,0.6398721679168589,21.755653709173203,0.58,0.75,0.17,0.27,0.57,1.0540078401565551,5.270039200782776,1712814253,,False,11,a5533efa,2024-04-11_07-44-13,14.231853246688843,181.41242742538452,36576,AT-MB-PC-E13,127.0.0.1,181.41242742538452,11,64,3,0.5,0.001
0.64,0.6,0.58,0.59,0.7,0.6392089505405987,21.733104318380356,0.5,0.48,0.69,0.57,0.53,0.8700460195541382,4.350230097770691,1712814268,,False,12,a5533efa,2024-04-11_07-44-28,14.99773621559143,196.41016364097595,36576,AT-MB-PC-E13,127.0.0.1,196.41016364097595,12,64,3,0.5,0.001
0.69,0.67,0.59,0.63,0.74,0.6107428687460282,20.76525753736496,0.59,0.6,0.42,0.49,0.61,0.8239380717277527,4.119690358638763,1712814282,,False,13,a5533efa,2024-04-11_07-44-42,14.636704444885254,211.0468680858612,36576,AT-MB-PC-E13,127.0.0.1,211.0468680858612,13,64,3,0.5,0.001
0.67,0.64,0.59,0.62,0.73,0.620030922924771,21.081051379442215,0.52,0.5,0.93,0.65,0.64,1.0400526762008666,5.2002633810043335,1712814297,,False,14,a5533efa,2024-04-11_07-44-57,15.145595788955688,226.1924638748169,36576,AT-MB-PC-E13,127.0.0.1,226.1924638748169,14,64,3,0.5,0.001
0.68,0.65,0.63,0.64,0.75,0.6185591124436435,21.031009823083878,0.5,0.49,0.93,0.64,0.63,1.7112329959869386,8.556164979934692,1712814312,,True,15,a5533efa,2024-04-11_07-45-12,14.89768362045288,241.09014749526978,36576,AT-MB-PC-E13,127.0.0.1,241.09014749526978,15,64,3,0.5,0.001
