train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.45,0.41,0.52,0.46,0.46,0.9464571335736442,32.179542541503906,0.48,0.48,1.0,0.65,0.69,4.856473922729492,24.28236961364746,1712825190,,False,1,290b1a1f,2024-04-11_10-46-30,32.00977802276611,32.00977802276611,38548,AT-MB-PC-E13,127.0.0.1,32.00977802276611,1,64,3,0.0,0.0001
0.56,0.5,0.49,0.49,0.57,0.7216459004318013,24.535960614681244,0.48,0.48,0.97,0.64,0.66,1.2300609350204468,6.150304675102234,1712825201,,False,2,290b1a1f,2024-04-11_10-46-41,11.562552213668823,43.57233023643494,38548,AT-MB-PC-E13,127.0.0.1,43.57233023643494,2,64,3,0.0,0.0001
0.66,0.63,0.57,0.6,0.7,0.6354354891706916,21.604806631803513,0.62,0.58,0.72,0.64,0.64,0.6913730502128601,3.4568652510643005,1712825213,,False,3,290b1a1f,2024-04-11_10-46-53,11.783312559127808,55.355642795562744,38548,AT-MB-PC-E13,127.0.0.1,55.355642795562744,3,64,3,0.0,0.0001
0.7,0.66,0.69,0.67,0.75,0.5860474933596218,19.925614774227142,0.63,0.59,0.71,0.65,0.67,0.7190346360206604,3.595173180103302,1712825224,,False,4,290b1a1f,2024-04-11_10-47-04,11.517285823822021,66.87292861938477,38548,AT-MB-PC-E13,127.0.0.1,66.87292861938477,4,64,3,0.0,0.0001
0.72,0.7,0.66,0.68,0.78,0.5715288677636314,19.43198150396347,0.63,0.62,0.58,0.6,0.66,0.7272339105606079,3.6361695528030396,1712825236,,False,5,290b1a1f,2024-04-11_10-47-16,11.988457679748535,78.8613862991333,38548,AT-MB-PC-E13,127.0.0.1,78.8613862991333,5,64,3,0.0,0.0001
0.74,0.72,0.67,0.7,0.8,0.5341305355815327,18.16043820977211,0.6,0.6,0.44,0.51,0.61,0.7521889090538025,3.7609445452690125,1712825248,,False,6,290b1a1f,2024-04-11_10-47-28,11.410020112991333,90.27140641212463,38548,AT-MB-PC-E13,127.0.0.1,90.27140641212463,6,64,3,0.0,0.0001
0.75,0.72,0.72,0.72,0.81,0.5372194875689114,18.265462577342987,0.6,0.57,0.64,0.6,0.67,0.6771395087242127,3.3856975436210632,1712825260,,False,7,290b1a1f,2024-04-11_10-47-40,11.634653806686401,101.90606021881104,38548,AT-MB-PC-E13,127.0.0.1,101.90606021881104,7,64,3,0.0,0.0001
0.73,0.7,0.68,0.69,0.8,0.5506405821617912,18.7217797935009,0.63,0.6,0.67,0.63,0.7,0.7478423953056336,3.7392119765281677,1712825271,,False,8,290b1a1f,2024-04-11_10-47-51,11.667306423187256,113.57336664199829,38548,AT-MB-PC-E13,127.0.0.1,113.57336664199829,8,64,3,0.0,0.0001
0.73,0.69,0.71,0.7,0.8,0.5506234861472074,18.72119852900505,0.52,0.5,0.61,0.55,0.59,1.319063949584961,6.595319747924805,1712825283,,False,9,290b1a1f,2024-04-11_10-48-03,11.596623659133911,125.1699903011322,38548,AT-MB-PC-E13,127.0.0.1,125.1699903011322,9,64,3,0.0,0.0001
0.74,0.73,0.68,0.7,0.82,0.5216669817181194,17.73667737841606,0.55,0.6,0.17,0.26,0.6,0.9971074223518371,4.985537111759186,1712825295,,False,10,290b1a1f,2024-04-11_10-48-15,11.979387044906616,137.14937734603882,38548,AT-MB-PC-E13,127.0.0.1,137.14937734603882,10,64,3,0.0,0.0001
0.74,0.71,0.7,0.71,0.82,0.534318332286442,18.16682329773903,0.62,0.57,0.78,0.66,0.7,0.8634099841117859,4.317049920558929,1712825306,,False,11,290b1a1f,2024-04-11_10-48-26,11.21227502822876,148.36165237426758,38548,AT-MB-PC-E13,127.0.0.1,148.36165237426758,11,64,3,0.0,0.0001
0.76,0.73,0.73,0.73,0.83,0.5345540037926506,18.17483612895012,0.58,0.56,0.61,0.58,0.61,0.842568826675415,4.212844133377075,1712825318,,False,12,290b1a1f,2024-04-11_10-48-38,11.891384363174438,160.25303673744202,38548,AT-MB-PC-E13,127.0.0.1,160.25303673744202,12,64,3,0.0,0.0001
0.76,0.73,0.72,0.73,0.82,0.5263835673823076,17.89704129099846,0.57,0.53,0.88,0.66,0.68,1.2382283329963684,6.191141664981842,1712825329,,False,13,290b1a1f,2024-04-11_10-48-49,11.590894937515259,171.84393167495728,38548,AT-MB-PC-E13,127.0.0.1,171.84393167495728,13,64,3,0.0,0.0001
0.77,0.75,0.74,0.74,0.84,0.4903882233535542,16.673199594020844,0.55,0.52,0.67,0.59,0.6,1.200975203514099,6.004876017570496,1712825341,,False,14,290b1a1f,2024-04-11_10-49-01,11.618293762207031,183.4622254371643,38548,AT-MB-PC-E13,127.0.0.1,183.4622254371643,14,64,3,0.0,0.0001
0.77,0.74,0.76,0.75,0.85,0.4903414529912612,16.67160940170288,0.68,0.63,0.79,0.7,0.72,0.7196660280227661,3.5983301401138306,1712825353,,True,15,290b1a1f,2024-04-11_10-49-13,11.694783449172974,195.15700888633728,38548,AT-MB-PC-E13,127.0.0.1,195.15700888633728,15,64,3,0.0,0.0001
