train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.46,0.45,0.92,0.6,0.55,1.4570188311969532,49.53864026069641,0.48,0.48,1.0,0.65,0.61,5.549258613586426,27.74629306793213,1712823816,,False,1,6c666569,2024-04-11_10-23-36,41.143933057785034,41.143933057785034,45724,AT-MB-PC-E13,127.0.0.1,41.143933057785034,1,64,6,0.0,0.0001
0.54,0.48,0.62,0.54,0.56,0.8420537920559154,28.629828929901123,0.48,0.48,0.85,0.61,0.59,1.1496082901954652,5.748041450977325,1712823837,,False,2,6c666569,2024-04-11_10-23-57,20.182483196258545,61.32641625404358,45724,AT-MB-PC-E13,127.0.0.1,61.32641625404358,2,64,6,0.0,0.0001
0.66,0.63,0.58,0.61,0.69,0.6478963520597009,22.02847597002983,0.56,0.53,0.74,0.62,0.65,0.7857588410377503,3.928794205188751,1712823857,,False,3,6c666569,2024-04-11_10-24-17,20.504383325576782,81.83079957962036,45724,AT-MB-PC-E13,127.0.0.1,81.83079957962036,3,64,6,0.0,0.0001
0.7,0.66,0.66,0.66,0.75,0.6014341151013094,20.44875991344452,0.59,0.56,0.64,0.6,0.58,0.8514707803726196,4.257353901863098,1712823877,,False,4,6c666569,2024-04-11_10-24-37,20.184778690338135,102.0155782699585,45724,AT-MB-PC-E13,127.0.0.1,102.0155782699585,4,64,6,0.0,0.0001
0.73,0.7,0.71,0.7,0.79,0.5720860405879862,19.45092537999153,0.64,0.58,0.9,0.7,0.71,0.8236610531806946,4.118305265903473,1712823898,,False,5,6c666569,2024-04-11_10-24-58,20.136109590530396,122.15168786048889,45724,AT-MB-PC-E13,127.0.0.1,122.15168786048889,5,64,6,0.0,0.0001
0.75,0.72,0.7,0.71,0.8,0.5494755129603779,18.682167440652847,0.61,0.56,0.86,0.68,0.7,0.9116727590560914,4.5583637952804565,1712823918,,False,6,6c666569,2024-04-11_10-25-18,20.55979037284851,142.7114782333374,45724,AT-MB-PC-E13,127.0.0.1,142.7114782333374,6,64,6,0.0,0.0001
0.74,0.7,0.72,0.71,0.81,0.5315077015582252,18.07126185297966,0.6,0.55,0.93,0.69,0.68,1.1999662876129151,5.999831438064575,1712823938,,False,7,6c666569,2024-04-11_10-25-38,20.35669183731079,163.0681700706482,45724,AT-MB-PC-E13,127.0.0.1,163.0681700706482,7,64,6,0.0,0.0001
0.75,0.72,0.71,0.71,0.82,0.5370024670572842,18.258083879947662,0.63,0.64,0.5,0.56,0.68,0.8174269318580627,4.087134659290314,1712823959,,False,8,6c666569,2024-04-11_10-25-59,20.26723313331604,183.33540320396423,45724,AT-MB-PC-E13,127.0.0.1,183.33540320396423,8,64,6,0.0,0.0001
0.73,0.7,0.71,0.7,0.81,0.5566875548923716,18.927376866340637,0.59,0.54,0.92,0.68,0.69,0.9360279083251953,4.680139541625977,1712823979,,False,9,6c666569,2024-04-11_10-26-19,20.24575710296631,203.58116030693054,45724,AT-MB-PC-E13,127.0.0.1,203.58116030693054,9,64,6,0.0,0.0001
0.72,0.69,0.68,0.69,0.8,0.5527601978358101,18.79384672641754,0.6,0.57,0.65,0.61,0.67,0.8876012444496155,4.438006222248077,1712823999,,False,10,6c666569,2024-04-11_10-26-39,20.27542781829834,223.85658812522888,45724,AT-MB-PC-E13,127.0.0.1,223.85658812522888,10,64,6,0.0,0.0001
0.76,0.74,0.74,0.74,0.83,0.5180313587188721,17.61306619644165,0.6,0.55,0.85,0.67,0.68,0.9286394476890564,4.643197238445282,1712824013,,False,11,6c666569,2024-04-11_10-26-53,13.627861022949219,237.4844491481781,45724,AT-MB-PC-E13,127.0.0.1,237.4844491481781,11,64,6,0.0,0.0001
0.76,0.73,0.72,0.73,0.83,0.5119652967242634,17.406820088624954,0.58,0.55,0.74,0.63,0.61,0.9091742873191834,4.545871436595917,1712824028,,False,12,6c666569,2024-04-11_10-27-08,15.57798433303833,253.06243348121643,45724,AT-MB-PC-E13,127.0.0.1,253.06243348121643,12,64,6,0.0,0.0001
0.76,0.75,0.71,0.73,0.85,0.4994514961453045,16.981350868940353,0.5,0.49,1.0,0.65,0.7,1.9377302646636962,9.688651323318481,1712824048,,False,13,6c666569,2024-04-11_10-27-28,19.529056549072266,272.5914900302887,45724,AT-MB-PC-E13,127.0.0.1,272.5914900302887,13,64,6,0.0,0.0001
0.78,0.74,0.79,0.76,0.86,0.47647832947618823,16.2002632021904,0.73,0.68,0.81,0.74,0.77,0.6096464037895203,3.0482320189476013,1712824068,,False,14,6c666569,2024-04-11_10-27-48,19.61937928199768,292.2108693122864,45724,AT-MB-PC-E13,127.0.0.1,292.2108693122864,14,64,6,0.0,0.0001
0.76,0.72,0.76,0.74,0.85,0.5124734254444346,17.42409646511078,0.67,0.63,0.72,0.68,0.75,0.6802215278148651,3.4011076390743256,1712824087,,False,15,6c666569,2024-04-11_10-28-07,19.716869115829468,311.92773842811584,45724,AT-MB-PC-E13,127.0.0.1,311.92773842811584,15,64,6,0.0,0.0001
0.79,0.77,0.76,0.76,0.87,0.4523344741148107,15.379372119903564,0.64,0.63,0.58,0.6,0.73,0.66768319606781,3.3384159803390503,1712824107,,False,16,6c666569,2024-04-11_10-28-27,19.330371141433716,331.25810956954956,45724,AT-MB-PC-E13,127.0.0.1,331.25810956954956,16,64,6,0.0,0.0001
