train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.46,0.45,0.92,0.6,0.55,1.4570188487277311,49.53864085674286,0.48,0.48,1.0,0.65,0.61,5.549258232116699,27.746291160583496,1712826302,,False,1,a8bf4601,2024-04-11_11-05-02,37.58774137496948,37.58774137496948,49428,AT-MB-PC-E13,127.0.0.1,37.58774137496948,1,256,6,0.0,0.0001
0.54,0.48,0.62,0.54,0.56,0.8420523580382852,28.629780173301697,0.48,0.48,0.85,0.61,0.59,1.1496253609657288,5.748126804828644,1712826322,,False,2,a8bf4601,2024-04-11_11-05-22,19.843682527542114,57.4314239025116,49428,AT-MB-PC-E13,127.0.0.1,57.4314239025116,2,256,6,0.0,0.0001
0.66,0.63,0.58,0.6,0.69,0.6477944307467517,22.025010645389557,0.56,0.53,0.74,0.62,0.65,0.7819990515708923,3.9099952578544617,1712826342,,False,3,a8bf4601,2024-04-11_11-05-42,19.98105549812317,77.41247940063477,49428,AT-MB-PC-E13,127.0.0.1,77.41247940063477,3,256,6,0.0,0.0001
0.7,0.66,0.66,0.66,0.75,0.604921759927974,20.567339837551117,0.58,0.55,0.57,0.56,0.61,0.7870010256767273,3.9350051283836365,1712826363,,False,4,a8bf4601,2024-04-11_11-06-03,20.783878803253174,98.19635820388794,49428,AT-MB-PC-E13,127.0.0.1,98.19635820388794,4,256,6,0.0,0.0001
0.73,0.7,0.71,0.7,0.78,0.5734415983452517,19.497014343738556,0.58,0.54,0.72,0.62,0.67,0.8677904605865479,4.338952302932739,1712826384,,False,5,a8bf4601,2024-04-11_11-06-24,20.67727828025818,118.87363648414612,49428,AT-MB-PC-E13,127.0.0.1,118.87363648414612,5,256,6,0.0,0.0001
0.72,0.7,0.66,0.68,0.81,0.5341943406006869,18.162607580423355,0.56,0.53,0.86,0.65,0.68,0.9718325734138489,4.859162867069244,1712826397,,False,6,a8bf4601,2024-04-11_11-06-37,13.750715017318726,132.62435150146484,49428,AT-MB-PC-E13,127.0.0.1,132.62435150146484,6,256,6,0.0,0.0001
0.74,0.7,0.72,0.71,0.8,0.5452957600355148,18.540055841207504,0.59,0.54,0.88,0.67,0.65,1.088036096096039,5.440180480480194,1712826415,,False,7,a8bf4601,2024-04-11_11-06-55,17.197243690490723,149.82159519195557,49428,AT-MB-PC-E13,127.0.0.1,149.82159519195557,7,256,6,0.0,0.0001
0.74,0.7,0.71,0.71,0.81,0.545808625571868,18.557493269443512,0.62,0.71,0.33,0.45,0.65,0.8514749526977539,4.2573747634887695,1712826435,,False,8,a8bf4601,2024-04-11_11-07-15,20.61261749267578,170.43421268463135,49428,AT-MB-PC-E13,127.0.0.1,170.43421268463135,8,256,6,0.0,0.0001
0.77,0.74,0.76,0.75,0.85,0.505129262804985,17.17439493536949,0.65,0.59,0.83,0.69,0.71,0.8417775154113769,4.208887577056885,1712826457,,False,9,a8bf4601,2024-04-11_11-07-37,21.272316217422485,191.70652890205383,49428,AT-MB-PC-E13,127.0.0.1,191.70652890205383,9,256,6,0.0,0.0001
0.75,0.72,0.72,0.72,0.82,0.5243757866761264,17.828776746988297,0.62,0.59,0.71,0.64,0.67,0.9490041851997375,4.745020925998688,1712826477,,False,10,a8bf4601,2024-04-11_11-07-57,20.85725450515747,212.5637834072113,49428,AT-MB-PC-E13,127.0.0.1,212.5637834072113,10,256,6,0.0,0.0001
0.77,0.74,0.74,0.74,0.85,0.4907681749147527,16.686117947101593,0.6,0.55,0.93,0.69,0.65,1.1386231184005737,5.693115592002869,1712826498,,False,11,a8bf4601,2024-04-11_11-08-18,20.89401340484619,233.4577968120575,49428,AT-MB-PC-E13,127.0.0.1,233.4577968120575,11,256,6,0.0,0.0001
0.76,0.73,0.73,0.73,0.83,0.5129497515804627,17.440291553735733,0.64,0.6,0.78,0.67,0.66,1.1285148501396178,5.64257425069809,1712826519,,False,12,a8bf4601,2024-04-11_11-08-39,20.473407983779907,253.9312047958374,49428,AT-MB-PC-E13,127.0.0.1,253.9312047958374,12,256,6,0.0,0.0001
