train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss
0.46887,0.39683,0.37076,0.38335,0.44156,0.839221575680901,28.533533573150635,0.52318,0.0,0.0,0.0,0.41192,0.8350223422050476,4.175111711025238,0.50993,0.0,0.0,0.0,0.40676,0.8263727009296418,8.263727009296417
0.56792,0.51542,0.49576,0.5054,0.58101,0.6897918511839474,23.45292294025421,0.54305,0.53333,0.33333,0.41026,0.54026,0.6995455026626587,3.4977275133132935,0.61589,0.65049,0.45578,0.536,0.65192,0.6636160016059875,6.6361600160598755
0.68679,0.64768,0.65042,0.64905,0.74167,0.5970866162987316,20.300944954156876,0.56291,0.56818,0.34722,0.43103,0.56821,0.76610769033432,3.8305384516716003,0.65563,0.6748,0.56463,0.61481,0.69357,0.6480029642581939,6.48002964258194
0.73396,0.69231,0.72458,0.70807,0.78762,0.5637968568240895,19.169093132019043,0.54305,0.54286,0.26389,0.35514,0.62729,0.6831790566444397,3.4158952832221985,0.66556,0.73469,0.4898,0.58776,0.74624,0.5997656255960464,5.9976562559604645
0.75094,0.72128,0.71822,0.71975,0.83093,0.5149327253594118,17.50771266222,0.60927,0.55752,0.875,0.68108,0.67968,0.7135112404823303,3.5675562024116516,0.65894,0.60185,0.88435,0.71625,0.74602,0.6537031173706055,6.537031173706055
0.75849,0.72407,0.73941,0.73166,0.83645,0.5074231685960994,17.25238773226738,0.62252,0.58427,0.72222,0.64596,0.67027,0.6562463760375976,3.2812318801879883,0.69205,0.66071,0.7551,0.70476,0.7652,0.5863207668066025,5.863207668066025
0.76509,0.72709,0.75636,0.74143,0.84123,0.5056515011717292,17.19215103983879,0.58278,0.56338,0.55556,0.55944,0.64434,0.7073037624359131,3.5365188121795654,0.66225,0.64901,0.66667,0.65772,0.72561,0.6271208226680756,6.271208226680756
0.78585,0.75681,0.76483,0.7608,0.87614,0.4648031268049689,15.803306311368942,0.6755,0.63218,0.76389,0.69182,0.68917,0.7155117392539978,3.577558696269989,0.67881,0.62755,0.83673,0.7172,0.71135,0.6993273973464966,6.993273973464966
0.80189,0.77637,0.77966,0.77801,0.88349,0.43489769013488994,14.786521464586258,0.68212,0.63636,0.77778,0.7,0.7238,0.6174709081649781,3.08735454082489,0.71854,0.655,0.89116,0.75504,0.77367,0.6110843986272811,6.110843986272812
0.79057,0.76596,0.76271,0.76433,0.87385,0.44540396727183285,15.143734887242317,0.60265,0.61111,0.45833,0.52381,0.71976,0.6954428851604462,3.477214425802231,0.69536,0.69504,0.66667,0.68056,0.75725,0.6507875323295593,6.507875323295593
0.79245,0.75506,0.79025,0.77226,0.87595,0.44733620697961135,15.209431037306786,0.71523,0.67901,0.76389,0.71895,0.76336,0.6225241899490357,3.1126209497451782,0.68543,0.66456,0.71429,0.68852,0.76919,0.6098589420318603,6.0985894203186035
0.82264,0.79098,0.8178,0.80417,0.89797,0.4100084729930934,13.940288081765175,0.71523,0.67901,0.76389,0.71895,0.75334,0.5829105496406555,2.9145527482032776,0.74172,0.69492,0.83673,0.75926,0.7968,0.5416231960058212,5.416231960058212
0.84245,0.81837,0.83051,0.8244,0.91831,0.3806641684735523,12.942581728100777,0.6755,0.63855,0.73611,0.68387,0.72776,0.6945270597934723,3.4726352989673615,0.72848,0.67956,0.83673,0.75,0.79535,0.5878759741783142,5.878759741783142
0.84717,0.82563,0.83263,0.82911,0.91246,0.3761809507713598,12.790152326226234,0.70199,0.68493,0.69444,0.68966,0.73418,0.6690058708190918,3.345029354095459,0.69536,0.67974,0.70748,0.69333,0.76998,0.5947378486394882,5.947378486394882
0.83962,0.79724,0.85805,0.82653,0.91659,0.3616751813713242,12.296956166625023,0.64901,0.69388,0.47222,0.56198,0.7602,0.6360436797142028,3.1802183985710144,0.7053,0.75893,0.57823,0.65637,0.80123,0.5831853806972503,5.831853806972504
0.82925,0.80503,0.81356,0.80927,0.91652,0.3716562328969731,12.636311918497086,0.62252,0.64151,0.47222,0.544,0.70517,0.8209318518638611,4.104659259319305,0.68543,0.66883,0.70068,0.68439,0.76449,0.6335512161254883,6.335512161254883
0.83868,0.80527,0.8411,0.8228,0.9137,0.3798796942128855,12.915909603238106,0.6755,0.62637,0.79167,0.69939,0.74701,0.6620181202888489,3.3100906014442444,0.72517,0.7,0.7619,0.72964,0.78754,0.5806942939758301,5.806942939758301
0.82075,0.79747,0.80085,0.79915,0.90495,0.38644032530924854,13.13897106051445,0.64238,0.58824,0.83333,0.68966,0.71431,0.7256498217582703,3.6282491087913513,0.69536,0.62791,0.91837,0.74586,0.78411,0.6327579885721206,6.327579885721207
0.83679,0.80825,0.83051,0.81923,0.9151,0.3658502938992837,12.438909992575645,0.58278,0.64516,0.27778,0.38835,0.72943,0.8158639311790467,4.079319655895233,0.6457,0.8125,0.35374,0.49289,0.76568,0.7947828531265259,7.947828531265259
0.85566,0.83299,0.84534,0.83912,0.9268,0.33778980681124854,11.48485343158245,0.68212,0.72222,0.54167,0.61905,0.72293,0.7269503831863403,3.6347519159317017,0.69536,0.68707,0.68707,0.68707,0.75813,0.6186710357666015,6.186710357666016
0.85189,0.83019,0.83898,0.83456,0.92206,0.3488774115548414,11.861831992864609,0.56291,0.63636,0.19444,0.29787,0.70622,0.9696660280227661,4.848330140113831,0.68874,0.81928,0.46259,0.5913,0.7989,0.7708725571632385,7.708725571632385
0.85566,0.83299,0.84534,0.83912,0.9315,0.324972403838354,11.049061730504036,0.6755,0.64935,0.69444,0.67114,0.74824,0.6250945448875427,3.1254727244377136,0.68543,0.68056,0.66667,0.67354,0.76568,0.6201363861560821,6.2013638615608215
0.84906,0.82911,0.83263,0.83087,0.92519,0.339087588383871,11.528978005051613,0.66887,0.60784,0.86111,0.71264,0.75967,0.7624129831790925,3.812064915895462,0.71192,0.64706,0.89796,0.75214,0.81896,0.6159688174724579,6.159688174724579
0.86038,0.84177,0.84534,0.84355,0.93415,0.3180491777465624,10.813672043383121,0.66887,0.71154,0.51389,0.59677,0.7442,0.7413007974624634,3.706503987312317,0.72517,0.7623,0.63265,0.69145,0.8061,0.634298786520958,6.3429878652095795
0.8717,0.84568,0.87076,0.85804,0.94252,0.31568388772361416,10.733252182602882,0.70861,0.66279,0.79167,0.72152,0.75193,0.6916228055953979,3.4581140279769897,0.64238,0.6242,0.66667,0.64474,0.71731,0.7098061740398407,7.098061740398407
0.86509,0.84342,0.85593,0.84963,0.94202,0.3264474728528191,11.09921407699585,0.72185,0.72727,0.66667,0.69565,0.79685,0.6113104343414306,3.0565521717071533,0.73841,0.76154,0.67347,0.7148,0.81198,0.6019495964050293,6.019495964050293
0.87547,0.84836,0.87712,0.8625,0.94297,0.3291990099584355,11.192766338586807,0.69536,0.63542,0.84722,0.72619,0.75668,0.7635838031768799,3.8179190158843994,0.7351,0.67539,0.87755,0.76331,0.80303,0.6266760349273681,6.266760349273682
0.88585,0.86639,0.87924,0.87277,0.94895,0.29351111852070866,9.979378029704094,0.66225,0.68421,0.54167,0.60465,0.73312,0.7764111280441284,3.882055640220642,0.74503,0.73333,0.7483,0.74074,0.80228,0.6145819544792175,6.145819544792175
0.88208,0.86071,0.87712,0.86884,0.95205,0.2912726077963324,9.903268665075302,0.72185,0.69231,0.75,0.72,0.7616,0.7159917473793029,3.579958736896515,0.71854,0.6962,0.7483,0.72131,0.81058,0.5844437420368195,5.844437420368195
0.87925,0.85685,0.875,0.86583,0.95397,0.2760455796823782,9.385549709200859,0.75497,0.74648,0.73611,0.74126,0.7972,0.6310388565063476,3.1551942825317383,0.69536,0.66467,0.7551,0.70701,0.79043,0.6448011845350266,6.4480118453502655
0.88679,0.85484,0.89831,0.87603,0.95647,0.2703561276635703,9.19210834056139,0.69536,0.64773,0.79167,0.7125,0.76125,0.6683266520500183,3.3416332602500916,0.71523,0.73282,0.65306,0.69065,0.80018,0.5918477952480317,5.918477952480316
0.88491,0.8692,0.87288,0.87104,0.9537,0.27301153343390017,9.282392136752605,0.64901,0.61446,0.70833,0.65806,0.6948,0.7501699745655059,3.75084987282753,0.68212,0.66667,0.69388,0.68,0.77397,0.6381798177957535,6.381798177957535
0.9,0.88445,0.89195,0.88819,0.96079,0.2593056138824014,8.816390872001648,0.72848,0.71831,0.70833,0.71329,0.80239,0.6607160687446594,3.303580343723297,0.73179,0.73239,0.70748,0.71972,0.83476,0.5759985268115997,5.759985268115997
0.89811,0.88235,0.88983,0.88608,0.95728,0.26275139126707525,8.933547303080559,0.59603,0.56471,0.66667,0.61146,0.68231,0.8277314901351929,4.138657450675964,0.69205,0.68493,0.68027,0.68259,0.79092,0.6644416123628616,6.644416123628616
0.89434,0.88298,0.87924,0.8811,0.96415,0.247853844481356,8.427030712366104,0.65563,0.63889,0.63889,0.63889,0.78516,0.6144787788391113,3.0723938941955566,0.65563,0.63522,0.68707,0.66013,0.76761,0.6206252694129943,6.206252694129944
0.89151,0.87579,0.88136,0.87856,0.95731,0.293238647720393,9.970114022493362,0.65563,0.63889,0.63889,0.63889,0.76635,0.6650752067565918,3.325376033782959,0.73841,0.77419,0.65306,0.70849,0.83322,0.57651988863945,5.765198886394501
0.88208,0.85193,0.88983,0.87047,0.95397,0.27374392528744307,9.307293459773064,0.70861,0.71212,0.65278,0.68116,0.77602,0.7246690809726715,3.6233454048633575,0.71192,0.68519,0.7551,0.71845,0.80092,0.6063446909189224,6.063446909189224
0.88679,0.88767,0.85381,0.87041,0.95849,0.26915328423766527,9.15121166408062,0.66225,0.67213,0.56944,0.61654,0.7456,0.8441028118133544,4.2205140590667725,0.70199,0.69655,0.68707,0.69178,0.79772,0.6803790032863617,6.803790032863617
0.89906,0.86139,0.92161,0.89048,0.96102,0.25342071757597084,8.616304397583008,0.68212,0.62,0.86111,0.72093,0.79132,0.7153432250022889,3.576716125011444,0.69205,0.62981,0.89116,0.73803,0.78859,0.7108442068099976,7.108442068099976
0.88585,0.8742,0.86864,0.87141,0.95948,0.2612057442174238,8.88099530339241,0.70861,0.70588,0.66667,0.68571,0.78903,0.7065882384777069,3.5329411923885345,0.70861,0.70922,0.68027,0.69444,0.79912,0.65366151034832,6.5366151034832
0.90472,0.89384,0.89195,0.8929,0.96826,0.25227245535044107,8.577263481914997,0.70861,0.69444,0.69444,0.69444,0.75211,0.8469789147377014,4.234894573688507,0.6755,0.67133,0.65306,0.66207,0.76743,0.7479057013988495,7.479057013988495
0.90283,0.88358,0.90042,0.89192,0.96663,0.23104509075774865,7.855533085763454,0.70861,0.74138,0.59722,0.66154,0.76908,0.7094609141349792,3.5473045706748962,0.76159,0.7907,0.69388,0.73913,0.83239,0.5895519077777862,5.8955190777778625
0.89528,0.88161,0.88347,0.88254,0.96897,0.23293068654396953,7.919643342494965,0.71523,0.68831,0.73611,0.71141,0.78446,0.6608516454696656,3.3042582273483276,0.74503,0.73973,0.73469,0.7372,0.82203,0.5916872262954712,5.916872262954712
0.90377,0.88542,0.90042,0.89286,0.96968,0.22179397590020122,7.540995180606842,0.71523,0.74576,0.61111,0.67176,0.78833,0.7372414290904998,3.6862071454524994,0.7053,0.72656,0.63265,0.67636,0.80974,0.6693633377552033,6.6936333775520325
0.90094,0.87835,0.90254,0.89028,0.96323,0.25222701721769925,8.575718585401773,0.72848,0.71233,0.72222,0.71724,0.7929,0.6706699013710022,3.353349506855011,0.74172,0.69714,0.82993,0.75776,0.81119,0.6318536609411239,6.31853660941124
0.90094,0.88309,0.89619,0.88959,0.97022,0.23827651230727925,8.101401418447495,0.68874,0.67123,0.68056,0.67586,0.76934,0.7212518572807312,3.606259286403656,0.75828,0.72024,0.82313,0.76825,0.82159,0.6125295877456665,6.125295877456665
0.90755,0.88958,0.90466,0.89706,0.97508,0.20190625155673309,6.864812552928925,0.70199,0.73684,0.58333,0.65116,0.77602,0.7383751749992371,3.6918758749961853,0.70199,0.74783,0.58503,0.65649,0.80268,0.6440278381109238,6.440278381109238
0.9066,0.9081,0.87924,0.89343,0.96966,0.24112689648480976,8.198314480483532,0.68874,0.66667,0.69444,0.68027,0.78006,0.7991635262966156,3.995817631483078,0.72848,0.70701,0.7551,0.73026,0.8065,0.648946213722229,6.48946213722229
0.89906,0.881,0.89407,0.88749,0.96687,0.22955539143260786,7.804883308708668,0.70199,0.69565,0.66667,0.68085,0.76406,0.7860210180282593,3.9301050901412964,0.67881,0.71552,0.56463,0.63118,0.8097,0.6738371044397354,6.738371044397354
0.91038,0.89353,0.90678,0.90011,0.97299,0.21225572224049008,7.2166945561766624,0.69536,0.6383,0.83333,0.72289,0.76934,0.7131969928741455,3.5659849643707275,0.72848,0.7044,0.7619,0.73203,0.80198,0.7021581083536148,7.021581083536148
0.91792,0.92123,0.89195,0.90635,0.9768,0.2045108450247961,6.953368730843067,0.7351,0.74242,0.68056,0.71014,0.7943,0.6609977662563324,3.304988831281662,0.72185,0.78378,0.59184,0.67442,0.81519,0.6754720687866211,6.754720687866211
0.90943,0.90343,0.89195,0.89765,0.97635,0.20384972126168363,6.9308905228972435,0.72185,0.69737,0.73611,0.71622,0.79553,0.690728735923767,3.4536436796188354,0.72517,0.72857,0.69388,0.7108,0.80961,0.6776678204536438,6.776678204536438
0.90472,0.88727,0.90042,0.8938,0.96869,0.2545377371065757,8.654283061623573,0.74172,0.73913,0.70833,0.7234,0.81312,0.7299001634120941,3.6495008170604706,0.69536,0.7037,0.64626,0.67376,0.80162,0.674088978767395,6.74088978767395
0.92358,0.8998,0.9322,0.91571,0.97815,0.19360346456660943,6.582517795264721,0.7351,0.72857,0.70833,0.71831,0.81171,0.6628946185111999,3.3144730925559998,0.70861,0.72519,0.64626,0.68345,0.80878,0.6874346256256103,6.8743462562561035
0.92264,0.93142,0.89195,0.91126,0.97676,0.2305921767564381,7.840134009718895,0.70199,0.72881,0.59722,0.65649,0.78305,0.7899410605430603,3.9497053027153015,0.71523,0.77477,0.58503,0.66667,0.82124,0.6712401211261749,6.712401211261749
0.92642,0.90535,0.9322,0.91858,0.98019,0.18277734649531982,6.214429780840874,0.68212,0.66667,0.66667,0.66667,0.75633,0.8061694502830505,4.030847251415253,0.72185,0.70588,0.73469,0.72,0.81308,0.6475753664970398,6.475753664970398
0.92736,0.91579,0.92161,0.91869,0.97954,0.19164461686330683,6.515916973352432,0.61589,0.63462,0.45833,0.53226,0.71783,0.9579899430274963,4.789949715137482,0.69205,0.75,0.55102,0.63529,0.80417,0.747965955734253,7.479659557342529
0.91321,0.89916,0.90678,0.90295,0.97796,0.1928072865394985,6.555447742342949,0.70199,0.73684,0.58333,0.65116,0.79782,0.7040899217128753,3.520449608564377,0.72848,0.74809,0.66667,0.70504,0.82322,0.6129239857196808,6.129239857196808
0.92547,0.91368,0.91949,0.91658,0.98325,0.17455588566029773,5.934900112450123,0.68212,0.7069,0.56944,0.63077,0.77268,0.7662954509258271,3.831477254629135,0.68212,0.75248,0.51701,0.6129,0.77959,0.8248258620500565,8.248258620500565
0.93113,0.91304,0.93432,0.92356,0.98192,0.1717352563624873,5.838998716324568,0.64901,0.67273,0.51389,0.58268,0.75141,0.7947245478630066,3.973622739315033,0.72517,0.7807,0.60544,0.68199,0.80865,0.6478488087654114,6.478488087654114
0.93585,0.92616,0.93008,0.92812,0.98474,0.18518168369636817,6.2961772456765175,0.66887,0.71154,0.51389,0.59677,0.76512,0.7966210842132568,3.983105421066284,0.68543,0.72034,0.57823,0.64151,0.80329,0.6934001058340072,6.934001058340073
0.93302,0.9134,0.93856,0.92581,0.98415,0.1785491612904212,6.070671483874321,0.68874,0.72727,0.55556,0.62992,0.77901,0.7335596203804016,3.667798101902008,0.68212,0.72973,0.55102,0.62791,0.80781,0.7192543327808381,7.19254332780838
0.93396,0.92227,0.93008,0.92616,0.98728,0.1509562740650247,5.13251331821084,0.69536,0.69697,0.63889,0.66667,0.78587,0.7816297173500061,3.9081485867500305,0.7053,0.72656,0.63265,0.67636,0.80566,0.6961994051933289,6.961994051933289
0.9283,0.92308,0.91525,0.91915,0.98184,0.1869933369624264,6.357773456722498,0.68874,0.69841,0.61111,0.65185,0.7754,0.8261893510818481,4.130946755409241,0.71523,0.76991,0.59184,0.66923,0.82603,0.6925619572401047,6.925619572401047
0.92736,0.90722,0.9322,0.91954,0.98499,0.1729092139969854,5.878913275897503,0.71523,0.71642,0.66667,0.69065,0.79501,0.764865618944168,3.8243280947208405,0.69868,0.72581,0.61224,0.66421,0.80553,0.673829072713852,6.738290727138519
0.93962,0.92857,0.93644,0.93249,0.98575,0.16320096438421922,5.548832789063454,0.72185,0.72727,0.66667,0.69565,0.8074,0.7676624178886413,3.838312089443207,0.68874,0.73874,0.55782,0.63566,0.81409,0.7007598161697388,7.007598161697388
0.92358,0.91507,0.91314,0.9141,0.98149,0.17604431860587177,5.98550683259964,0.72185,0.73438,0.65278,0.69118,0.80081,0.731392252445221,3.6569612622261047,0.70861,0.73228,0.63265,0.67883,0.82019,0.6339063227176667,6.339063227176666
0.94151,0.92887,0.94068,0.93474,0.9896,0.14061344108160803,4.7808569967746735,0.66887,0.69643,0.54167,0.60937,0.7653,0.8327880859375,4.1639404296875,0.74503,0.75735,0.70068,0.72792,0.83156,0.6420134663581848,6.420134663581848
0.93962,0.9322,0.9322,0.9322,0.98798,0.14952950070009513,5.084003023803234,0.70861,0.70588,0.66667,0.68571,0.80485,0.7612063169479371,3.806031584739685,0.72517,0.76667,0.62585,0.68914,0.82778,0.6609364032745362,6.609364032745361
0.93962,0.92678,0.93856,0.93263,0.98677,0.1544881366631564,5.2525966465473175,0.71523,0.74576,0.61111,0.67176,0.79413,0.8369076609611511,4.184538304805756,0.70861,0.76106,0.58503,0.66154,0.83059,0.6947060525417328,6.947060525417328
0.93962,0.92149,0.94492,0.93305,0.98842,0.14962376183008447,5.087207902222872,0.69536,0.70312,0.625,0.66176,0.75316,0.9108615636825561,4.554307818412781,0.73179,0.74265,0.68707,0.71378,0.80263,0.7575724720954895,7.575724720954895
0.95094,0.95064,0.93856,0.94456,0.98817,0.1479290008325787,5.029586028307676,0.71523,0.73016,0.63889,0.68148,0.80784,0.7927903056144714,3.963951528072357,0.68874,0.74312,0.55102,0.63281,0.8054,0.7749568402767182,7.749568402767181
0.94057,0.93418,0.9322,0.93319,0.986,0.15512503913658507,5.274251330643892,0.74834,0.73611,0.73611,0.73611,0.82226,0.7102818965911866,3.5514094829559326,0.71523,0.75207,0.61905,0.6791,0.81527,0.740903228521347,7.4090322852134705
0.93208,0.92373,0.92373,0.92373,0.98601,0.16762189589002552,5.699144460260868,0.7351,0.73529,0.69444,0.71429,0.8045,0.7538330435752869,3.7691652178764343,0.71523,0.76068,0.60544,0.67424,0.81909,0.6962247163057327,6.962247163057327
0.94151,0.92887,0.94068,0.93474,0.98774,0.15856913477182388,5.391350582242012,0.74834,0.73611,0.73611,0.73611,0.81777,0.6997389256954193,3.4986946284770966,0.74172,0.7594,0.68707,0.72143,0.83322,0.6440093994140625,6.440093994140625
0.94245,0.93817,0.9322,0.93518,0.98717,0.19356059425455682,6.581060204654932,0.69536,0.76,0.52778,0.62295,0.75193,0.7896640777587891,3.9483203887939453,0.68874,0.74312,0.55102,0.63281,0.79495,0.7565613567829133,7.565613567829132
0.9434,0.94397,0.92797,0.9359,0.98878,0.16449196012142828,5.592726644128561,0.76821,0.74667,0.77778,0.7619,0.80995,0.7953695476055145,3.9768477380275726,0.69536,0.72727,0.59864,0.65672,0.80408,0.7529421269893646,7.529421269893646
0.94906,0.94658,0.93856,0.94255,0.98977,0.14660049153163152,4.984416712075472,0.70199,0.72881,0.59722,0.65649,0.7871,0.8042313814163208,4.021156907081604,0.72185,0.752,0.63946,0.69118,0.82251,0.7126851797103881,7.126851797103882
0.94906,0.93542,0.95127,0.94328,0.99038,0.13976281366365798,4.751935664564371,0.70861,0.74138,0.59722,0.66154,0.79255,0.7816916823387146,3.908458411693573,0.72185,0.73684,0.66667,0.7,0.81589,0.6884027034044266,6.884027034044266
0.95189,0.94692,0.94492,0.94592,0.98877,0.15062928013503551,5.1213955245912075,0.68874,0.69231,0.625,0.65693,0.77883,0.8374645233154296,4.187322616577148,0.72185,0.752,0.63946,0.69118,0.82563,0.719721120595932,7.19721120595932
0.94811,0.93895,0.94492,0.94192,0.98985,0.1351063132066937,4.593614649027586,0.69536,0.69697,0.63889,0.66667,0.77461,0.8451485157012939,4.22574257850647,0.68543,0.71667,0.58503,0.64419,0.80448,0.6893312990665436,6.893312990665436
0.95566,0.95117,0.94915,0.95016,0.99077,0.15515321843764363,5.275209426879883,0.69536,0.73214,0.56944,0.64062,0.77584,0.8088063716888427,4.044031858444214,0.71523,0.75207,0.61905,0.6791,0.82396,0.7184475362300873,7.184475362300873
0.94528,0.93487,0.9428,0.93882,0.99055,0.13224075679831646,4.496185731142759,0.68874,0.67606,0.66667,0.67133,0.7769,0.7986389636993408,3.993194818496704,0.69205,0.71429,0.61224,0.65934,0.80377,0.7175399959087372,7.175399959087372
0.95,0.94861,0.93856,0.94356,0.98993,0.13565309959299424,4.612205386161804,0.68874,0.68116,0.65278,0.66667,0.77883,0.7881135582923889,3.9405677914619446,0.70861,0.7479,0.60544,0.66917,0.80241,0.7018983662128448,7.0189836621284485
0.94717,0.94255,0.93856,0.94055,0.99065,0.12952548155889793,4.403866373002529,0.69536,0.69697,0.63889,0.66667,0.78604,0.7776841282844543,3.8884206414222717,0.72185,0.76033,0.62585,0.68657,0.82897,0.7255340099334717,7.255340099334717
0.95755,0.94947,0.95551,0.95248,0.99208,0.1338435391731122,4.550680331885815,0.69536,0.70312,0.625,0.66176,0.80063,0.7942445278167725,3.9712226390838623,0.71192,0.75424,0.60544,0.6717,0.8284,0.6764411300420761,6.764411300420761
0.95943,0.95736,0.95127,0.9543,0.99238,0.11971713471062043,4.070382580161095,0.70199,0.69565,0.66667,0.68085,0.79975,0.7962831974029541,3.9814159870147705,0.72185,0.76471,0.61905,0.68421,0.80588,0.711597990989685,7.115979909896851
0.95943,0.95931,0.94915,0.95421,0.99239,0.12037012189188424,4.092584144324064,0.74172,0.72603,0.73611,0.73103,0.81118,0.8081469893455505,4.040734946727753,0.72185,0.74419,0.65306,0.69565,0.82497,0.674614205956459,6.7461420595645905
0.94906,0.94658,0.93856,0.94255,0.98926,0.14934087457025752,5.077589735388756,0.74834,0.74286,0.72222,0.73239,0.81514,0.7307384729385376,3.653692364692688,0.74172,0.75556,0.69388,0.7234,0.83015,0.6651212722063065,6.651212722063065
0.94811,0.93347,0.95127,0.94229,0.99115,0.13314688457723925,4.526994075626135,0.65563,0.66667,0.55556,0.60606,0.74508,0.9069702804088593,4.534851402044296,0.70199,0.728,0.61905,0.66912,0.81282,0.7423319935798645,7.423319935798645
0.95283,0.94328,0.95127,0.94726,0.99095,0.12612967171213207,4.28840883821249,0.74172,0.73913,0.70833,0.7234,0.81065,0.7885586380958557,3.9427931904792786,0.71854,0.76724,0.60544,0.67681,0.82436,0.6715550273656845,6.715550273656845
0.95283,0.9587,0.93432,0.94635,0.99062,0.1386138217194992,4.712869938462973,0.72848,0.72464,0.69444,0.70922,0.80468,0.775184428691864,3.87592214345932,0.71523,0.75207,0.61905,0.6791,0.81826,0.7303959190845489,7.3039591908454895
0.9566,0.94561,0.95763,0.95158,0.99135,0.12807939727516734,4.35469950735569,0.72848,0.71831,0.70833,0.71329,0.79641,0.7827105760574341,3.9135528802871704,0.72517,0.74242,0.66667,0.70251,0.82194,0.6582474708557129,6.582474708557129
0.94528,0.93856,0.93856,0.93856,0.98938,0.13572849826339414,4.6147689409554005,0.74834,0.75,0.70833,0.72857,0.80907,0.754471230506897,3.772356152534485,0.7053,0.75,0.59184,0.6616,0.79759,0.7375313669443131,7.3753136694431305
0.95094,0.94304,0.94703,0.94503,0.99108,0.12686535847537658,4.313422188162804,0.72848,0.72464,0.69444,0.70922,0.79923,0.7955820083618164,3.977910041809082,0.72517,0.75,0.65306,0.69818,0.82743,0.6930519163608551,6.930519163608551
0.95472,0.95106,0.94703,0.94904,0.9935,0.11646804919548552,3.9599136726465076,0.74172,0.72603,0.73611,0.73103,0.81795,0.7648887515068055,3.824443757534027,0.71192,0.75,0.61224,0.67416,0.81593,0.6838214308023453,6.838214308023453
0.94906,0.93004,0.95763,0.94363,0.99208,0.12885887833202586,4.381201863288879,0.70861,0.70588,0.66667,0.68571,0.7885,0.7955223083496094,3.977611541748047,0.69868,0.74138,0.58503,0.65399,0.79785,0.735466730594635,7.35466730594635
0.95377,0.95096,0.94492,0.94793,0.99087,0.13966814012211912,4.74871676415205,0.70199,0.71429,0.625,0.66667,0.79782,0.8316886067390442,4.158443033695221,0.70861,0.77064,0.57143,0.65625,0.81922,0.7266127467155457,7.2661274671554565
0.95566,0.95309,0.94703,0.95005,0.99197,0.1271539330482483,4.323233723640442,0.71523,0.71014,0.68056,0.69504,0.80626,0.7975353181362153,3.987676590681076,0.7053,0.75439,0.58503,0.659,0.81176,0.7047296017408371,7.047296017408371
0.96509,0.95983,0.96186,0.96085,0.99417,0.1112699837095159,3.7831794461235404,0.72185,0.72727,0.66667,0.69565,0.79782,0.8197632074356079,4.0988160371780396,0.71854,0.76271,0.61224,0.67925,0.82221,0.6484629407525062,6.484629407525063
