train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss
0.46981,0.45614,0.99153,0.62483,0.59732,0.8397027078796836,28.54989206790924,0.47682,0.47682,1.0,0.64574,0.56716,1.161355698108673,5.8067784905433655,0.48675,0.48675,1.0,0.65479,0.56743,1.1282481849193573,11.282481849193573
0.51981,0.47914,0.90042,0.62546,0.62539,0.7258971403626835,24.680502772331238,0.49669,0.48438,0.86111,0.62,0.64214,0.6816192507743836,3.4080962538719177,0.57285,0.53689,0.89116,0.67008,0.64393,0.7076220810413361,7.076220810413361
0.60472,0.54281,0.71186,0.61595,0.68097,0.6528902825187234,22.198269605636597,0.60927,0.58025,0.65278,0.61438,0.63405,0.6510960102081299,3.2554800510406494,0.63907,0.6131,0.70068,0.65397,0.70529,0.6537200212478638,6.537200212478638
0.65943,0.60531,0.67585,0.63864,0.72764,0.616622854681576,20.965177059173584,0.57616,0.5303,0.97222,0.68627,0.69673,0.6860126614570617,3.430063307285309,0.61589,0.56596,0.90476,0.69634,0.70568,0.6737957835197449,6.737957835197449
0.68679,0.64113,0.67373,0.65702,0.76077,0.5836125752505135,19.842827558517456,0.62914,0.63333,0.52778,0.57576,0.66421,0.6497204899787903,3.2486024498939514,0.70199,0.69388,0.69388,0.69388,0.7652,0.5896082282066345,5.896082282066345
0.73019,0.67681,0.75424,0.71343,0.80526,0.5539895857081694,18.83564591407776,0.63576,0.60241,0.69444,0.64516,0.67018,0.6652918815612793,3.3264594078063965,0.6755,0.63842,0.76871,0.69753,0.77051,0.5960349380970001,5.960349380970001
0.74623,0.70757,0.73305,0.72008,0.80772,0.5415607620688045,18.413065910339355,0.6755,0.64935,0.69444,0.67114,0.70253,0.6273986637592316,3.136993318796158,0.69205,0.66463,0.7415,0.70096,0.73368,0.6176188498735428,6.176188498735428
0.75094,0.71053,0.74364,0.72671,0.82826,0.5134078439544228,17.45586669445038,0.62914,0.59091,0.72222,0.65,0.70877,0.6323459684848786,3.1617298424243927,0.65232,0.59906,0.86395,0.70752,0.77275,0.6106057077646255,6.1060570776462555
0.77453,0.74946,0.74153,0.74547,0.85036,0.4935504347085953,16.78071478009224,0.64238,0.58491,0.86111,0.69663,0.73268,0.6552393794059753,3.2761968970298767,0.6457,0.59174,0.87755,0.70685,0.79552,0.5994709491729736,5.994709491729736
0.78302,0.75208,0.76483,0.7584,0.85991,0.4759558237650815,16.18249800801277,0.6755,0.68254,0.59722,0.63704,0.71791,0.6178457498550415,3.0892287492752075,0.69205,0.67089,0.72109,0.69508,0.76678,0.5921590626239777,5.921590626239777
0.78302,0.74395,0.78178,0.7624,0.85741,0.4772794562227586,16.22750151157379,0.65563,0.61364,0.75,0.675,0.68161,0.6878316640853882,3.439158320426941,0.67219,0.66438,0.65986,0.66212,0.71095,0.6561165153980255,6.561165153980255
0.80472,0.77662,0.78814,0.78233,0.8719,0.45439283286823945,15.449356317520142,0.68212,0.62245,0.84722,0.71765,0.75949,0.610436636209488,3.0521831810474396,0.6755,0.61611,0.88435,0.72626,0.77582,0.6190051138401031,6.1900511384010315
0.79528,0.75967,0.79025,0.77466,0.87897,0.45005329128573923,15.301811903715134,0.64901,0.60215,0.77778,0.67879,0.64372,0.78516104221344,3.9258052110671997,0.69205,0.65169,0.78912,0.71385,0.73342,0.6465604275465011,6.465604275465012
0.81321,0.76969,0.82839,0.79796,0.88024,0.43907661911319285,14.928605049848557,0.66225,0.62963,0.70833,0.66667,0.72064,0.660702896118164,3.3035144805908203,0.72848,0.74809,0.66667,0.70504,0.7914,0.580480882525444,5.80480882525444
0.81509,0.78279,0.80932,0.79583,0.88638,0.44327399046982036,15.071315675973892,0.64238,0.60227,0.73611,0.6625,0.70649,0.6203299999237061,3.1016499996185303,0.76159,0.72727,0.81633,0.76923,0.79399,0.5799696534872055,5.799696534872055
0.82925,0.8,0.82203,0.81087,0.90051,0.40848710081156564,13.888561427593231,0.64901,0.58879,0.875,0.70391,0.72838,0.6864352345466613,3.432176172733307,0.63245,0.57563,0.93197,0.71169,0.78249,0.6584739089012146,6.584739089012146
