train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.56,0.51,0.61,0.55,0.59,0.6854386557550991,23.30491429567337,0.45,0.38,0.25,0.3,0.48,0.7035118579864502,3.517559289932251,1712703124,,False,1,4e07e27a,2024-04-10_00-52-04,31.498250484466553,31.498250484466553,43928,AT-MB-PC-E13,127.0.0.1,31.498250484466553,1,64,6,0.2,0.0001
0.58,0.53,0.59,0.55,0.61,0.6790563271326178,23.087915122509003,0.54,0.52,0.35,0.42,0.58,0.6784010648727417,3.3920053243637085,1712703150,,False,2,4e07e27a,2024-04-10_00-52-30,26.165144205093384,57.66339468955994,43928,AT-MB-PC-E13,127.0.0.1,57.66339468955994,2,64,6,0.2,0.0001
0.62,0.57,0.63,0.6,0.66,0.6504090831560247,22.11390882730484,0.59,0.6,0.4,0.48,0.61,0.6818294763565064,3.4091473817825317,1712703177,,False,3,4e07e27a,2024-04-10_00-52-57,26.86714220046997,84.53053689002991,43928,AT-MB-PC-E13,127.0.0.1,84.53053689002991,3,64,6,0.2,0.0001
0.64,0.6,0.59,0.59,0.69,0.6323225130053127,21.498965442180634,0.58,0.58,0.43,0.5,0.61,0.6885709524154663,3.4428547620773315,1712703199,,False,4,4e07e27a,2024-04-10_00-53-19,22.063090324401855,106.59362721443176,43928,AT-MB-PC-E13,127.0.0.1,106.59362721443176,4,64,6,0.2,0.0001
0.67,0.63,0.59,0.61,0.71,0.6228467190966887,21.176788449287415,0.63,0.65,0.49,0.56,0.66,0.66925208568573,3.34626042842865,1712703216,,False,5,4e07e27a,2024-04-10_00-53-36,17.507365942001343,124.1009931564331,43928,AT-MB-PC-E13,127.0.0.1,124.1009931564331,5,64,6,0.2,0.0001
0.68,0.65,0.61,0.63,0.74,0.5963296355570064,20.275207608938217,0.66,0.64,0.67,0.65,0.7,0.6198165893554688,3.0990829467773438,1712703235,,False,6,4e07e27a,2024-04-10_00-53-55,18.090241193771362,142.19123435020447,43928,AT-MB-PC-E13,127.0.0.1,142.19123435020447,6,64,6,0.2,0.0001
0.7,0.65,0.68,0.66,0.78,0.5670812121208977,19.28076121211052,0.52,0.5,0.26,0.35,0.6,0.7792762875556946,3.896381437778473,1712703252,,False,7,4e07e27a,2024-04-10_00-54-12,17.570537090301514,159.76177144050598,43928,AT-MB-PC-E13,127.0.0.1,159.76177144050598,7,64,6,0.2,0.0001
0.72,0.68,0.69,0.69,0.79,0.542199408306795,18.43477988243103,0.6,0.62,0.39,0.48,0.66,0.6805191516876221,3.4025957584381104,1712703270,,False,8,4e07e27a,2024-04-10_00-54-30,17.433610916137695,177.19538235664368,43928,AT-MB-PC-E13,127.0.0.1,177.19538235664368,8,64,6,0.2,0.0001
0.72,0.68,0.69,0.69,0.79,0.5506564220961403,18.72231835126877,0.61,0.63,0.44,0.52,0.68,0.6574506521224975,3.287253260612488,1712703288,,False,9,4e07e27a,2024-04-10_00-54-48,18.191444873809814,195.3868272304535,43928,AT-MB-PC-E13,127.0.0.1,195.3868272304535,9,64,6,0.2,0.0001
0.76,0.74,0.7,0.72,0.83,0.5051241201512954,17.174220085144043,0.52,0.49,0.32,0.39,0.63,0.7102105021476746,3.551052510738373,1712703305,,False,10,4e07e27a,2024-04-10_00-55-05,17.432321071624756,212.81914830207825,43928,AT-MB-PC-E13,127.0.0.1,212.81914830207825,10,64,6,0.2,0.0001
0.76,0.71,0.78,0.75,0.83,0.5018187542172039,17.061837643384933,0.68,0.62,0.83,0.71,0.7,0.610686194896698,3.05343097448349,1712703323,,False,11,4e07e27a,2024-04-10_00-55-23,17.77997612953186,230.5991244316101,43928,AT-MB-PC-E13,127.0.0.1,230.5991244316101,11,64,6,0.2,0.0001
0.76,0.73,0.73,0.73,0.83,0.503287631799193,17.11177948117256,0.61,0.62,0.46,0.53,0.69,0.6410574316978455,3.2052871584892273,1712703341,,False,12,4e07e27a,2024-04-10_00-55-41,17.851486444473267,248.45061087608337,43928,AT-MB-PC-E13,127.0.0.1,248.45061087608337,12,64,6,0.2,0.0001
0.77,0.73,0.76,0.74,0.85,0.46813105835634117,15.9164559841156,0.7,0.66,0.74,0.7,0.74,0.6029703497886658,3.014851748943329,1712703358,,False,13,4e07e27a,2024-04-10_00-55-58,17.525458335876465,265.97606921195984,43928,AT-MB-PC-E13,127.0.0.1,265.97606921195984,13,64,6,0.2,0.0001
0.8,0.75,0.82,0.78,0.87,0.4490930017303018,15.269162058830261,0.69,0.65,0.74,0.69,0.75,0.6439512848854065,3.2197564244270325,1712703376,,False,14,4e07e27a,2024-04-10_00-56-16,17.96128821372986,283.9373574256897,43928,AT-MB-PC-E13,127.0.0.1,283.9373574256897,14,64,6,0.2,0.0001
0.79,0.76,0.77,0.77,0.86,0.4565994406447691,15.52438098192215,0.67,0.65,0.65,0.65,0.69,0.7418009638786316,3.709004819393158,1712703394,,False,15,4e07e27a,2024-04-10_00-56-34,17.51933979988098,301.4566972255707,43928,AT-MB-PC-E13,127.0.0.1,301.4566972255707,15,64,6,0.2,0.0001
0.8,0.77,0.79,0.78,0.87,0.4467812759034774,15.190563380718231,0.63,0.59,0.74,0.65,0.71,0.6400550246238709,3.2002751231193542,1712703411,,False,16,4e07e27a,2024-04-10_00-56-51,17.610445499420166,319.06714272499084,43928,AT-MB-PC-E13,127.0.0.1,319.06714272499084,16,64,6,0.2,0.0001
0.78,0.76,0.75,0.75,0.86,0.452175972654539,15.373983070254326,0.68,0.69,0.6,0.64,0.75,0.6390081882476807,3.1950409412384033,1712703430,,False,17,4e07e27a,2024-04-10_00-57-10,18.167317628860474,337.2344603538513,43928,AT-MB-PC-E13,127.0.0.1,337.2344603538513,17,64,6,0.2,0.0001
0.81,0.78,0.8,0.79,0.89,0.4285544753074646,14.570852160453796,0.66,0.66,0.57,0.61,0.72,0.7023630619049073,3.511815309524536,1712703447,,False,18,4e07e27a,2024-04-10_00-57-27,17.340349435806274,354.5748097896576,43928,AT-MB-PC-E13,127.0.0.1,354.5748097896576,18,64,6,0.2,0.0001
0.8,0.76,0.8,0.78,0.88,0.4261104184038499,14.487754225730896,0.7,0.67,0.71,0.69,0.76,0.6731941521167755,3.3659707605838776,1712703465,,False,19,4e07e27a,2024-04-10_00-57-45,17.59533977508545,372.17014956474304,43928,AT-MB-PC-E13,127.0.0.1,372.17014956474304,19,64,6,0.2,0.0001
0.81,0.79,0.78,0.79,0.89,0.41856442041256847,14.231190294027328,0.7,0.66,0.79,0.72,0.76,0.6068212687969208,3.034106343984604,1712703483,,False,20,4e07e27a,2024-04-10_00-58-03,18.13815450668335,390.3083040714264,43928,AT-MB-PC-E13,127.0.0.1,390.3083040714264,20,64,6,0.2,0.0001
0.82,0.79,0.8,0.8,0.89,0.414227215682759,14.083725333213806,0.6,0.62,0.43,0.51,0.7,0.8074687719345093,4.037343859672546,1712703500,,False,21,4e07e27a,2024-04-10_00-58-20,17.46194076538086,407.77024483680725,43928,AT-MB-PC-E13,127.0.0.1,407.77024483680725,21,64,6,0.2,0.0001
