train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.58,0.52,0.61,0.56,0.61,0.6719037294387817,22.84472680091858,0.55,0.52,0.67,0.59,0.55,0.7050200700759888,3.525100350379944,1712700629,,False,1,5e9e95ac,2024-04-10_00-10-29,30.616219997406006,30.616219997406006,36412,AT-MB-PC-E13,127.0.0.1,30.616219997406006,1,128,6,0.0,0.001
0.65,0.6,0.63,0.62,0.7,0.640674996025422,21.78294986486435,0.56,0.55,0.5,0.52,0.59,0.691239857673645,3.456199288368225,1712700655,,False,2,5e9e95ac,2024-04-10_00-10-55,25.889418125152588,56.505638122558594,36412,AT-MB-PC-E13,127.0.0.1,56.505638122558594,2,128,6,0.0,0.001
0.74,0.72,0.68,0.7,0.79,0.5604278059566722,19.054545402526855,0.58,0.6,0.33,0.43,0.64,0.7774911403656006,3.887455701828003,1712700681,,False,3,5e9e95ac,2024-04-10_00-11-21,26.229346990585327,82.73498511314392,36412,AT-MB-PC-E13,127.0.0.1,82.73498511314392,3,128,6,0.0,0.001
0.74,0.72,0.69,0.7,0.81,0.5409003767897101,18.390612810850143,0.6,0.57,0.71,0.63,0.63,0.8815760850906372,4.407880425453186,1712700707,,False,4,5e9e95ac,2024-04-10_00-11-47,26.11457586288452,108.84956097602844,36412,AT-MB-PC-E13,127.0.0.1,108.84956097602844,4,128,6,0.0,0.001
0.75,0.72,0.71,0.72,0.82,0.5362372564918855,18.232066720724106,0.62,0.62,0.56,0.58,0.69,0.6910836458206177,3.4554182291030884,1712700733,,False,5,5e9e95ac,2024-04-10_00-12-13,25.732961654663086,134.58252263069153,36412,AT-MB-PC-E13,127.0.0.1,134.58252263069153,5,128,6,0.0,0.001
0.76,0.72,0.75,0.73,0.84,0.5089186912073809,17.30323550105095,0.54,0.51,0.97,0.67,0.67,1.2019681692123414,6.0098408460617065,1712700759,,False,6,5e9e95ac,2024-04-10_00-12-39,25.978858947753906,160.56138157844543,36412,AT-MB-PC-E13,127.0.0.1,160.56138157844543,6,128,6,0.0,0.001
0.76,0.72,0.74,0.73,0.82,0.5479478292605456,18.63022619485855,0.64,0.6,0.76,0.67,0.64,0.8671263098716736,4.335631549358368,1712700785,,False,7,5e9e95ac,2024-04-10_00-13-05,25.887481212615967,186.4488627910614,36412,AT-MB-PC-E13,127.0.0.1,186.4488627910614,7,128,6,0.0,0.001
0.74,0.7,0.71,0.7,0.82,0.5254487754667506,17.865258365869522,0.6,0.65,0.36,0.46,0.64,0.8024209022521973,4.012104511260986,1712700811,,False,8,5e9e95ac,2024-04-10_00-13-31,26.01591181755066,212.46477460861206,36412,AT-MB-PC-E13,127.0.0.1,212.46477460861206,8,128,6,0.0,0.001
0.75,0.71,0.73,0.72,0.82,0.5209957001840367,17.713853806257248,0.58,0.59,0.4,0.48,0.61,0.8292749404907227,4.146374702453613,1712700837,,False,9,5e9e95ac,2024-04-10_00-13-57,26.086766481399536,238.5515410900116,36412,AT-MB-PC-E13,127.0.0.1,238.5515410900116,9,128,6,0.0,0.001
0.75,0.73,0.72,0.72,0.82,0.5408055747256559,18.387389540672302,0.53,0.5,0.86,0.64,0.65,0.8341978073120118,4.170989036560059,1712700863,,False,10,5e9e95ac,2024-04-10_00-14-23,25.919649839401245,264.47119092941284,36412,AT-MB-PC-E13,127.0.0.1,264.47119092941284,10,128,6,0.0,0.001
0.76,0.71,0.76,0.73,0.83,0.5175689182737294,17.5973432213068,0.54,0.51,0.56,0.53,0.55,0.9294377446174622,4.647188723087311,1712700889,,False,11,5e9e95ac,2024-04-10_00-14-49,26.33418869972229,290.80537962913513,36412,AT-MB-PC-E13,127.0.0.1,290.80537962913513,11,128,6,0.0,0.001
0.76,0.71,0.77,0.74,0.82,0.5431150197982788,18.46591067314148,0.6,0.55,0.92,0.69,0.63,1.3499477624893188,6.749738812446594,1712700915,,False,12,5e9e95ac,2024-04-10_00-15-15,25.92336130142212,316.72874093055725,36412,AT-MB-PC-E13,127.0.0.1,316.72874093055725,12,128,6,0.0,0.001
0.76,0.73,0.73,0.73,0.82,0.5323494953267714,18.09988284111023,0.52,0.5,0.01,0.03,0.73,1.2513288140296936,6.256644070148468,1712700941,,False,13,5e9e95ac,2024-04-10_00-15-41,25.955763339996338,342.6845042705536,36412,AT-MB-PC-E13,127.0.0.1,342.6845042705536,13,128,6,0.0,0.001
0.75,0.72,0.72,0.72,0.84,0.5044209091540646,17.150310911238194,0.68,0.61,0.88,0.72,0.77,0.7469577550888061,3.7347887754440308,1712700967,,False,14,5e9e95ac,2024-04-10_00-16-07,26.073663234710693,368.7581675052643,36412,AT-MB-PC-E13,127.0.0.1,368.7581675052643,14,128,6,0.0,0.001
0.77,0.73,0.78,0.75,0.84,0.5093530057107701,17.318002194166183,0.54,0.53,0.42,0.47,0.61,0.8123106718063354,4.061553359031677,1712700993,,True,15,5e9e95ac,2024-04-10_00-16-33,26.060298919677734,394.818466424942,36412,AT-MB-PC-E13,127.0.0.1,394.818466424942,15,128,6,0.0,0.001
