train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.53,0.43,0.14,0.21,0.47,0.7190615604905521,24.448093056678772,0.52,0.0,0.0,0.0,0.28,0.8667568445205689,4.333784222602844,1712695542,,False,1,9f79df14,2024-04-09_22-45-42,18.718425989151,18.718425989151,43928,AT-MB-PC-E13,127.0.0.1,18.718425989151,1,64,3,0.0,0.0001
0.55,0.5,0.3,0.38,0.55,0.6955591510323917,23.64901113510132,0.58,0.62,0.33,0.43,0.57,0.7016582131385803,3.5082910656929016,1712695555,,False,2,9f79df14,2024-04-09_22-45-55,13.189725875854492,31.908151865005493,43928,AT-MB-PC-E13,127.0.0.1,31.908151865005493,2,64,3,0.0,0.0001
0.62,0.57,0.57,0.57,0.66,0.6497907550895915,22.092885673046112,0.58,0.57,0.49,0.53,0.58,0.6853407621383667,3.4267038106918335,1712695569,,False,3,9f79df14,2024-04-09_22-46-09,13.887338161468506,45.795490026474,43928,AT-MB-PC-E13,127.0.0.1,45.795490026474,3,64,3,0.0,0.0001
0.65,0.59,0.66,0.63,0.71,0.6239482094259823,21.2142391204834,0.62,0.69,0.35,0.46,0.6,0.6766077160835267,3.383038580417633,1712695582,,False,4,9f79df14,2024-04-09_22-46-22,13.145952939987183,58.94144296646118,43928,AT-MB-PC-E13,127.0.0.1,58.94144296646118,4,64,3,0.0,0.0001
0.7,0.65,0.69,0.67,0.77,0.592113609699642,20.131862729787827,0.63,0.63,0.53,0.58,0.66,0.6688087105751037,3.344043552875519,1712695596,,False,5,9f79df14,2024-04-09_22-46-36,13.846166610717773,72.78760957717896,43928,AT-MB-PC-E13,127.0.0.1,72.78760957717896,5,64,3,0.0,0.0001
0.73,0.7,0.7,0.7,0.8,0.5587651142302681,18.998013883829117,0.65,0.63,0.64,0.63,0.68,0.6583594918251038,3.291797459125519,1712695609,,False,6,9f79df14,2024-04-09_22-46-49,13.183305740356445,85.9709153175354,43928,AT-MB-PC-E13,127.0.0.1,85.9709153175354,6,64,3,0.0,0.0001
0.75,0.72,0.73,0.72,0.82,0.539080831934424,18.328748285770416,0.61,0.58,0.68,0.62,0.66,0.7002149820327759,3.5010749101638794,1712695623,,False,7,9f79df14,2024-04-09_22-47-03,13.864254236221313,99.83516955375671,43928,AT-MB-PC-E13,127.0.0.1,99.83516955375671,7,64,3,0.0,0.0001
0.76,0.74,0.73,0.73,0.84,0.5078893821029102,17.268238991498947,0.65,0.65,0.58,0.61,0.64,0.7251866936683655,3.6259334683418274,1712695634,,False,8,9f79df14,2024-04-09_22-47-14,10.727210283279419,110.56237983703613,43928,AT-MB-PC-E13,127.0.0.1,110.56237983703613,8,64,3,0.0,0.0001
0.78,0.73,0.8,0.76,0.85,0.4907665287747103,16.68606197834015,0.6,0.6,0.47,0.53,0.65,0.7111864566802979,3.5559322834014893,1712695647,,False,9,9f79df14,2024-04-09_22-47-27,13.428994417190552,123.99137425422668,43928,AT-MB-PC-E13,127.0.0.1,123.99137425422668,9,64,3,0.0,0.0001
0.77,0.74,0.77,0.75,0.85,0.4820628227556453,16.39013597369194,0.57,0.55,0.53,0.54,0.62,0.7807248950004577,3.903624475002289,1712695660,,False,10,9f79df14,2024-04-09_22-47-40,13.075955390930176,137.06732964515686,43928,AT-MB-PC-E13,127.0.0.1,137.06732964515686,10,64,3,0.0,0.0001
0.79,0.75,0.77,0.76,0.87,0.4595254843725878,15.623866468667984,0.68,0.63,0.82,0.71,0.72,0.6236749827861786,3.118374913930893,1712695674,,False,11,9f79df14,2024-04-09_22-47-54,13.48137354850769,150.54870319366455,43928,AT-MB-PC-E13,127.0.0.1,150.54870319366455,11,64,3,0.0,0.0001
0.81,0.77,0.81,0.79,0.88,0.43916885467136607,14.931741058826447,0.68,0.63,0.79,0.7,0.71,0.6122425615787506,3.061212807893753,1712695687,,False,12,9f79df14,2024-04-09_22-48-07,13.071730136871338,163.6204333305359,43928,AT-MB-PC-E13,127.0.0.1,163.6204333305359,12,64,3,0.0,0.0001
