train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.5783,0.52399,0.57839,0.54985,0.60155,0.6847699968253865,23.28217989206314,0.50331,0.46667,0.29167,0.35897,0.49393,0.7102279663085938,3.5511398315429688,0.53974,0.53774,0.38776,0.45059,0.567,0.6874363720417023,6.874363720417023,1714421067,,False,1,58cb4bd4,2024-04-29_22-04-27,60.20685362815857,60.20685362815857,65672,AT-MB-PC-E13,127.0.0.1,60.20685362815857,1,64,0.2,6,0.0001
0.6,0.54724,0.58898,0.56735,0.63049,0.670364260673523,22.79238486289978,0.48344,0.42857,0.25,0.31579,0.51187,0.7137835383415222,3.568917691707611,0.53642,0.5443,0.29252,0.38053,0.58539,0.7001370012760162,7.001370012760162,1714421122,,False,2,58cb4bd4,2024-04-29_22-05-22,55.29740023612976,115.50425386428833,65672,AT-MB-PC-E13,127.0.0.1,115.50425386428833,2,64,0.2,6,0.0001
0.61981,0.57233,0.57839,0.57534,0.64403,0.6612243880243862,22.481629192829132,0.56291,0.54054,0.55556,0.54795,0.60452,0.6772327065467835,3.3861635327339172,0.64238,0.62581,0.65986,0.64238,0.63704,0.6922174692153931,6.922174692153931,1714421178,,False,3,58cb4bd4,2024-04-29_22-06-18,55.79852533340454,171.30277919769287,65672,AT-MB-PC-E13,127.0.0.1,171.30277919769287,3,64,0.2,6,0.0001
0.63302,0.59857,0.5339,0.56439,0.69231,0.6315348972292507,21.472186505794525,0.49007,0.4,0.13889,0.20619,0.50923,0.7549835920333863,3.774917960166931,0.63907,0.75,0.38776,0.51121,0.68071,0.6584604442119598,6.584604442119598,1714421233,,False,4,58cb4bd4,2024-04-29_22-07-13,54.90519070625305,226.20796990394592,65672,AT-MB-PC-E13,127.0.0.1,226.20796990394592,4,64,0.2,6,0.0001
0.64528,0.60435,0.58898,0.59657,0.72251,0.6096234514432795,20.727197349071503,0.54305,0.53191,0.34722,0.42017,0.57964,0.680154538154602,3.4007726907730103,0.67219,0.67647,0.62585,0.65018,0.73193,0.6276107490062713,6.276107490062714,1714421288,,False,5,58cb4bd4,2024-04-29_22-08-08,54.76720190048218,280.9751718044281,65672,AT-MB-PC-E13,127.0.0.1,280.9751718044281,5,64,0.2,6,0.0001
0.69906,0.67038,0.63771,0.65364,0.77351,0.5783987194299698,19.665556460618973,0.56954,0.60606,0.27778,0.38095,0.6294,0.7146450757980347,3.5732253789901733,0.68543,0.72414,0.57143,0.63878,0.75905,0.6218466401100159,6.218466401100159,1714421346,,False,6,58cb4bd4,2024-04-29_22-09-06,58.486247539520264,339.46141934394836,65672,AT-MB-PC-E13,127.0.0.1,339.46141934394836,6,64,0.2,6,0.0001
0.7,0.66453,0.6589,0.6617,0.76514,0.5730565137722913,19.483921468257904,0.63576,0.67347,0.45833,0.54545,0.66781,0.7048708319664001,3.5243541598320007,0.67881,0.73148,0.53741,0.61961,0.73426,0.638627004623413,6.386270046234131,1714421405,,False,7,58cb4bd4,2024-04-29_22-10-05,58.39550304412842,397.8569223880768,65672,AT-MB-PC-E13,127.0.0.1,397.8569223880768,7,64,0.2,6,0.0001
0.73585,0.71719,0.67161,0.69365,0.78561,0.5650274525670445,19.21093338727951,0.51656,0.48718,0.26389,0.34234,0.62104,0.7155076146125794,3.5775380730628967,0.68212,0.76289,0.5034,0.60656,0.72381,0.6549597203731536,6.549597203731537,1714421463,,False,8,58cb4bd4,2024-04-29_22-11-03,58.12901067733765,455.98593306541443,65672,AT-MB-PC-E13,127.0.0.1,455.98593306541443,8,64,0.2,6,0.0001
0.73868,0.69539,0.73517,0.71473,0.81028,0.5556111195508171,18.890778064727783,0.54305,0.52727,0.40278,0.45669,0.60355,0.7907344818115234,3.953672409057617,0.68543,0.73636,0.55102,0.63035,0.76327,0.6604271024465561,6.604271024465561,1714421522,,False,9,58cb4bd4,2024-04-29_22-12-02,59.12807607650757,515.114009141922,65672,AT-MB-PC-E13,127.0.0.1,515.114009141922,9,64,0.2,6,0.0001
0.75566,0.72611,0.72458,0.72534,0.82576,0.5098241716623306,17.33402183651924,0.62914,0.58889,0.73611,0.65432,0.67027,0.7022575855255127,3.5112879276275635,0.65232,0.60396,0.82993,0.69914,0.7368,0.6432627975940705,6.432627975940704,1714421582,,False,10,58cb4bd4,2024-04-29_22-13-02,59.732890605926514,574.8468997478485,65672,AT-MB-PC-E13,127.0.0.1,574.8468997478485,10,64,0.2,6,0.0001
0.77547,0.73031,0.78602,0.75714,0.85081,0.4847285984193577,16.480772346258163,0.56291,0.55357,0.43056,0.48438,0.64882,0.7459680438041687,3.7298402190208435,0.65232,0.66667,0.57143,0.61538,0.71389,0.7021246820688247,7.021246820688248,1714421642,,False,11,58cb4bd4,2024-04-29_22-14-02,60.689316272735596,635.5362160205841,65672,AT-MB-PC-E13,127.0.0.1,635.5362160205841,11,64,0.2,6,0.0001
0.77736,0.74082,0.76907,0.75468,0.84856,0.47849085313432355,16.268689006567,0.66887,0.66176,0.625,0.64286,0.69928,0.6743183851242065,3.3715919256210327,0.67881,0.67606,0.65306,0.66436,0.73057,0.6740881949663162,6.740881949663162,1714421703,,False,12,58cb4bd4,2024-04-29_22-15-03,60.45931029319763,695.9955263137817,65672,AT-MB-PC-E13,127.0.0.1,695.9955263137817,12,64,0.2,6,0.0001
0.78868,0.7684,0.75212,0.76017,0.86561,0.4561759969767402,15.509983897209167,0.62252,0.57143,0.83333,0.67797,0.68091,0.8884609341621399,4.4423046708106995,0.61589,0.57416,0.81633,0.67416,0.67132,0.8312433063983917,8.312433063983917,1714421764,,False,13,58cb4bd4,2024-04-29_22-16-04,60.6994092464447,756.6949355602264,65672,AT-MB-PC-E13,127.0.0.1,756.6949355602264,13,64,0.2,6,0.0001
0.76698,0.72455,0.76907,0.74615,0.854,0.48314959249075723,16.427086144685745,0.60265,0.64286,0.375,0.47368,0.66904,0.8387697815895081,4.19384890794754,0.69205,0.73684,0.57143,0.64368,0.75848,0.713627177476883,7.136271774768829,1714421824,,False,14,58cb4bd4,2024-04-29_22-17-04,60.89830255508423,817.5932381153107,65672,AT-MB-PC-E13,127.0.0.1,817.5932381153107,14,64,0.2,6,0.0001
0.79434,0.7624,0.78178,0.77197,0.87576,0.4390637655468548,14.928168028593063,0.68212,0.68182,0.625,0.65217,0.73251,0.6532032430171967,3.2660162150859833,0.71192,0.70833,0.69388,0.70103,0.76528,0.6094785571098328,6.094785571098328,1714421885,,False,15,58cb4bd4,2024-04-29_22-18-05,61.04107475280762,878.6343128681183,65672,AT-MB-PC-E13,127.0.0.1,878.6343128681183,15,64,0.2,6,0.0001
0.80566,0.77824,0.78814,0.78316,0.87914,0.4360481526921777,14.825637191534042,0.5894,0.5625,0.625,0.59211,0.6904,0.6586055278778076,3.293027639389038,0.7351,0.71895,0.7483,0.73333,0.78069,0.6166601479053497,6.166601479053497,1714421945,,False,16,58cb4bd4,2024-04-29_22-19-05,59.16354298591614,937.7978558540344,65672,AT-MB-PC-E13,127.0.0.1,937.7978558540344,16,64,0.2,6,0.0001
0.77925,0.75427,0.74788,0.75106,0.86483,0.45937532055027347,15.618760898709297,0.72848,0.6962,0.76389,0.72848,0.80002,0.5475580334663391,2.7377901673316956,0.74834,0.72327,0.78231,0.75163,0.78082,0.5734423935413361,5.734423935413361,1714422004,,False,17,58cb4bd4,2024-04-29_22-20-04,58.990044593811035,996.7879004478455,65672,AT-MB-PC-E13,127.0.0.1,996.7879004478455,17,64,0.2,6,0.0001
0.81604,0.78208,0.81356,0.79751,0.88362,0.4355603088350857,14.809050500392914,0.69536,0.71667,0.59722,0.65152,0.76609,0.6199205040931701,3.099602520465851,0.63576,0.66972,0.4966,0.57031,0.74606,0.6266510128974915,6.2665101289749146,1714422063,,False,18,58cb4bd4,2024-04-29_22-21-03,59.37565040588379,1056.1635508537292,65672,AT-MB-PC-E13,127.0.0.1,1056.1635508537292,18,64,0.2,6,0.0001
0.8066,0.76331,0.81992,0.7906,0.88648,0.4197339910794707,14.270955696702003,0.6755,0.67692,0.61111,0.64234,0.74007,0.631231963634491,3.156159818172455,0.67881,0.70833,0.57823,0.6367,0.77375,0.6377739548683167,6.3777395486831665,1714422122,,False,19,58cb4bd4,2024-04-29_22-22-02,58.95115089416504,1115.1147017478943,65672,AT-MB-PC-E13,127.0.0.1,1115.1147017478943,19,64,0.2,6,0.0001
0.8217,0.79296,0.81144,0.80209,0.90396,0.4000505537671201,13.601718828082085,0.66225,0.62963,0.70833,0.66667,0.75607,0.6309861302375793,3.1549306511878967,0.69205,0.65517,0.77551,0.71028,0.7619,0.6395975351333618,6.395975351333618,1714422183,,False,20,58cb4bd4,2024-04-29_22-23-03,60.70448708534241,1175.8191888332367,65672,AT-MB-PC-E13,127.0.0.1,1175.8191888332367,20,64,0.2,6,0.0001
0.80755,0.76693,0.81568,0.79055,0.8961,0.40913938467993455,13.910739079117775,0.68212,0.66216,0.68056,0.67123,0.74218,0.5922902941703796,2.961451470851898,0.63245,0.66071,0.5034,0.57143,0.74975,0.653458571434021,6.53458571434021,1714422246,,False,21,58cb4bd4,2024-04-29_22-24-06,62.918925285339355,1238.738114118576,65672,AT-MB-PC-E13,127.0.0.1,1238.738114118576,21,64,0.2,6,0.0001
