train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.61792,0.56192,0.64407,0.6002,0.63804,0.6673060024485868,22.688404083251953,0.58278,0.56338,0.55556,0.55944,0.53727,0.7140959739685059,3.5704798698425293,0.56623,0.54545,0.65306,0.59443,0.55787,0.7045544207096099,7.0455442070961,1714421071,,False,1,f1b3892f,2024-04-29_22-04-31,59.650543212890625,59.650543212890625,59960,AT-MB-PC-E13,127.0.0.1,59.650543212890625,1,64,0.0,6,0.0001
0.61981,0.56725,0.61653,0.59086,0.65896,0.6555372406454647,22.2882661819458,0.49669,0.45238,0.26389,0.33333,0.53964,0.7674835443496704,3.837417721748352,0.6457,0.69231,0.4898,0.57371,0.64042,0.7375113010406494,7.375113010406494,1714421126,,False,2,f1b3892f,2024-04-29_22-05-26,55.10588812828064,114.75643134117126,59960,AT-MB-PC-E13,127.0.0.1,114.75643134117126,2,64,0.0,6,0.0001
0.68208,0.65033,0.61864,0.63409,0.73476,0.6169453193159664,20.97614085674286,0.61589,0.625,0.48611,0.54687,0.6395,0.7426787495613099,3.713393747806549,0.71192,0.70833,0.69388,0.70103,0.7465,0.6407167971134186,6.407167971134186,1714421181,,False,3,f1b3892f,2024-04-29_22-06-21,54.80547857284546,169.56190991401672,59960,AT-MB-PC-E13,127.0.0.1,169.56190991401672,3,64,0.0,6,0.0001
0.72547,0.68973,0.69703,0.69336,0.78674,0.5738603612955879,19.511252284049988,0.6755,0.65333,0.68056,0.66667,0.70069,0.7375041306018829,3.6875206530094147,0.65563,0.61026,0.80952,0.69591,0.76164,0.5934734344482422,5.934734344482422,1714421236,,False,4,f1b3892f,2024-04-29_22-07-16,54.77008247375488,224.3319923877716,59960,AT-MB-PC-E13,127.0.0.1,224.3319923877716,4,64,0.0,6,0.0001
0.75472,0.71545,0.74576,0.73029,0.8171,0.5368317277992473,18.252278745174408,0.5894,0.64706,0.30556,0.41509,0.64337,0.8469779372215271,4.2348896861076355,0.69536,0.7619,0.54422,0.63492,0.75177,0.6234840512275696,6.234840512275696,1714421291,,False,5,f1b3892f,2024-04-29_22-08-11,54.72887182235718,279.0608642101288,59960,AT-MB-PC-E13,127.0.0.1,279.0608642101288,5,64,0.0,6,0.0001
0.76698,0.74945,0.7161,0.73239,0.83123,0.5152846662437215,17.51967865228653,0.56954,0.62963,0.23611,0.34343,0.58632,0.9939157724380493,4.969578862190247,0.69536,0.78947,0.5102,0.61983,0.76985,0.6192927718162536,6.192927718162537,1714421348,,False,6,f1b3892f,2024-04-29_22-09-08,57.82636332511902,336.8872275352478,59960,AT-MB-PC-E13,127.0.0.1,336.8872275352478,6,64,0.0,6,0.0001
0.77075,0.75847,0.71186,0.73443,0.84348,0.48729292610112357,16.567959487438202,0.65563,0.62821,0.68056,0.65333,0.66816,0.7625353693962097,3.8126768469810486,0.72848,0.74074,0.68027,0.70922,0.78547,0.5826492875814437,5.826492875814438,1714421406,,False,7,f1b3892f,2024-04-29_22-10-06,57.79499673843384,394.68222427368164,59960,AT-MB-PC-E13,127.0.0.1,394.68222427368164,7,64,0.0,6,0.0001
0.78868,0.7562,0.77542,0.76569,0.85384,0.47487564998514514,16.145772099494934,0.62914,0.57273,0.875,0.69231,0.71704,0.7708866238594055,3.8544331192970276,0.65563,0.59389,0.92517,0.7234,0.75207,0.7184857130050659,7.184857130050659,1714421464,,False,8,f1b3892f,2024-04-29_22-11-04,57.96343493461609,452.64565920829773,59960,AT-MB-PC-E13,127.0.0.1,452.64565920829773,8,64,0.0,6,0.0001
0.78679,0.75949,0.76271,0.7611,0.86731,0.4549765744630028,15.469203531742096,0.62252,0.65957,0.43056,0.52101,0.69154,0.6749363660812377,3.374681830406189,0.59272,0.6875,0.29932,0.41706,0.74426,0.699035370349884,6.99035370349884,1714421523,,False,9,f1b3892f,2024-04-29_22-12-03,58.375223875045776,511.0208830833435,59960,AT-MB-PC-E13,127.0.0.1,511.0208830833435,9,64,0.0,6,0.0001
0.79434,0.75709,0.79237,0.77433,0.86955,0.44790783173897686,15.228866279125214,0.6755,0.65333,0.68056,0.66667,0.70069,0.6931747555732727,3.4658737778663635,0.69205,0.68,0.69388,0.68687,0.73478,0.6183499544858932,6.1834995448589325,1714421582,,False,10,f1b3892f,2024-04-29_22-13-02,59.153677225112915,570.1745603084564,59960,AT-MB-PC-E13,127.0.0.1,570.1745603084564,10,64,0.0,6,0.0001
