train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.44528,0.44402,0.97458,0.61008,0.42558,1.1344801205046036,38.572324097156525,0.47682,0.47682,1.0,0.64574,0.61911,0.9014580011367798,4.507290005683899,0.48675,0.48675,1.0,0.65479,0.54988,0.8924460887908936,8.924460887908936,1715897389,,False,1,f767df88,2024-05-17_00-09-49,88.77966022491455,88.77966022491455,9388,AT-MB-PC-E13,127.0.0.1,88.77966022491455,1,128,0.2,10,0.0001
0.45943,0.44914,0.94492,0.60887,0.49827,0.907808228450663,30.86547976732254,0.45695,0.46622,0.95833,0.62727,0.38493,0.7824041366577148,3.912020683288574,0.5,0.4932,0.98639,0.6576,0.55567,0.7467305421829223,7.467305421829224,1715897470,,False,2,f767df88,2024-05-17_00-11-10,80.23106026649475,169.0107204914093,9388,AT-MB-PC-E13,127.0.0.1,169.0107204914093,2,128,0.2,10,0.0001
0.55,0.49648,0.74788,0.59679,0.60526,0.7070073222412783,24.03824895620346,0.47682,0.46392,0.625,0.53254,0.46677,0.8362644076347351,4.1813220381736755,0.61258,0.57143,0.81633,0.67227,0.65754,0.717394870519638,7.173948705196381,1715897550,,False,3,f767df88,2024-05-17_00-12-30,80.21764922142029,249.2283697128296,9388,AT-MB-PC-E13,127.0.0.1,249.2283697128296,3,128,0.2,10,0.0001
0.58019,0.52202,0.67797,0.58986,0.64295,0.6760440135703367,22.98549646139145,0.53642,0.5098,0.72222,0.5977,0.5625,0.7130383968353271,3.5651919841766357,0.6457,0.60309,0.79592,0.68622,0.72855,0.6281966626644134,6.2819666266441345,1715897630,,False,4,f767df88,2024-05-17_00-13-50,80.02980470657349,329.2581744194031,9388,AT-MB-PC-E13,127.0.0.1,329.2581744194031,4,128,0.2,10,0.0001
0.62075,0.56295,0.66314,0.60895,0.69821,0.6333267618628109,21.53310990333557,0.58278,0.57627,0.47222,0.51908,0.62377,0.6619561076164245,3.309780538082123,0.68874,0.7265,0.57823,0.64394,0.74014,0.6084331214427948,6.084331214427948,1715897711,,False,5,f767df88,2024-05-17_00-15-11,80.83895659446716,410.09713101387024,9388,AT-MB-PC-E13,127.0.0.1,410.09713101387024,5,128,0.2,10,0.0001
0.68113,0.61713,0.74788,0.67625,0.76014,0.5923836581847247,20.14104437828064,0.60927,0.61818,0.47222,0.53543,0.63801,0.6674976348876953,3.3374881744384766,0.70199,0.71756,0.63946,0.67626,0.74821,0.6035413146018982,6.035413146018982,1715897791,,False,6,f767df88,2024-05-17_00-16-31,80.08569025993347,490.1828212738037,9388,AT-MB-PC-E13,127.0.0.1,490.1828212738037,6,128,0.2,10,0.0001
0.71226,0.68113,0.66525,0.6731,0.75669,0.5822790975079817,19.797489315271378,0.66225,0.64384,0.65278,0.64828,0.68029,0.6735432386398316,3.3677161931991577,0.6755,0.66443,0.67347,0.66892,0.72491,0.6209005117416382,6.209005117416382,1715897871,,False,7,f767df88,2024-05-17_00-17-51,79.95990514755249,570.1427264213562,9388,AT-MB-PC-E13,127.0.0.1,570.1427264213562,7,128,0.2,10,0.0001
0.70849,0.66398,0.69915,0.68111,0.76786,0.5677099350620719,19.302137792110443,0.5894,0.61905,0.36111,0.45614,0.63537,0.6897775888442993,3.4488879442214966,0.67881,0.68939,0.61905,0.65233,0.72987,0.6443125545978546,6.443125545978546,1715897951,,False,8,f767df88,2024-05-17_00-19-11,80.14460945129395,650.2873358726501,9388,AT-MB-PC-E13,127.0.0.1,650.2873358726501,8,128,0.2,10,0.0001
0.74057,0.70309,0.72246,0.71264,0.80651,0.5330114688943414,18.122389942407608,0.57616,0.56667,0.47222,0.51515,0.64197,0.7026938438415528,3.5134692192077637,0.69868,0.68421,0.70748,0.69565,0.74984,0.5890922904014587,5.890922904014587,1715898031,,False,9,f767df88,2024-05-17_00-20-31,80.42640042304993,730.7137362957001,9388,AT-MB-PC-E13,127.0.0.1,730.7137362957001,9,128,0.2,10,0.0001
0.75472,0.72363,0.72669,0.72516,0.81812,0.5293850732200286,17.999092489480972,0.64238,0.6875,0.45833,0.55,0.71036,0.6709636569023132,3.354818284511566,0.68212,0.72973,0.55102,0.62791,0.77494,0.5981205642223358,5.981205642223358,1715898111,,False,10,f767df88,2024-05-17_00-21-51,80.02416706085205,810.7379033565521,9388,AT-MB-PC-E13,127.0.0.1,810.7379033565521,10,128,0.2,10,0.0001
