train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.44,0.44,0.95,0.6,0.42,0.9725935459136963,33.068180561065674,0.42,0.39,0.4,0.4,0.4,0.7429235816001892,3.714617908000946,1713254399,,False,1,33cbb879,2024-04-16_09-59-59,19.623084545135498,19.623084545135498,3992,AT-MB-PC-E13,127.0.0.1,19.623084545135498,1,128,3,0.0,0.0001
0.44,0.44,0.91,0.59,0.44,0.8262370842344621,28.09206086397171,0.56,0.53,0.61,0.57,0.56,0.7006057620048523,3.5030288100242615,1713254415,,False,2,33cbb879,2024-04-16_10-00-15,15.926132678985596,35.549217224121094,3992,AT-MB-PC-E13,127.0.0.1,35.549217224121094,2,128,3,0.0,0.0001
0.59,0.53,0.66,0.59,0.63,0.6770943561021019,23.021208107471466,0.58,0.58,0.46,0.51,0.55,0.6949325561523437,3.4746627807617188,1713254431,,False,3,33cbb879,2024-04-16_10-00-31,15.946549892425537,51.49576711654663,3992,AT-MB-PC-E13,127.0.0.1,51.49576711654663,3,128,3,0.0,0.0001
0.64,0.58,0.67,0.62,0.69,0.6346548006815069,21.578263223171234,0.66,0.69,0.5,0.58,0.62,0.6747402787208557,3.3737013936042786,1713254446,,False,4,33cbb879,2024-04-16_10-00-46,15.127832651138306,66.62359976768494,3992,AT-MB-PC-E13,127.0.0.1,66.62359976768494,4,128,3,0.0,0.0001
0.65,0.6,0.68,0.64,0.73,0.6098720168366152,20.735648572444916,0.63,0.62,0.56,0.59,0.67,0.6559062123298645,3.2795310616493225,1713254462,,False,5,33cbb879,2024-04-16_10-01-02,15.546097993850708,82.16969776153564,3992,AT-MB-PC-E13,127.0.0.1,82.16969776153564,5,128,3,0.0,0.0001
0.71,0.67,0.68,0.67,0.77,0.575693288270165,19.573571801185608,0.63,0.64,0.5,0.56,0.65,0.6543220520019531,3.2716102600097656,1713254477,,False,6,33cbb879,2024-04-16_10-01-17,15.770328283309937,97.94002604484558,3992,AT-MB-PC-E13,127.0.0.1,97.94002604484558,6,128,3,0.0,0.0001
0.73,0.69,0.74,0.71,0.8,0.5619301419047749,19.105624824762344,0.6,0.57,0.69,0.62,0.6,0.6813047885894775,3.4065239429473877,1713254492,,False,7,33cbb879,2024-04-16_10-01-32,14.888753175735474,112.82877922058105,3992,AT-MB-PC-E13,127.0.0.1,112.82877922058105,7,128,3,0.0,0.0001
0.75,0.71,0.75,0.73,0.82,0.5342760068528792,18.165384232997894,0.56,0.54,0.58,0.56,0.59,0.6918667316436767,3.459333658218384,1713254508,,False,8,33cbb879,2024-04-16_10-01-48,15.766261577606201,128.59504079818726,3992,AT-MB-PC-E13,127.0.0.1,128.59504079818726,8,128,3,0.0,0.0001
0.75,0.72,0.73,0.73,0.82,0.5200467109680176,17.681588172912598,0.66,0.61,0.79,0.69,0.66,0.6800236821174621,3.400118410587311,1713254524,,False,9,33cbb879,2024-04-16_10-02-04,15.45672345161438,144.05176424980164,3992,AT-MB-PC-E13,127.0.0.1,144.05176424980164,9,128,3,0.0,0.0001
0.77,0.74,0.73,0.74,0.84,0.5063800154363408,17.216920524835587,0.63,0.62,0.57,0.59,0.69,0.6549311757087708,3.2746558785438538,1713254539,,False,10,33cbb879,2024-04-16_10-02-19,15.287773132324219,159.33953738212585,3992,AT-MB-PC-E13,127.0.0.1,159.33953738212585,10,128,3,0.0,0.0001
0.78,0.74,0.78,0.76,0.86,0.47485539141823263,16.14508330821991,0.57,0.56,0.47,0.51,0.64,0.6729978442192077,3.364989221096039,1713254554,,False,11,33cbb879,2024-04-16_10-02-34,15.446923732757568,174.78646111488342,3992,AT-MB-PC-E13,127.0.0.1,174.78646111488342,11,128,3,0.0,0.0001
0.78,0.74,0.76,0.75,0.85,0.48180247317342195,16.381284087896347,0.62,0.62,0.54,0.58,0.71,0.6284197568893433,3.1420987844467163,1713254570,,False,12,33cbb879,2024-04-16_10-02-50,15.824419736862183,190.6108808517456,3992,AT-MB-PC-E13,127.0.0.1,190.6108808517456,12,128,3,0.0,0.0001
0.79,0.75,0.77,0.76,0.86,0.4692157463115804,15.953335374593735,0.72,0.66,0.83,0.74,0.74,0.6016298949718475,3.0081494748592377,1713254585,,False,13,33cbb879,2024-04-16_10-03-05,14.880681037902832,205.49156188964844,3992,AT-MB-PC-E13,127.0.0.1,205.49156188964844,13,128,3,0.0,0.0001
0.8,0.76,0.79,0.78,0.88,0.4325140688349219,14.705478340387344,0.64,0.59,0.79,0.68,0.71,0.6699220061302185,3.3496100306510925,1713254601,,False,14,33cbb879,2024-04-16_10-03-21,15.761454343795776,221.2530162334442,3992,AT-MB-PC-E13,127.0.0.1,221.2530162334442,14,128,3,0.0,0.0001
0.8,0.78,0.79,0.78,0.88,0.44644026545917287,15.178969025611877,0.57,0.6,0.29,0.39,0.64,1.005382239818573,5.026911199092865,1713254616,,True,15,33cbb879,2024-04-16_10-03-36,15.44348955154419,236.6965057849884,3992,AT-MB-PC-E13,127.0.0.1,236.6965057849884,15,128,3,0.0,0.0001
