train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.43,0.43,0.87,0.58,0.43,0.9017759929685032,30.660383760929108,0.41,0.37,0.35,0.36,0.4,0.7264528632164001,3.6322643160820007,1713242478,,False,1,48888cb6,2024-04-16_06-41-18,9.40259838104248,9.40259838104248,33492,AT-MB-PC-E13,127.0.0.1,9.40259838104248,1,64,3,0.5,1e-05
0.45,0.44,0.87,0.58,0.43,0.8876764230868396,30.180998384952545,0.53,0.5,0.79,0.62,0.51,0.7427375316619873,3.7136876583099365,1713242491,,False,2,48888cb6,2024-04-16_06-41-31,12.747516632080078,22.15011501312256,33492,AT-MB-PC-E13,127.0.0.1,22.15011501312256,2,64,3,0.5,1e-05
0.44,0.43,0.86,0.58,0.44,0.8596567020696753,29.228327870368958,0.44,0.45,0.69,0.54,0.46,0.7783578276634217,3.891789138317108,1713242505,,False,3,48888cb6,2024-04-16_06-41-45,14.389287948608398,36.53940296173096,33492,AT-MB-PC-E13,127.0.0.1,36.53940296173096,3,64,3,0.5,1e-05
0.45,0.44,0.86,0.58,0.47,0.8229980644057778,27.981934189796448,0.47,0.46,0.64,0.53,0.48,0.7406367063522339,3.7031835317611694,1713242520,,False,4,48888cb6,2024-04-16_06-42-00,14.720181226730347,51.259584188461304,33492,AT-MB-PC-E13,127.0.0.1,51.259584188461304,4,64,3,0.5,1e-05
0.43,0.43,0.83,0.56,0.48,0.7802932402666878,26.529970169067383,0.46,0.46,0.72,0.56,0.45,0.7234554767608643,3.6172773838043213,1713242534,,False,5,48888cb6,2024-04-16_06-42-14,14.360063791275024,65.61964797973633,33492,AT-MB-PC-E13,127.0.0.1,65.61964797973633,5,64,3,0.5,1e-05
0.46,0.44,0.79,0.56,0.49,0.7593312386204215,25.81726211309433,0.43,0.4,0.39,0.39,0.4,0.7238951802253724,3.6194759011268616,1713242549,,False,6,48888cb6,2024-04-16_06-42-29,14.780468225479126,80.40011620521545,33492,AT-MB-PC-E13,127.0.0.1,80.40011620521545,6,64,3,0.5,1e-05
0.5,0.46,0.72,0.56,0.56,0.7132956841412712,24.252053260803223,0.5,0.45,0.24,0.31,0.48,0.7161215782165528,3.5806078910827637,1713242563,,False,7,48888cb6,2024-04-16_06-42-43,14.391539573669434,94.79165577888489,33492,AT-MB-PC-E13,127.0.0.1,94.79165577888489,7,64,3,0.5,1e-05
0.53,0.48,0.66,0.56,0.56,0.714744755450417,24.30132168531418,0.54,0.53,0.39,0.45,0.49,0.7210332751274109,3.6051663756370544,1713242578,,False,8,48888cb6,2024-04-16_06-42-58,14.839868068695068,109.63152384757996,33492,AT-MB-PC-E13,127.0.0.1,109.63152384757996,8,64,3,0.5,1e-05
0.57,0.51,0.65,0.57,0.6,0.6887591130593244,23.41780984401703,0.53,0.52,0.18,0.27,0.47,0.7254650473594666,3.6273252367973328,1713242593,,False,9,48888cb6,2024-04-16_06-43-13,14.48399543762207,124.11551928520203,33492,AT-MB-PC-E13,127.0.0.1,124.11551928520203,9,64,3,0.5,1e-05
0.59,0.53,0.67,0.59,0.63,0.674877743510639,22.945843279361725,0.53,0.52,0.19,0.28,0.48,0.7160349607467651,3.5801748037338257,1713242608,,False,10,48888cb6,2024-04-16_06-43-28,14.84112811088562,138.95664739608765,33492,AT-MB-PC-E13,127.0.0.1,138.95664739608765,10,64,3,0.5,1e-05
0.57,0.51,0.63,0.57,0.61,0.6810812073595384,23.156761050224304,0.54,0.56,0.21,0.3,0.48,0.7222327947616577,3.6111639738082886,1713242622,,False,11,48888cb6,2024-04-16_06-43-42,14.44861626625061,153.40526366233826,33492,AT-MB-PC-E13,127.0.0.1,153.40526366233826,11,64,3,0.5,1e-05
0.58,0.53,0.64,0.58,0.63,0.6768696746405434,23.013568937778473,0.51,0.45,0.14,0.21,0.49,0.7045210599899292,3.522605299949646,1713242637,,False,12,48888cb6,2024-04-16_06-43-57,14.796328783035278,168.20159244537354,33492,AT-MB-PC-E13,127.0.0.1,168.20159244537354,12,64,3,0.5,1e-05
0.58,0.53,0.61,0.56,0.62,0.6704599646960988,22.79563879966736,0.47,0.17,0.03,0.05,0.4,0.7262334823608398,3.631167411804199,1713242651,,False,13,48888cb6,2024-04-16_06-44-11,14.372545957565308,182.57413840293884,33492,AT-MB-PC-E13,127.0.0.1,182.57413840293884,13,64,3,0.5,1e-05
0.58,0.53,0.62,0.57,0.63,0.6631511081667507,22.547137677669525,0.5,0.4,0.11,0.17,0.48,0.71720050573349,3.58600252866745,1713242666,,False,14,48888cb6,2024-04-16_06-44-26,14.770556926727295,197.34469532966614,33492,AT-MB-PC-E13,127.0.0.1,197.34469532966614,14,64,3,0.5,1e-05
0.59,0.53,0.65,0.58,0.65,0.6641155551461613,22.579928874969482,0.5,0.43,0.12,0.19,0.5,0.6945810556411743,3.4729052782058716,1713242680,,False,15,48888cb6,2024-04-16_06-44-40,14.392157077789307,211.73685240745544,33492,AT-MB-PC-E13,127.0.0.1,211.73685240745544,15,64,3,0.5,1e-05
0.6,0.54,0.64,0.58,0.65,0.6551185443120844,22.27403050661087,0.5,0.41,0.12,0.19,0.51,0.6967108130455018,3.4835540652275085,1713242695,,False,16,48888cb6,2024-04-16_06-44-55,14.849817752838135,226.58667016029358,33492,AT-MB-PC-E13,127.0.0.1,226.58667016029358,16,64,3,0.5,1e-05
0.59,0.54,0.61,0.57,0.65,0.6516966697047738,22.15768676996231,0.5,0.4,0.08,0.14,0.5,0.7042070388793945,3.5210351943969727,1713242710,,False,17,48888cb6,2024-04-16_06-45-10,14.438365936279297,241.02503609657288,33492,AT-MB-PC-E13,127.0.0.1,241.02503609657288,17,64,3,0.5,1e-05
0.61,0.55,0.61,0.58,0.67,0.6477004491231021,22.02181527018547,0.51,0.44,0.11,0.18,0.5,0.697867238521576,3.4893361926078796,1713242724,,False,18,48888cb6,2024-04-16_06-45-24,14.746283531188965,255.77131962776184,33492,AT-MB-PC-E13,127.0.0.1,255.77131962776184,18,64,3,0.5,1e-05
0.61,0.56,0.6,0.58,0.65,0.654790881802054,22.262889981269836,0.5,0.38,0.08,0.14,0.43,0.73552006483078,3.6776003241539,1713242739,,False,19,48888cb6,2024-04-16_06-45-39,14.392254829406738,270.1635744571686,33492,AT-MB-PC-E13,127.0.0.1,270.1635744571686,19,64,3,0.5,1e-05
0.61,0.56,0.62,0.59,0.67,0.6441326141357422,21.900508880615234,0.52,0.47,0.1,0.16,0.52,0.6966222167015076,3.483111083507538,1713242754,,False,20,48888cb6,2024-04-16_06-45-54,14.6913423538208,284.8549168109894,33492,AT-MB-PC-E13,127.0.0.1,284.8549168109894,20,64,3,0.5,1e-05
0.61,0.56,0.63,0.59,0.67,0.6426258472835317,21.849278807640076,0.5,0.43,0.12,0.19,0.52,0.6961270928382873,3.4806354641914368,1713242768,,False,21,48888cb6,2024-04-16_06-46-08,14.643236875534058,299.49815368652344,33492,AT-MB-PC-E13,127.0.0.1,299.49815368652344,21,64,3,0.5,1e-05
0.61,0.56,0.64,0.6,0.66,0.6501073924934163,22.103651344776154,0.52,0.5,0.1,0.16,0.47,0.7283427238464355,3.6417136192321777,1713242783,,False,22,48888cb6,2024-04-16_06-46-23,14.443260669708252,313.9414143562317,33492,AT-MB-PC-E13,127.0.0.1,313.9414143562317,22,64,3,0.5,1e-05
0.6,0.55,0.61,0.58,0.66,0.6454514650737538,21.94534981250763,0.51,0.44,0.11,0.18,0.5,0.7239484310150146,3.6197421550750732,1713242798,,False,23,48888cb6,2024-04-16_06-46-38,14.924127101898193,328.8655414581299,33492,AT-MB-PC-E13,127.0.0.1,328.8655414581299,23,64,3,0.5,1e-05
0.62,0.57,0.65,0.61,0.68,0.6335230680073008,21.53978431224823,0.52,0.47,0.12,0.2,0.52,0.6957409620285034,3.478704810142517,1713242812,,False,24,48888cb6,2024-04-16_06-46-52,14.416130304336548,343.28167176246643,33492,AT-MB-PC-E13,127.0.0.1,343.28167176246643,24,64,3,0.5,1e-05
0.63,0.58,0.64,0.61,0.69,0.6352234675603754,21.597597897052765,0.51,0.45,0.12,0.2,0.52,0.699320662021637,3.496603310108185,1713242827,,False,25,48888cb6,2024-04-16_06-47-07,14.739859104156494,358.0215308666229,33492,AT-MB-PC-E13,127.0.0.1,358.0215308666229,25,64,3,0.5,1e-05
0.63,0.57,0.66,0.61,0.69,0.6372868366101209,21.66775244474411,0.52,0.48,0.15,0.23,0.53,0.7051246523857116,3.5256232619285583,1713242841,,False,26,48888cb6,2024-04-16_06-47-21,14.46304702758789,372.4845778942108,33492,AT-MB-PC-E13,127.0.0.1,372.4845778942108,26,64,3,0.5,1e-05
