train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.44,0.44,0.95,0.6,0.42,0.9725863986155566,33.067937552928925,0.42,0.39,0.4,0.4,0.4,0.7429235577583313,3.7146177887916565,1713253327,,False,1,661069ca,2024-04-16_09-42-07,19.28387427330017,19.28387427330017,3992,AT-MB-PC-E13,127.0.0.1,19.28387427330017,1,128,3,0.0,0.001
0.57,0.52,0.59,0.55,0.6,0.6995904095032636,23.786073923110962,0.51,0.46,0.15,0.23,0.58,0.6909891366958618,3.454945683479309,1713253342,,False,2,661069ca,2024-04-16_09-42-22,14.800600290298462,34.08447456359863,3992,AT-MB-PC-E13,127.0.0.1,34.08447456359863,2,128,3,0.0,0.001
0.67,0.62,0.69,0.65,0.73,0.6218129326315487,21.141639709472656,0.58,0.61,0.35,0.44,0.61,0.6820484519004821,3.410242259502411,1713253356,,False,3,661069ca,2024-04-16_09-42-36,14.335462808609009,48.41993737220764,3992,AT-MB-PC-E13,127.0.0.1,48.41993737220764,3,128,3,0.0,0.001
0.73,0.71,0.68,0.69,0.79,0.5520288628690383,18.768981337547302,0.65,0.59,0.85,0.7,0.69,0.6690810203552247,3.345405101776123,1713253371,,False,4,661069ca,2024-04-16_09-42-51,14.88867998123169,63.30861735343933,3992,AT-MB-PC-E13,127.0.0.1,63.30861735343933,4,128,3,0.0,0.001
0.73,0.68,0.72,0.7,0.81,0.5520457800696877,18.769556522369385,0.58,0.53,0.9,0.67,0.66,0.7616428136825562,3.8082140684127808,1713253386,,False,5,661069ca,2024-04-16_09-43-06,14.827746391296387,78.13636374473572,3992,AT-MB-PC-E13,127.0.0.1,78.13636374473572,5,128,3,0.0,0.001
0.74,0.7,0.74,0.72,0.81,0.5278374798157636,17.946474313735962,0.57,0.61,0.28,0.38,0.69,0.8218393087387085,4.1091965436935425,1713253400,,False,6,661069ca,2024-04-16_09-43-20,14.317965984344482,92.4543297290802,3992,AT-MB-PC-E13,127.0.0.1,92.4543297290802,6,128,3,0.0,0.001
0.77,0.73,0.76,0.74,0.84,0.49961487247663383,16.98690566420555,0.55,0.54,0.4,0.46,0.63,0.8719387650489807,4.359693825244904,1713253415,,False,7,661069ca,2024-04-16_09-43-35,14.951626539230347,107.40595626831055,3992,AT-MB-PC-E13,127.0.0.1,107.40595626831055,7,128,3,0.0,0.001
0.78,0.74,0.79,0.76,0.85,0.47648509547990914,16.20049324631691,0.5,0.47,0.31,0.37,0.57,0.8636057019233704,4.318028509616852,1713253430,,False,8,661069ca,2024-04-16_09-43-50,14.82343339920044,122.22938966751099,3992,AT-MB-PC-E13,127.0.0.1,122.22938966751099,8,128,3,0.0,0.001
0.78,0.75,0.75,0.75,0.83,0.52545547923621,17.865486294031143,0.67,0.7,0.53,0.6,0.75,0.6303636908531189,3.1518184542655945,1713253444,,False,9,661069ca,2024-04-16_09-44-04,14.376523971557617,136.6059136390686,3992,AT-MB-PC-E13,127.0.0.1,136.6059136390686,9,128,3,0.0,0.001
0.77,0.74,0.75,0.74,0.85,0.500241740661509,17.008219182491302,0.53,0.5,0.97,0.66,0.64,1.9038258075714112,9.519129037857056,1713253459,,False,10,661069ca,2024-04-16_09-44-19,14.802062511444092,151.4079761505127,3992,AT-MB-PC-E13,127.0.0.1,151.4079761505127,10,128,3,0.0,0.001
0.79,0.77,0.76,0.76,0.85,0.4800312694381265,16.3210631608963,0.63,0.81,0.29,0.43,0.74,0.8562439799308776,4.281219899654388,1713253474,,False,11,661069ca,2024-04-16_09-44-34,14.881943225860596,166.2899193763733,3992,AT-MB-PC-E13,127.0.0.1,166.2899193763733,11,128,3,0.0,0.001
0.79,0.74,0.81,0.77,0.86,0.47847726590493145,16.26822704076767,0.56,0.52,0.88,0.66,0.68,1.0587337374687196,5.293668687343597,1713253488,,False,12,661069ca,2024-04-16_09-44-48,14.237368822097778,180.52728819847107,3992,AT-MB-PC-E13,127.0.0.1,180.52728819847107,12,128,3,0.0,0.001
0.79,0.77,0.76,0.77,0.86,0.4667005915852154,15.867820113897324,0.7,0.66,0.74,0.7,0.75,0.6156832218170166,3.078416109085083,1713253503,,False,13,661069ca,2024-04-16_09-45-03,14.871482610702515,195.39877080917358,3992,AT-MB-PC-E13,127.0.0.1,195.39877080917358,13,128,3,0.0,0.001
0.8,0.76,0.81,0.79,0.87,0.44930680446765003,15.2764313519001,0.6,0.57,0.6,0.59,0.64,0.7489377856254578,3.744688928127289,1713253518,,False,14,661069ca,2024-04-16_09-45-18,14.93868899345398,210.33745980262756,3992,AT-MB-PC-E13,127.0.0.1,210.33745980262756,14,128,3,0.0,0.001
0.78,0.73,0.79,0.76,0.85,0.4879330177517498,16.589722603559494,0.56,0.65,0.15,0.25,0.64,0.9955383658409118,4.977691829204559,1713253532,,True,15,661069ca,2024-04-16_09-45-32,14.282493591308594,224.61995339393616,3992,AT-MB-PC-E13,127.0.0.1,224.61995339393616,15,128,3,0.0,0.001
