train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.48,0.46,0.9,0.61,0.53,0.9314875234575832,31.67057579755783,0.48,0.47,0.74,0.58,0.59,0.6865463733673096,3.432731866836548,1712730822,,False,1,5858dbf7,2024-04-10_08-33-42,52.009836196899414,52.009836196899414,44964,AT-MB-PC-E13,127.0.0.1,52.009836196899414,1,128,10,0.2,0.0001
0.49,0.46,0.78,0.57,0.56,0.7920074007090401,26.92825162410736,0.56,0.55,0.47,0.51,0.57,0.6977672457695008,3.4888362288475037,1712730868,,False,2,5858dbf7,2024-04-10_08-34-28,45.6825065612793,97.69234275817871,44964,AT-MB-PC-E13,127.0.0.1,97.69234275817871,2,128,10,0.2,0.0001
0.54,0.49,0.64,0.55,0.57,0.7174770972307991,24.394221305847168,0.54,0.52,0.47,0.5,0.55,0.7007224798202515,3.5036123991012573,1712730915,,False,3,5858dbf7,2024-04-10_08-35-15,46.84557318687439,144.5379159450531,44964,AT-MB-PC-E13,127.0.0.1,144.5379159450531,3,128,10,0.2,0.0001
0.57,0.51,0.61,0.56,0.6,0.6876615916981417,23.380494117736816,0.56,0.56,0.4,0.47,0.58,0.6785058856010437,3.3925294280052185,1712730961,,False,4,5858dbf7,2024-04-10_08-36-01,45.98599052429199,190.5239064693451,44964,AT-MB-PC-E13,127.0.0.1,190.5239064693451,4,128,10,0.2,0.0001
0.59,0.54,0.56,0.55,0.63,0.672171529601602,22.853832006454468,0.59,0.54,0.88,0.67,0.66,0.6738475084304809,3.369237542152405,1712731008,,False,5,5858dbf7,2024-04-10_08-36-48,47.16121172904968,237.68511819839478,44964,AT-MB-PC-E13,127.0.0.1,237.68511819839478,5,128,10,0.2,0.0001
0.63,0.58,0.57,0.58,0.68,0.637333440430024,21.66933697462082,0.57,0.53,0.78,0.63,0.58,0.7044541835784912,3.522270917892456,1712731054,,False,6,5858dbf7,2024-04-10_08-37-34,46.50422024726868,284.18933844566345,44964,AT-MB-PC-E13,127.0.0.1,284.18933844566345,6,128,10,0.2,0.0001
0.67,0.62,0.66,0.64,0.72,0.6101507491925183,20.745125472545624,0.6,0.57,0.64,0.6,0.63,0.7373619198799133,3.6868095993995667,1712731098,,False,7,5858dbf7,2024-04-10_08-38-18,43.56048583984375,327.7498242855072,44964,AT-MB-PC-E13,127.0.0.1,327.7498242855072,7,128,10,0.2,0.0001
0.64,0.59,0.61,0.6,0.7,0.6411494498743731,21.799081295728683,0.57,0.56,0.46,0.5,0.61,0.7002647280693054,3.501323640346527,1712731144,,False,8,5858dbf7,2024-04-10_08-39-04,45.68744421005249,373.4372684955597,44964,AT-MB-PC-E13,127.0.0.1,373.4372684955597,8,128,10,0.2,0.0001
0.64,0.6,0.6,0.6,0.69,0.6399811585159862,21.759359389543533,0.59,0.56,0.67,0.61,0.65,0.7242141008377075,3.6210705041885376,1712731187,,False,9,5858dbf7,2024-04-10_08-39-47,43.83097457885742,417.2682430744171,44964,AT-MB-PC-E13,127.0.0.1,417.2682430744171,9,128,10,0.2,0.0001
0.66,0.6,0.67,0.63,0.74,0.6018725449548048,20.463666528463364,0.65,0.65,0.58,0.61,0.67,0.6829763174057006,3.4148815870285034,1712731234,,False,10,5858dbf7,2024-04-10_08-40-34,46.34706902503967,463.6153120994568,44964,AT-MB-PC-E13,127.0.0.1,463.6153120994568,10,128,10,0.2,0.0001
0.68,0.65,0.64,0.64,0.75,0.5893516198677176,20.037955075502396,0.66,0.64,0.64,0.64,0.72,0.6800617814064026,3.400308907032013,1712731280,,False,11,5858dbf7,2024-04-10_08-41-20,46.35853719711304,509.9738492965698,44964,AT-MB-PC-E13,127.0.0.1,509.9738492965698,11,128,10,0.2,0.0001
0.7,0.67,0.64,0.65,0.76,0.5691129293511895,19.349839597940445,0.58,0.55,0.65,0.6,0.66,0.7290845274925232,3.645422637462616,1712731325,,False,12,5858dbf7,2024-04-10_08-42-05,44.48363924026489,554.4574885368347,44964,AT-MB-PC-E13,127.0.0.1,554.4574885368347,12,128,10,0.2,0.0001
