train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.53491,0.4456,0.1822,0.25865,0.47753,0.7680785769925398,26.114671617746353,0.52318,0.0,0.0,0.0,0.3365,0.994346284866333,4.971731424331665,1713876958,,False,1,d96a823a,2024-04-23_14-55-58,18.99751853942871,18.99751853942871,31280,AT-MB-PC-E13,127.0.0.1,18.99751853942871,1,128,3,0.0,0.001
0.55943,0.50493,0.54237,0.52298,0.59085,0.7007190479951746,23.824447631835938,0.49669,0.43333,0.18056,0.2549,0.44409,0.9532181024551392,4.766090512275696,1713876972,,False,2,d96a823a,2024-04-23_14-56-12,14.68494701385498,33.68246555328369,31280,AT-MB-PC-E13,127.0.0.1,33.68246555328369,2,128,3,0.0,0.001
0.6434,0.60043,0.59534,0.59787,0.67657,0.6494716458460864,22.082035958766937,0.56954,0.54667,0.56944,0.55782,0.60267,0.7655988097190857,3.8279940485954285,1713876987,,False,3,d96a823a,2024-04-23_14-56-27,14.879748821258545,48.562214374542236,31280,AT-MB-PC-E13,127.0.0.1,48.562214374542236,3,128,3,0.0,0.001
0.64811,0.60691,0.59534,0.60107,0.70065,0.6369874635163475,21.657573759555817,0.61589,0.57609,0.73611,0.64634,0.65462,0.7794392824172973,3.897196412086487,1713877002,,False,4,d96a823a,2024-04-23_14-56-42,14.607269048690796,63.16948342323303,31280,AT-MB-PC-E13,127.0.0.1,63.16948342323303,4,128,3,0.0,0.001
0.66415,0.61934,0.63771,0.62839,0.71144,0.6330582630984923,21.52398094534874,0.55629,0.52525,0.72222,0.60819,0.65946,0.7873866200447083,3.9369331002235413,1713877016,,False,5,d96a823a,2024-04-23_14-56-56,14.198546886444092,77.36803030967712,31280,AT-MB-PC-E13,127.0.0.1,77.36803030967712,5,128,3,0.0,0.001
0.67358,0.63696,0.62076,0.62876,0.72529,0.654825829407748,22.264078199863434,0.63576,0.74286,0.36111,0.48598,0.68618,0.6696083068847656,3.348041534423828,1713877031,,False,6,d96a823a,2024-04-23_14-57-11,15.313968896865845,92.68199920654297,31280,AT-MB-PC-E13,127.0.0.1,92.68199920654297,6,128,3,0.0,0.001
0.69906,0.66887,0.64195,0.65514,0.75882,0.5922747008940753,20.13733983039856,0.58278,0.54839,0.70833,0.61818,0.62254,0.7550209999084473,3.7751049995422363,1713877047,,False,7,d96a823a,2024-04-23_14-57-27,15.334303617477417,108.01630282402039,31280,AT-MB-PC-E13,127.0.0.1,108.01630282402039,7,128,3,0.0,0.001
0.68774,0.65359,0.63559,0.64447,0.75666,0.5833132529959959,19.83265060186386,0.5298,0.51429,0.25,0.33645,0.49596,0.9409528374671936,4.704764187335968,1713877060,,False,8,d96a823a,2024-04-23_14-57-40,13.929057836532593,121.94536066055298,31280,AT-MB-PC-E13,127.0.0.1,121.94536066055298,8,128,3,0.0,0.001
0.70094,0.65469,0.69492,0.6742,0.77556,0.5646163251470117,19.196955054998398,0.62914,0.57273,0.875,0.69231,0.70139,0.7800264358520508,3.900132179260254,1713877076,,False,9,d96a823a,2024-04-23_14-57-56,15.0981764793396,137.04353713989258,31280,AT-MB-PC-E13,127.0.0.1,137.04353713989258,9,128,3,0.0,0.001
0.74906,0.7102,0.73729,0.72349,0.82055,0.5167947262525558,17.5710206925869,0.62914,0.57407,0.86111,0.68889,0.70587,0.7553722143173218,3.776861071586609,1713877090,,False,10,d96a823a,2024-04-23_14-58-10,14.880338191986084,151.92387533187866,31280,AT-MB-PC-E13,127.0.0.1,151.92387533187866,10,128,3,0.0,0.001
0.70566,0.66529,0.6822,0.67364,0.77447,0.577691830256406,19.641522228717804,0.62914,0.58511,0.76389,0.66265,0.66086,0.7608754158020019,3.8043770790100098,1713877105,,False,11,d96a823a,2024-04-23_14-58-25,14.489954233169556,166.41382956504822,31280,AT-MB-PC-E13,127.0.0.1,166.41382956504822,11,128,3,0.0,0.001
0.72736,0.68789,0.70975,0.69864,0.79272,0.5613372264539495,19.08546569943428,0.59603,0.7619,0.22222,0.34409,0.71484,0.8237019300460815,4.118509650230408,1713877120,,False,12,d96a823a,2024-04-23_14-58-40,14.794945240020752,181.20877480506897,31280,AT-MB-PC-E13,127.0.0.1,181.20877480506897,12,128,3,0.0,0.001
