train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.46,0.43,0.65,0.52,0.47,0.9669075608253479,32.87485706806183,0.48,0.48,1.0,0.65,0.58,0.9204084515571594,4.602042257785797,1712836901,,False,1,7d71aa44,2024-04-11_14-01-41,60.083375692367554,60.083375692367554,43848,AT-MB-PC-E13,127.0.0.1,60.083375692367554,1,256,10,0.5,0.0001
0.5,0.46,0.71,0.56,0.53,0.8643676831441767,29.388501226902008,0.49,0.48,1.0,0.65,0.6,1.0533721089363097,5.266860544681549,1712836941,,False,2,7d71aa44,2024-04-11_14-02-21,39.96897530555725,100.0523509979248,43848,AT-MB-PC-E13,127.0.0.1,100.0523509979248,2,256,10,0.5,0.0001
0.52,0.47,0.61,0.53,0.56,0.7937824357958401,26.988602817058563,0.48,0.48,0.99,0.65,0.6,0.8723152160644532,4.361576080322266,1712836983,,False,3,7d71aa44,2024-04-11_14-03-03,42.04423952102661,142.09659051895142,43848,AT-MB-PC-E13,127.0.0.1,142.09659051895142,3,256,10,0.5,0.0001
0.5,0.45,0.53,0.49,0.53,0.7836305884753957,26.643440008163452,0.48,0.48,0.93,0.63,0.63,0.7750446796417236,3.875223398208618,1712837026,,False,4,7d71aa44,2024-04-11_14-03-46,42.944178104400635,185.04076862335205,43848,AT-MB-PC-E13,127.0.0.1,185.04076862335205,4,256,10,0.5,0.0001
0.55,0.49,0.55,0.52,0.57,0.7392834284726311,25.135636568069458,0.48,0.48,0.94,0.64,0.6,0.8450346112251281,4.225173056125641,1712837069,,False,5,7d71aa44,2024-04-11_14-04-29,43.06358861923218,228.10435724258423,43848,AT-MB-PC-E13,127.0.0.1,228.10435724258423,5,256,10,0.5,0.0001
0.56,0.5,0.57,0.53,0.58,0.744130048681708,25.30042165517807,0.5,0.49,1.0,0.65,0.6,0.7788965344429016,3.894482672214508,1712837111,,False,6,7d71aa44,2024-04-11_14-05-11,42.14668130874634,270.25103855133057,43848,AT-MB-PC-E13,127.0.0.1,270.25103855133057,6,256,10,0.5,0.0001
0.56,0.51,0.53,0.52,0.59,0.7095181205693413,24.123616099357605,0.5,0.49,0.94,0.64,0.61,0.9201712608337402,4.600856304168701,1712837143,,False,7,7d71aa44,2024-04-11_14-05-43,32.642985105514526,302.8940236568451,43848,AT-MB-PC-E13,127.0.0.1,302.8940236568451,7,256,10,0.5,0.0001
0.56,0.51,0.56,0.53,0.59,0.7109444597188164,24.17211163043976,0.5,0.49,0.94,0.64,0.62,0.7757762789726257,3.8788813948631287,1712837184,,False,8,7d71aa44,2024-04-11_14-06-24,41.01365566253662,343.9076793193817,43848,AT-MB-PC-E13,127.0.0.1,343.9076793193817,8,256,10,0.5,0.0001
0.58,0.53,0.54,0.54,0.61,0.700453956337536,23.815434515476227,0.48,0.48,0.83,0.61,0.62,0.7026415586471557,3.513207793235779,1712837227,,False,9,7d71aa44,2024-04-11_14-07-07,42.48746871948242,386.39514803886414,43848,AT-MB-PC-E13,127.0.0.1,386.39514803886414,9,256,10,0.5,0.0001
0.55,0.49,0.47,0.48,0.57,0.717424939660465,24.39244794845581,0.56,0.52,0.81,0.63,0.63,0.7013925909996033,3.5069629549980164,1712837269,,False,10,7d71aa44,2024-04-11_14-07-49,41.76612448692322,428.16127252578735,43848,AT-MB-PC-E13,127.0.0.1,428.16127252578735,10,256,10,0.5,0.0001
0.57,0.52,0.55,0.53,0.6,0.7095108593211454,24.123369216918945,0.51,0.49,0.76,0.6,0.56,0.8725313305854797,4.362656652927399,1712837310,,False,11,7d71aa44,2024-04-11_14-08-30,41.74307680130005,469.9043493270874,43848,AT-MB-PC-E13,127.0.0.1,469.9043493270874,11,256,10,0.5,0.0001
0.57,0.52,0.5,0.51,0.6,0.7119468801161822,24.206193923950195,0.58,0.53,0.88,0.66,0.67,0.6961293816566467,3.4806469082832336,1712837349,,False,12,7d71aa44,2024-04-11_14-09-09,38.16034746170044,508.06469678878784,43848,AT-MB-PC-E13,127.0.0.1,508.06469678878784,12,256,10,0.5,0.0001
0.58,0.54,0.49,0.51,0.61,0.7105098752414479,24.15733575820923,0.54,0.51,0.81,0.62,0.6,0.8467193841934204,4.233596920967102,1712837384,,False,13,7d71aa44,2024-04-11_14-09-44,35.495723485946655,543.5604202747345,43848,AT-MB-PC-E13,127.0.0.1,543.5604202747345,13,256,10,0.5,0.0001
0.61,0.56,0.56,0.56,0.64,0.6857002885902629,23.31380981206894,0.6,0.55,0.78,0.65,0.65,0.7134591341018677,3.5672956705093384,1712837424,,False,14,7d71aa44,2024-04-11_14-10-24,39.80647540092468,583.3668956756592,43848,AT-MB-PC-E13,127.0.0.1,583.3668956756592,14,256,10,0.5,0.0001
0.6,0.55,0.54,0.55,0.65,0.6659090203397414,22.64090669155121,0.64,0.59,0.75,0.66,0.69,0.669590163230896,3.34795081615448,1712837463,,True,15,7d71aa44,2024-04-11_14-11-03,38.6366982460022,622.0035939216614,43848,AT-MB-PC-E13,127.0.0.1,622.0035939216614,15,256,10,0.5,0.0001
