train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss
4.70092,-25.17639,0.31622,23.23475,4.82024,4.7009222131691235,7098.392541885376,4.63065,-23.8036,0.31816,22.71343,4.76586,0.60812,0.61608,0.62345,0.62888,0.63192,0.63841,0.64219,0.65329,0.65986,0.66445,0.67045,0.67604,0.68372,0.68715,0.69156,0.69376,0.6921,0.69332,0.70534,0.69946,4.6308141976226995,1500.3838000297546,4.68333,-25.80987,0.32003,23.15133,4.81158,0.61773,0.62316,0.62949,0.63464,0.64005,0.64907,0.65557,0.66248,0.66704,0.67477,0.6773,0.68143,0.68803,0.69375,0.69841,0.69707,0.70887,0.71688,0.71516,0.7237,4.68361403029642,1517.49094581604
0.62554,0.13533,0.65388,0.76746,0.87605,0.6255441792161259,944.5717106163502,0.47772,0.48878,0.78578,0.46814,0.68421,0.81126,0.82716,0.84188,0.85569,0.86777,0.88587,0.89762,0.90757,0.9167,0.9214,0.92639,0.93085,0.93611,0.94024,0.93973,0.94229,0.94513,0.94643,0.94839,0.94702,0.47795702673402835,154.85807666182518,0.46434,0.5009,0.78428,0.43099,0.6565,0.80521,0.82599,0.84473,0.85753,0.87075,0.88433,0.89461,0.9017,0.90699,0.91516,0.92402,0.93083,0.93484,0.93904,0.94255,0.9464,0.95948,0.96193,0.96801,0.97268,0.46433196318002395,150.44355607032776
0.51002,0.46957,0.74439,0.47088,0.68621,0.510019250776594,770.129068672657,0.53176,0.48063,0.79928,0.4756,0.68964,0.81286,0.8306,0.8464,0.86328,0.87773,0.88992,0.90479,0.91751,0.9255,0.9376,0.94584,0.94726,0.94912,0.9557,0.95864,0.95732,0.95652,0.9618,0.9628,0.96109,0.5316440341649232,172.25266706943512,0.53197,0.4695,0.79397,0.45811,0.67684,0.80874,0.82813,0.84556,0.85996,0.87217,0.8867,0.89738,0.90642,0.91362,0.92205,0.92818,0.93589,0.94114,0.94948,0.9577,0.95957,0.96367,0.96507,0.97096,0.97254,0.5319585716466845,172.35457721352577
0.48236,0.52415,0.76847,0.42244,0.64996,0.4823603481054306,728.3641256392002,0.45783,0.57134,0.81349,0.39253,0.62653,0.81441,0.83205,0.84612,0.86239,0.87805,0.8937,0.90284,0.9111,0.91867,0.92951,0.93627,0.9423,0.94879,0.95088,0.95425,0.95772,0.95676,0.95684,0.95579,0.95423,0.45770006875197095,148.29482227563858,0.45432,0.58047,0.80437,0.36228,0.6019,0.82284,0.84064,0.85669,0.87187,0.88363,0.90003,0.9111,0.92146,0.92969,0.93645,0.94409,0.95147,0.95203,0.95455,0.95683,0.95745,0.95937,0.95921,0.96181,0.96312,0.45426746025497533,147.182657122612
0.44785,0.58611,0.79525,0.36738,0.60612,0.4478541374601276,676.2597475647926,0.4206,0.6219,0.84832,0.34624,0.58842,0.8387,0.85862,0.87585,0.89116,0.90437,0.9218,0.93047,0.94029,0.94896,0.95416,0.95813,0.95752,0.9602,0.96415,0.96698,0.96955,0.97187,0.97336,0.97213,0.96838,0.4206954835925573,136.30533668398857,0.41192,0.64745,0.85031,0.30444,0.55176,0.8445,0.86741,0.88759,0.90351,0.91534,0.92904,0.94127,0.94646,0.95647,0.96316,0.9696,0.97078,0.97622,0.97986,0.98218,0.98251,0.98381,0.98564,0.98695,0.98621,0.4119361730085479,133.46732005476952
0.43042,0.61237,0.80939,0.34401,0.58653,0.4304213011699007,649.9361647665501,0.38409,0.6793,0.84992,0.29367,0.54192,0.83409,0.8559,0.87332,0.88867,0.90543,0.91773,0.92512,0.93266,0.93817,0.9446,0.95272,0.95835,0.96384,0.96472,0.97067,0.96945,0.96866,0.97237,0.97205,0.97038,0.3839159634102274,124.38877214491367,0.38238,0.68431,0.84363,0.27261,0.52212,0.84261,0.86042,0.87531,0.89155,0.90439,0.91579,0.93007,0.93606,0.94304,0.94807,0.95668,0.96008,0.96341,0.96688,0.97254,0.97459,0.98143,0.98314,0.98177,0.97922,0.38230686276047315,123.86742353439331
0.41909,0.6304,0.8177,0.32806,0.57276,0.4190884616793386,632.8235771358013,0.42113,0.59452,0.86336,0.37131,0.60935,0.85649,0.8737,0.89047,0.9079,0.92226,0.93467,0.94523,0.9532,0.956,0.95895,0.96062,0.96256,0.96247,0.96426,0.96488,0.96409,0.96488,0.965,0.9633,0.9685,0.4210478527770366,136.41950429975986,0.40836,0.62648,0.86534,0.32255,0.56793,0.85075,0.86786,0.88741,0.90332,0.91865,0.93106,0.94133,0.94859,0.95501,0.95802,0.96197,0.96484,0.9659,0.96841,0.9718,0.9751,0.97626,0.9769,0.97529,0.97333,0.40844680470081024,132.33676472306252
0.40912,0.64772,0.82652,0.31275,0.55924,0.40911805765913023,617.7682670652866,0.60439,0.37074,0.86903,0.57624,0.7591,0.85173,0.87124,0.8901,0.9036,0.91579,0.92711,0.93711,0.94306,0.95136,0.95768,0.96166,0.96638,0.97111,0.97319,0.97516,0.97563,0.97668,0.97641,0.974,0.97279,0.6042838323815369,195.78796169161797,0.5931,0.3894,0.86906,0.52727,0.72614,0.85626,0.87532,0.89395,0.90729,0.92037,0.93834,0.94638,0.95691,0.96649,0.97372,0.97436,0.97614,0.9773,0.97857,0.98316,0.98682,0.98682,0.98812,0.98885,0.98854,0.5931435213596733,192.17850092053413
0.39357,0.66901,0.83783,0.29384,0.54207,0.3935729153404962,594.2951021641493,0.43093,0.65167,0.86989,0.31898,0.56478,0.85937,0.87824,0.89793,0.90925,0.92302,0.9333,0.94484,0.95421,0.96302,0.96672,0.96933,0.97115,0.97479,0.97647,0.97765,0.97861,0.98106,0.9815,0.98,0.9794,0.4308748835766757,139.60346227884293,0.42729,0.65735,0.8692,0.29589,0.54396,0.85603,0.87635,0.89244,0.9082,0.91918,0.93181,0.94399,0.95091,0.95693,0.96261,0.966,0.96856,0.97217,0.97659,0.97947,0.97846,0.98037,0.97972,0.97917,0.98453,0.4272784243947194,138.43820950388908
0.38893,0.6767,0.8406,0.28703,0.53575,0.3889276043764803,587.2806826084852,0.51971,0.48046,0.87378,0.47576,0.68975,0.85757,0.87371,0.89621,0.91207,0.92612,0.93766,0.94774,0.95726,0.96091,0.96453,0.96745,0.97395,0.97614,0.97782,0.98034,0.98035,0.98138,0.98085,0.97933,0.97925,0.5195286511271088,168.32728296518326,0.5051,0.50466,0.87531,0.42775,0.65402,0.86288,0.8802,0.90036,0.91437,0.93107,0.94241,0.94953,0.95512,0.96084,0.96468,0.97067,0.97383,0.97543,0.98035,0.98153,0.98077,0.98145,0.98002,0.98164,0.98031,0.5050909308555686,163.6494615972042
