train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.5,0.84,0.63,0.5,0.8518829920750647,314.34482407569885,0.5,0.5,1.0,0.67,0.5,2.041166370709737,153.08747780323029,1712518230,,False,1,232566e9,2024-04-07_21-30-30,137.45723176002502,137.45723176002502,1863011,jyn,131.130.125.89,137.45723176002502,1,256,10,0.2,0.001
0.49,0.49,0.49,0.49,0.49,0.7336365095968169,270.71187204122543,0.5,0.5,0.91,0.65,0.5,0.767379907766978,57.553493082523346,1712518356,,False,2,232566e9,2024-04-07_21-32-36,125.75261092185974,263.20984268188477,1863011,jyn,131.130.125.89,263.20984268188477,2,256,10,0.2,0.001
0.49,0.49,0.5,0.5,0.49,0.7156718523521733,264.08291351795197,0.5,0.5,0.49,0.5,0.5,0.7183375263214111,53.875314474105835,1712518480,,False,3,232566e9,2024-04-07_21-34-40,123.37626338005066,386.5861060619354,1863011,jyn,131.130.125.89,386.5861060619354,3,256,10,0.2,0.001
0.5,0.5,0.54,0.52,0.5,0.7047687886853206,260.05968302488327,0.5,0.5,0.49,0.49,0.5,0.7295227114359538,54.71420335769653,1712518605,,False,4,232566e9,2024-04-07_21-36-45,125.39523935317993,511.98134541511536,1863011,jyn,131.130.125.89,511.98134541511536,4,256,10,0.2,0.001
0.49,0.49,0.51,0.5,0.49,0.7048305642960194,260.08247822523117,0.5,0.5,0.51,0.51,0.5,0.7028413017590841,52.713097631931305,1712518729,,False,5,232566e9,2024-04-07_21-38-49,123.52914357185364,635.510488986969,1863011,jyn,131.130.125.89,635.510488986969,5,256,10,0.2,0.001
0.5,0.5,0.67,0.57,0.5,0.7002772068589683,258.4022893309593,0.5,0.5,0.71,0.59,0.5,0.6981944433848063,52.364583253860474,1712518854,,False,6,232566e9,2024-04-07_21-40-54,125.79441499710083,761.3049039840698,1863011,jyn,131.130.125.89,761.3049039840698,6,256,10,0.2,0.001
0.5,0.5,0.8,0.62,0.5,0.6953806164788037,256.59544748067856,0.5,0.5,0.74,0.6,0.5,0.693850868542989,52.03881514072418,1712518979,,False,7,232566e9,2024-04-07_21-42-59,124.82889723777771,886.1338012218475,1863011,jyn,131.130.125.89,886.1338012218475,7,256,10,0.2,0.001
0.5,0.5,0.73,0.59,0.49,0.6948312750353722,256.39274048805237,0.5,0.5,0.78,0.61,0.5,0.6932684119542439,51.9951308965683,1712519094,,False,8,232566e9,2024-04-07_21-44-54,115.28805208206177,1001.4218533039093,1863011,jyn,131.130.125.89,1001.4218533039093,8,256,10,0.2,0.001
0.5,0.5,0.71,0.58,0.49,0.693902799915169,256.05013316869736,0.5,0.5,0.0,0.01,0.5,0.6931721750895182,51.98791313171387,1712519222,,False,9,232566e9,2024-04-07_21-47-02,127.13664937019348,1128.5585026741028,1863011,jyn,131.130.125.89,1128.5585026741028,9,256,10,0.2,0.001
0.5,0.49,0.33,0.4,0.49,0.6933642640346434,255.85141342878342,0.5,0.5,0.62,0.55,0.5,0.6931704703966777,51.987785279750824,1712519348,,True,10,232566e9,2024-04-07_21-49-08,126.23641610145569,1254.7949187755585,1863011,jyn,131.130.125.89,1254.7949187755585,10,256,10,0.2,0.001
