train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.5,0.19,0.27,0.5,0.8169314155410622,301.44769233465195,0.5,0.4,0.01,0.01,0.5,0.9796925218900044,73.47693914175034,1712519093,,False,1,2a2eb511,2024-04-07_21-44-53,99.31702613830566,99.31702613830566,1863270,jyn,131.130.125.89,99.31702613830566,1,128,5,0.2,0.0001
0.5,0.49,0.37,0.42,0.5,0.7528451866896818,277.7998738884926,0.5,0.49,0.07,0.12,0.5,0.7656784431139628,57.42588323354721,1712519183,,False,2,2a2eb511,2024-04-07_21-46-23,89.2611792087555,188.57820534706116,1863270,jyn,131.130.125.89,188.57820534706116,2,128,5,0.2,0.0001
0.49,0.49,0.47,0.48,0.49,0.7299655811573432,269.35729944705963,0.5,0.5,0.19,0.28,0.5,0.7353539252281189,55.15154439210892,1712519269,,False,3,2a2eb511,2024-04-07_21-47-49,85.90004062652588,274.47824597358704,1863270,jyn,131.130.125.89,274.47824597358704,3,128,5,0.2,0.0001
0.5,0.5,0.51,0.51,0.5,0.7155564934580629,264.04034608602524,0.5,0.5,0.45,0.47,0.5,0.7059239713350932,52.94429785013199,1712519353,,False,4,2a2eb511,2024-04-07_21-49-13,84.38123369216919,358.8594796657562,1863270,jyn,131.130.125.89,358.8594796657562,4,128,5,0.2,0.0001
0.49,0.49,0.51,0.5,0.49,0.7102181496335885,262.07049721479416,0.5,0.5,0.5,0.5,0.5,0.7252848354975382,54.39636266231537,1712519419,,False,5,2a2eb511,2024-04-07_21-50-19,65.59683275222778,424.456312417984,1863270,jyn,131.130.125.89,424.456312417984,5,128,5,0.2,0.0001
0.49,0.49,0.5,0.49,0.49,0.7068887488628791,260.8419483304024,0.5,0.5,0.49,0.5,0.5,0.7092472823460897,53.193546175956726,1712519493,,False,6,2a2eb511,2024-04-07_21-51-33,74.71557760238647,499.1718900203705,1863270,jyn,131.130.125.89,499.1718900203705,6,128,5,0.2,0.0001
0.5,0.5,0.54,0.52,0.5,0.7034908234265439,259.5881138443947,0.5,0.49,0.1,0.17,0.5,0.7175302441914876,53.81476831436157,1712519564,,False,7,2a2eb511,2024-04-07_21-52-44,70.94074153900146,570.112631559372,1863270,jyn,131.130.125.89,570.112631559372,7,128,5,0.2,0.0001
0.5,0.5,0.5,0.5,0.5,0.7023382083510319,259.16279888153076,0.5,0.5,0.91,0.65,0.5,0.7191558639208476,53.93668979406357,1712519629,,False,8,2a2eb511,2024-04-07_21-53-49,65.1854407787323,635.2980723381042,1863270,jyn,131.130.125.89,635.2980723381042,8,128,5,0.2,0.0001
0.49,0.49,0.54,0.52,0.49,0.7016925768154424,258.9245608448982,0.5,0.5,0.05,0.09,0.5,0.7142401607831319,53.568012058734894,1712519695,,False,9,2a2eb511,2024-04-07_21-54-55,65.23786091804504,700.5359332561493,1863270,jyn,131.130.125.89,700.5359332561493,9,128,5,0.2,0.0001
0.5,0.5,0.5,0.5,0.5,0.6986974981742177,257.8193768262863,0.5,0.5,0.42,0.46,0.5,0.7001231177647909,52.509233832359314,1712519779,,True,10,2a2eb511,2024-04-07_21-56-19,84.69134068489075,785.22727394104,1863270,jyn,131.130.125.89,785.22727394104,10,128,5,0.2,0.0001
