train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.5,0.16,0.25,0.5,0.9694327813823048,357.7206963300705,0.5,0.5,0.2,0.28,0.5,0.9465404192606608,70.99053144454956,1712519860,,False,1,4068b90a,2024-04-07_21-57-40,75.69220113754272,75.69220113754272,1863585,jyn,131.130.125.89,75.69220113754272,1,128,5,0.0,0.0001
0.49,0.49,0.45,0.47,0.48,0.7316291761915212,269.9711660146713,0.5,0.5,0.56,0.53,0.5,0.7088852763175965,53.16639572381973,1712519926,,False,2,4068b90a,2024-04-07_21-58-46,66.02052092552185,141.71272206306458,1863585,jyn,131.130.125.89,141.71272206306458,2,128,5,0.0,0.0001
0.49,0.49,0.5,0.5,0.49,0.7173760006744364,264.71174424886703,0.5,0.5,0.43,0.46,0.5,0.7048170264561971,52.86127698421478,1712519992,,False,3,4068b90a,2024-04-07_21-59-52,66.13485431671143,207.847576379776,1863585,jyn,131.130.125.89,207.847576379776,3,128,5,0.0,0.0001
0.49,0.49,0.52,0.5,0.49,0.7128038256148982,263.02461165189743,0.5,0.5,0.52,0.51,0.5,0.7227948443094889,54.20961332321167,1712520062,,False,4,4068b90a,2024-04-07_22-01-02,69.58512282371521,277.4326992034912,1863585,jyn,131.130.125.89,277.4326992034912,4,128,5,0.0,0.0001
0.49,0.49,0.53,0.51,0.49,0.7091157565595012,261.66371417045593,0.5,0.5,0.37,0.42,0.5,0.7042754069964091,52.82065552473068,1712520136,,False,5,4068b90a,2024-04-07_22-02-16,74.30715537071228,351.7398545742035,1863585,jyn,131.130.125.89,351.7398545742035,5,128,5,0.0,0.0001
0.49,0.49,0.5,0.49,0.49,0.7071349748427952,260.9328057169914,0.5,0.5,0.44,0.47,0.5,0.7026549291610718,52.69911968708038,1712520211,,False,6,4068b90a,2024-04-07_22-03-31,74.53403615951538,426.2738907337189,1863585,jyn,131.130.125.89,426.2738907337189,6,128,5,0.0,0.0001
0.49,0.49,0.52,0.5,0.49,0.7043410998372851,259.9018658399582,0.5,0.5,0.08,0.14,0.5,0.7199857441584269,53.99893081188202,1712520290,,False,7,4068b90a,2024-04-07_22-04-50,79.00549292564392,505.2793836593628,1863585,jyn,131.130.125.89,505.2793836593628,7,128,5,0.0,0.0001
0.49,0.49,0.49,0.49,0.48,0.7065508974599968,260.7172811627388,0.5,0.5,0.67,0.57,0.5,0.7032674845059713,52.745061337947845,1712520362,,False,8,4068b90a,2024-04-07_22-06-02,72.40327143669128,577.6826550960541,1863585,jyn,131.130.125.89,577.6826550960541,8,128,5,0.0,0.0001
0.49,0.49,0.55,0.52,0.49,0.7024619325712768,259.2084531188011,0.5,0.5,0.64,0.56,0.5,0.6949190799395243,52.118930995464325,1712520435,,False,9,4068b90a,2024-04-07_22-07-15,72.92410588264465,650.6067609786987,1863585,jyn,131.130.125.89,650.6067609786987,9,128,5,0.0,0.0001
0.5,0.5,0.52,0.51,0.5,0.7015604567398547,258.8758085370064,0.5,0.5,0.96,0.66,0.5,0.7025279037157695,52.68959277868271,1712520502,,True,10,4068b90a,2024-04-07_22-08-22,67.13527035713196,717.7420313358307,1863585,jyn,131.130.125.89,717.7420313358307,10,128,5,0.0,0.0001
