train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.5,0.19,0.27,0.5,0.816931415379532,301.4476922750473,0.5,0.4,0.01,0.01,0.5,0.979692481358846,73.47693610191345,1712519430,,False,1,7cf71cb5,2024-04-07_21-50-30,76.93891334533691,76.93891334533691,1863453,jyn,131.130.125.89,76.93891334533691,1,128,5,0.2,0.0001
0.5,0.49,0.37,0.42,0.5,0.7529765293204042,277.8483393192291,0.5,0.48,0.05,0.09,0.5,0.7718543664614359,57.8890774846077,1712519500,,False,2,7cf71cb5,2024-04-07_21-51-40,69.49228954315186,146.43120288848877,1863453,jyn,131.130.125.89,146.43120288848877,2,128,5,0.2,0.0001
0.49,0.49,0.47,0.48,0.49,0.7301552337682667,269.4272812604904,0.5,0.49,0.15,0.23,0.5,0.7380989734331767,55.35742300748825,1712519568,,False,3,7cf71cb5,2024-04-07_21-52-48,68.44029927253723,214.871502161026,1863453,jyn,131.130.125.89,214.871502161026,3,128,5,0.2,0.0001
0.5,0.5,0.51,0.51,0.5,0.7155899738231648,264.05270034074783,0.5,0.5,0.13,0.21,0.5,0.7213084014256795,54.098130106925964,1712519633,,False,4,7cf71cb5,2024-04-07_21-53-53,65.37522745132446,280.24672961235046,1863453,jyn,131.130.125.89,280.24672961235046,4,128,5,0.2,0.0001
0.49,0.49,0.51,0.5,0.49,0.7096909287822278,261.8759527206421,0.5,0.5,0.09,0.15,0.5,0.7639079451560974,57.293095886707306,1712519699,,False,5,7cf71cb5,2024-04-07_21-54-59,65.37851071357727,345.62524032592773,1863453,jyn,131.130.125.89,345.62524032592773,5,128,5,0.2,0.0001
0.49,0.49,0.51,0.5,0.49,0.706839979664097,260.8239524960518,0.5,0.5,0.32,0.39,0.5,0.7063533266385397,52.97649949789047,1712519774,,False,6,7cf71cb5,2024-04-07_21-56-14,74.74502325057983,420.37026357650757,1863453,jyn,131.130.125.89,420.37026357650757,6,128,5,0.2,0.0001
0.51,0.51,0.54,0.52,0.51,0.7015956876077626,258.8888087272644,0.5,0.5,0.23,0.31,0.5,0.7052792692184449,52.89594519138336,1712519838,,False,7,7cf71cb5,2024-04-07_21-57-18,64.8060393333435,485.1763029098511,1863453,jyn,131.130.125.89,485.1763029098511,7,128,5,0.2,0.0001
0.5,0.5,0.49,0.5,0.5,0.7019189294114668,259.00808495283127,0.5,0.5,0.75,0.6,0.5,0.7061488326390585,52.96116244792938,1712519904,,False,8,7cf71cb5,2024-04-07_21-58-24,65.95226788520813,551.1285707950592,1863453,jyn,131.130.125.89,551.1285707950592,8,128,5,0.2,0.0001
0.5,0.5,0.55,0.52,0.49,0.7020035523386182,259.03931081295013,0.5,0.5,0.59,0.54,0.5,0.7020571653048198,52.65428739786148,1712519971,,False,9,7cf71cb5,2024-04-07_21-59-31,66.15968179702759,617.2882525920868,1863453,jyn,131.130.125.89,617.2882525920868,9,128,5,0.2,0.0001
0.49,0.49,0.49,0.49,0.49,0.7029693391587999,259.39568614959717,0.5,0.5,0.46,0.48,0.5,0.6962963589032491,52.22222691774368,1712520038,,True,10,7cf71cb5,2024-04-07_22-00-38,67.49681949615479,684.7850720882416,1863453,jyn,131.130.125.89,684.7850720882416,10,128,5,0.2,0.0001
