train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.48,0.09,0.15,0.5,0.9103526571578773,335.9201304912567,0.5,0.49,0.08,0.14,0.5,0.9111468680699666,68.3360151052475,1712463197,,False,1,3cafb4a5,2024-04-07_06-13-17,1575.614651441574,1575.614651441574,1701417,jyn,131.130.125.89,1575.614651441574,1,64,10,0.0,0.001
0.64,0.64,0.64,0.64,0.73,0.5833312589826622,215.24923456460238,0.94,0.93,0.94,0.94,0.98,0.17723164349794387,13.29237326234579,1712464717,,False,2,3cafb4a5,2024-04-07_06-38-37,1520.0745329856873,3095.6891844272614,1701417,jyn,131.130.125.89,3095.6891844272614,2,64,10,0.0,0.001
0.96,0.95,0.96,0.96,0.99,0.1365478111501672,50.3861423144117,0.97,0.96,0.97,0.97,0.99,0.09936174303293228,7.452130727469921,1712466281,,False,3,3cafb4a5,2024-04-07_07-04-41,1564.0900900363922,4659.779274463654,1701417,jyn,131.130.125.89,4659.779274463654,3,64,10,0.0,0.001
0.97,0.97,0.98,0.97,1.0,0.07497069507560927,27.664186482899822,0.96,0.98,0.95,0.96,1.0,0.10281242728466168,7.710932046349626,1712467828,,False,4,3cafb4a5,2024-04-07_07-30-28,1546.3809299468994,6206.160204410553,1701417,jyn,131.130.125.89,6206.160204410553,4,64,10,0.0,0.001
0.98,0.98,0.98,0.98,1.0,0.06912324198455105,25.50647629229934,0.97,0.96,0.97,0.97,1.0,0.07249635080341249,5.437226310255937,1712469376,,False,5,3cafb4a5,2024-04-07_07-56-16,1548.092656135559,7754.252860546112,1701417,jyn,131.130.125.89,7754.252860546112,5,64,10,0.0,0.001
0.98,0.98,0.97,0.98,1.0,0.061228344876787355,22.593259259534534,0.97,0.97,0.97,0.97,0.99,0.09550352676790984,7.162764507593238,1712470936,,False,6,3cafb4a5,2024-04-07_08-22-16,1560.2790846824646,9314.531945228577,1701417,jyn,131.130.125.89,9314.531945228577,6,64,10,0.0,0.001
0.98,0.98,0.98,0.98,1.0,0.057043093488536534,21.04890149726998,0.96,0.96,0.97,0.96,0.99,0.08811720407587322,6.608790305690491,1712472479,,False,7,3cafb4a5,2024-04-07_08-47-59,1543.1112177371979,10857.643162965775,1701417,jyn,131.130.125.89,10857.643162965775,7,64,10,0.0,0.001
0.98,0.98,0.97,0.98,1.0,0.06200169510132984,22.87862549239071,0.98,0.98,0.97,0.98,1.0,0.13508862182497977,10.131646636873484,1712474025,,False,8,3cafb4a5,2024-04-07_09-13-45,1545.620825767517,12403.263988733292,1701417,jyn,131.130.125.89,12403.263988733292,8,64,10,0.0,0.001
0.97,0.97,0.98,0.97,1.0,0.06859387329783194,25.311139246899984,0.97,0.95,0.99,0.97,0.99,0.12277743392779182,9.208307544584386,1712475586,,False,9,3cafb4a5,2024-04-07_09-39-46,1561.6072614192963,13964.871250152588,1701417,jyn,131.130.125.89,13964.871250152588,9,64,10,0.0,0.001
0.97,0.97,0.97,0.97,1.0,0.07116677586038453,26.260540292481892,0.98,0.98,0.97,0.98,0.99,0.11081305341872696,8.310979006404523,1712477285,,True,10,3cafb4a5,2024-04-07_10-08-05,1698.4887640476227,15663.36001420021,1701417,jyn,131.130.125.89,15663.36001420021,10,64,10,0.0,0.001
