train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.50519,0.5,0.80769,0.61765,0.51953,0.9595367375173067,18.231198012828827,0.5,0.5,1.0,0.66667,0.50077,1.252400517463684,3.7572015523910522,1714077824,,False,1,1a04373a,2024-04-25_22-43-44,9.711907148361206,9.711907148361206,10936,AT-MB-PC-E13,127.0.0.1,9.711907148361206,1,64,3,0.0,0.001
0.46713,0.45985,0.44056,0.45,0.44159,0.8672589847916051,16.477920711040497,0.5,0.5,0.5,0.5,0.50026,0.7335495948791504,2.200648784637451,1714077834,,False,2,1a04373a,2024-04-25_22-43-54,9.906857967376709,19.618765115737915,10936,AT-MB-PC-E13,127.0.0.1,19.618765115737915,2,64,3,0.0,0.001
0.48443,0.48,0.5035,0.49147,0.47787,0.781717814897236,14.852638483047485,0.5,0.5,0.63636,0.56,0.50129,0.7754368980725607,2.326310694217682,1714077844,,False,3,1a04373a,2024-04-25_22-44-04,10.065644025802612,29.684409141540527,10936,AT-MB-PC-E13,127.0.0.1,29.684409141540527,3,64,3,0.0,0.001
0.46886,0.46097,0.43357,0.44685,0.45987,0.7805522115607011,14.83049201965332,0.5,0.5,0.68182,0.57692,0.50052,0.9497626622517904,2.849287986755371,1714077854,,False,4,1a04373a,2024-04-25_22-44-14,9.424057960510254,39.10846710205078,10936,AT-MB-PC-E13,127.0.0.1,39.10846710205078,4,64,3,0.0,0.001
0.47059,0.46429,0.45455,0.45936,0.47281,0.8356437745847201,15.87723171710968,0.5,0.5,0.27273,0.35294,0.49897,0.8911374608675638,2.6734123826026917,1714077864,,False,5,1a04373a,2024-04-25_22-44-24,9.954944133758545,49.063411235809326,10936,AT-MB-PC-E13,127.0.0.1,49.063411235809326,5,64,3,0.0,0.001
0.48616,0.47893,0.43706,0.45704,0.49155,0.7884040569004259,14.979677081108093,0.5,0.5,0.45455,0.47619,0.50052,1.2505302429199219,3.7515907287597656,1714077874,,False,6,1a04373a,2024-04-25_22-44-34,10.02436876296997,59.0877799987793,10936,AT-MB-PC-E13,127.0.0.1,59.0877799987793,6,64,3,0.0,0.001
0.4827,0.47451,0.42308,0.44732,0.46814,0.8115234437741732,15.41894543170929,0.5,0.5,0.59091,0.54167,0.50052,0.9044654766718546,2.713396430015564,1714077883,,False,7,1a04373a,2024-04-25_22-44-43,9.332844018936157,68.42062401771545,10936,AT-MB-PC-E13,127.0.0.1,68.42062401771545,7,64,3,0.0,0.001
0.49308,0.48772,0.48601,0.48687,0.46771,0.8205474332759255,15.590401232242584,0.5,0.5,0.04545,0.08333,0.49923,0.8197729190190634,2.45931875705719,1714077893,,False,8,1a04373a,2024-04-25_22-44-53,10.00265645980835,78.4232804775238,10936,AT-MB-PC-E13,127.0.0.1,78.4232804775238,8,64,3,0.0,0.001
0.49308,0.48325,0.35315,0.40808,0.47267,0.7537943312996312,14.322092294692993,0.5,0.5,0.77273,0.60714,0.50052,0.7357895970344543,2.207368791103363,1714077903,,False,9,1a04373a,2024-04-25_22-45-03,10.152594327926636,88.57587480545044,10936,AT-MB-PC-E13,127.0.0.1,88.57587480545044,9,64,3,0.0,0.001
0.47751,0.47452,0.52098,0.49667,0.47228,0.7747484602426228,14.720220744609833,0.5,0.5,0.5,0.5,0.5,0.7512740890185038,2.2538222670555115,1714077912,,False,10,1a04373a,2024-04-25_22-45-12,9.292441606521606,97.86831641197205,10936,AT-MB-PC-E13,127.0.0.1,97.86831641197205,10,64,3,0.0,0.001
0.47924,0.47148,0.43357,0.45173,0.48725,0.7518603738985563,14.28534710407257,0.5,0.5,0.27273,0.35294,0.49974,0.7568842768669128,2.2706528306007385,1714077923,,False,11,1a04373a,2024-04-25_22-45-23,10.1961190700531,108.06443548202515,10936,AT-MB-PC-E13,127.0.0.1,108.06443548202515,11,64,3,0.0,0.001
0.49481,0.4875,0.40909,0.44487,0.48977,0.7297273372348986,13.864819407463074,0.5,0.5,0.45455,0.47619,0.5,0.9645271698633829,2.893581509590149,1714077933,,False,12,1a04373a,2024-04-25_22-45-33,10.01725459098816,118.0816900730133,10936,AT-MB-PC-E13,127.0.0.1,118.0816900730133,12,64,3,0.0,0.001
0.49308,0.4893,0.55944,0.52202,0.50447,0.7300554576673006,13.871053695678711,0.5,0.5,0.95455,0.65625,0.50207,0.7664145429929098,2.2992436289787292,1714077942,,False,13,1a04373a,2024-04-25_22-45-42,9.375937461853027,127.45762753486633,10936,AT-MB-PC-E13,127.0.0.1,127.45762753486633,13,64,3,0.0,0.001
0.48443,0.47744,0.44406,0.46014,0.46733,0.718777452644549,13.65677160024643,0.5,0.5,0.81818,0.62069,0.50052,0.7724076708157858,2.317223012447357,1714077952,,False,14,1a04373a,2024-04-25_22-45-52,10.045111179351807,137.50273871421814,10936,AT-MB-PC-E13,127.0.0.1,137.50273871421814,14,64,3,0.0,0.001
