train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.49827,0.49471,0.65385,0.56325,0.52877,0.7967076144720379,15.13744467496872,0.5,0.0,0.0,0.0,0.49432,1.0451565384864807,3.135469615459442,1714046524,,False,1,23364922,2024-04-25_14-02-04,29.83490228652954,29.83490228652954,21780,AT-MB-PC-E13,127.0.0.1,29.83490228652954,1,256,6,0.2,1e-05
0.51384,0.50646,0.68531,0.58247,0.51217,0.8287798134904159,15.746816456317902,0.47727,0.44444,0.18182,0.25806,0.48347,0.7678326567014059,2.3034979701042175,1714046554,,False,2,23364922,2024-04-25_14-02-34,29.736506700515747,59.57140898704529,21780,AT-MB-PC-E13,127.0.0.1,59.57140898704529,2,256,6,0.2,1e-05
0.49654,0.49344,0.65734,0.56372,0.49607,0.7950612792843267,15.106164306402206,0.45455,0.45833,0.5,0.47826,0.49019,0.8026813666025797,2.4080440998077393,1714046583,,False,3,23364922,2024-04-25_14-03-03,29.40223240852356,88.97364139556885,21780,AT-MB-PC-E13,127.0.0.1,88.97364139556885,3,256,6,0.2,1e-05
0.51038,0.50388,0.68182,0.57949,0.50195,0.7874645904490822,14.961827218532562,0.52273,0.52381,0.5,0.51163,0.49948,0.7737642327944437,2.3212926983833313,1714046613,,False,4,23364922,2024-04-25_14-03-33,29.778954029083252,118.7525954246521,21780,AT-MB-PC-E13,127.0.0.1,118.7525954246521,4,256,6,0.2,1e-05
0.46194,0.46537,0.58741,0.51932,0.47423,0.7778412323249014,14.778983414173126,0.53409,0.54545,0.40909,0.46753,0.51446,0.7384718457857767,2.2154155373573303,1714046643,,False,5,23364922,2024-04-25_14-04-03,29.630698680877686,148.38329410552979,21780,AT-MB-PC-E13,127.0.0.1,148.38329410552979,5,256,6,0.2,1e-05
0.49827,0.49422,0.5979,0.54114,0.49849,0.7525380598871332,14.29822313785553,0.53409,0.55556,0.34091,0.42254,0.48192,0.7848196029663086,2.354458808898926,1714046673,,False,6,23364922,2024-04-25_14-04-33,29.938899278640747,178.32219338417053,21780,AT-MB-PC-E13,127.0.0.1,178.32219338417053,6,256,6,0.2,1e-05
0.53114,0.52443,0.56294,0.543,0.53446,0.7215904405242518,13.710218369960785,0.52273,0.53333,0.36364,0.43243,0.50258,0.7310356497764587,2.193106949329376,1714046705,,False,7,23364922,2024-04-25_14-05-05,32.54478740692139,210.86698079109192,21780,AT-MB-PC-E13,127.0.0.1,210.86698079109192,7,256,6,0.2,1e-05
0.50519,0.5,0.52797,0.51361,0.49298,0.7308244924796256,13.885665357112885,0.52273,0.53125,0.38636,0.44737,0.55114,0.7178044319152832,2.1534132957458496,1714046737,,False,8,23364922,2024-04-25_14-05-37,31.801881074905396,242.66886186599731,21780,AT-MB-PC-E13,127.0.0.1,242.66886186599731,8,256,6,0.2,1e-05
0.50692,0.50186,0.47203,0.48649,0.49926,0.7170039509472094,13.623075067996979,0.5,0.5,0.40909,0.45,0.47469,0.7905269265174866,2.3715807795524597,1714046769,,False,9,23364922,2024-04-25_14-06-09,32.441569089889526,275.11043095588684,21780,AT-MB-PC-E13,127.0.0.1,275.11043095588684,9,256,6,0.2,1e-05
0.48962,0.48375,0.46853,0.47602,0.49831,0.7392561623924657,14.045867085456848,0.48864,0.48571,0.38636,0.43038,0.52893,0.7602190176645914,2.2806570529937744,1714046801,,False,10,23364922,2024-04-25_14-06-41,31.81912088394165,306.9295518398285,21780,AT-MB-PC-E13,127.0.0.1,306.9295518398285,10,256,6,0.2,1e-05
0.48962,0.48421,0.48252,0.48336,0.493,0.7474996071112784,14.202492535114288,0.51136,0.51351,0.43182,0.46914,0.47676,0.7494854728380839,2.2484564185142517,1714046833,,False,11,23364922,2024-04-25_14-07-13,31.810365676879883,338.7399175167084,21780,AT-MB-PC-E13,127.0.0.1,338.7399175167084,11,256,6,0.2,1e-05
0.51903,0.51342,0.53497,0.52397,0.51511,0.7190104691605819,13.661198914051056,0.47727,0.46154,0.27273,0.34286,0.43079,0.7727318604787191,2.3181955814361572,1714046865,,False,12,23364922,2024-04-25_14-07-45,32.45305919647217,371.19297671318054,21780,AT-MB-PC-E13,127.0.0.1,371.19297671318054,12,256,6,0.2,1e-05
0.50346,0.49819,0.48252,0.49023,0.48562,0.7209568180535969,13.698179543018341,0.52273,0.53846,0.31818,0.4,0.54855,0.7101851105690002,2.1305553317070007,1714046897,,False,13,23364922,2024-04-25_14-08-17,31.825550317764282,403.0185270309448,21780,AT-MB-PC-E13,127.0.0.1,403.0185270309448,13,256,6,0.2,1e-05
0.48443,0.48,0.5035,0.49147,0.49157,0.7326085065540514,13.919561624526978,0.5,0.5,0.31818,0.38889,0.49225,0.7359803915023804,2.207941174507141,1714046929,,False,14,23364922,2024-04-25_14-08-49,31.698657989501953,434.7171850204468,21780,AT-MB-PC-E13,127.0.0.1,434.7171850204468,14,256,6,0.2,1e-05
0.50346,0.49823,0.49301,0.49561,0.51778,0.7158718862031636,13.601565837860107,0.46591,0.45161,0.31818,0.37333,0.42407,0.7755730350812277,2.326719105243683,1714046960,,True,15,23364922,2024-04-25_14-09-20,31.281559228897095,465.9987442493439,21780,AT-MB-PC-E13,127.0.0.1,465.9987442493439,15,256,6,0.2,1e-05
