train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.53114,0.51899,0.71678,0.60206,0.52163,0.8382498778794941,15.926747679710388,0.5,0.0,0.0,0.0,0.49923,0.8993782003720602,2.6981346011161804,1714938191,,False,1,60daf3e8,2024-05-05_21-43-11,39.95756530761719,39.95756530761719,33896,AT-MB-PC-E13,127.0.0.1,39.95756530761719,1,32,6,0.2,0.001
0.47059,0.45968,0.3986,0.42697,0.47944,0.7681139927161368,14.594165861606598,0.5,0.5,0.31818,0.38889,0.49923,0.7426659067471822,2.2279977202415466,1714938231,,False,2,60daf3e8,2024-05-05_21-43-51,39.98413443565369,79.94169974327087,33896,AT-MB-PC-E13,127.0.0.1,79.94169974327087,2,32,6,0.2,0.001
0.46367,0.45745,0.45105,0.45423,0.44534,0.7362613803461978,13.988966226577759,0.5,0.5,0.90909,0.64516,0.50103,0.8415132761001587,2.524539828300476,1714938270,,False,3,60daf3e8,2024-05-05_21-44-30,39.12496256828308,119.06666231155396,33896,AT-MB-PC-E13,127.0.0.1,119.06666231155396,3,32,6,0.2,0.001
0.47924,0.47059,0.41958,0.44362,0.48263,0.7799016174517179,14.818130731582642,0.5,0.5,0.72727,0.59259,0.49897,0.7542939384778341,2.262881815433502,1714938310,,False,4,60daf3e8,2024-05-05_21-45-10,40.05213785171509,159.11880016326904,33896,AT-MB-PC-E13,127.0.0.1,159.11880016326904,4,32,6,0.2,0.001
0.47578,0.47619,0.59441,0.52877,0.45429,0.7911481418107685,15.031814694404602,0.5,0.5,0.13636,0.21429,0.50103,0.7690392931302389,2.3071178793907166,1714938350,,False,5,60daf3e8,2024-05-05_21-45-50,39.468993186950684,198.58779335021973,33896,AT-MB-PC-E13,127.0.0.1,198.58779335021973,5,32,6,0.2,0.001
0.48789,0.48016,0.42308,0.44981,0.4672,0.7712583385015789,14.653908431529999,0.5,0.5,0.5,0.5,0.50026,0.8289170861244202,2.4867512583732605,1714938389,,False,6,60daf3e8,2024-05-05_21-46-29,39.24260759353638,237.8304009437561,33896,AT-MB-PC-E13,127.0.0.1,237.8304009437561,6,32,6,0.2,0.001
0.44464,0.44337,0.47902,0.4605,0.43171,0.8269436610372443,15.711929559707642,0.5,0.5,0.90909,0.64516,0.5,0.8559421300888062,2.5678263902664185,1714938429,,False,7,60daf3e8,2024-05-05_21-47-09,39.951821088790894,277.782222032547,33896,AT-MB-PC-E13,127.0.0.1,277.782222032547,7,32,6,0.2,0.001
0.48097,0.47464,0.45804,0.46619,0.47871,0.7495298918924833,14.241067945957184,0.5,0.5,0.54545,0.52174,0.50155,0.8170570135116577,2.451171040534973,1714938468,,False,8,60daf3e8,2024-05-05_21-47-48,39.25496196746826,317.03718400001526,33896,AT-MB-PC-E13,127.0.0.1,317.03718400001526,8,32,6,0.2,0.001
0.5,0.49485,0.5035,0.49913,0.50589,0.7337949338712191,13.942103743553162,0.5,0.0,0.0,0.0,0.50103,1.079774558544159,3.239323675632477,1714938508,,False,9,60daf3e8,2024-05-05_21-48-28,40.037341594696045,357.0745255947113,33896,AT-MB-PC-E13,127.0.0.1,357.0745255947113,9,32,6,0.2,0.001
0.4827,0.47751,0.48252,0.48,0.49068,0.7131732388546592,13.550291538238525,0.5,0.0,0.0,0.0,0.49664,1.7655027707417805,5.296508312225342,1714938548,,False,10,60daf3e8,2024-05-05_21-49-08,39.35663938522339,396.4311649799347,33896,AT-MB-PC-E13,127.0.0.1,396.4311649799347,10,32,6,0.2,0.001
0.48443,0.47368,0.37762,0.42023,0.48266,0.7283653146342227,13.838940978050232,0.5,0.5,0.95455,0.65625,0.49948,0.8163902759552002,2.4491708278656006,1714938587,,False,11,60daf3e8,2024-05-05_21-49-47,39.22137975692749,435.6525447368622,33896,AT-MB-PC-E13,127.0.0.1,435.6525447368622,11,32,6,0.2,0.001
0.48097,0.46847,0.36364,0.40945,0.46802,0.7134035449278983,13.554667353630066,0.5,0.5,0.18182,0.26667,0.49974,0.7051935394605001,2.1155806183815002,1714938627,,False,12,60daf3e8,2024-05-05_21-50-27,40.12261748313904,475.7751622200012,33896,AT-MB-PC-E13,127.0.0.1,475.7751622200012,12,32,6,0.2,0.001
0.50692,0.50192,0.45804,0.47898,0.4931,0.7102798505833274,13.495317161083221,0.5,0.5,0.81818,0.62069,0.49716,0.7072402437527975,2.1217207312583923,1714938667,,False,13,60daf3e8,2024-05-05_21-51-07,39.38928031921387,515.1644425392151,33896,AT-MB-PC-E13,127.0.0.1,515.1644425392151,13,32,6,0.2,0.001
0.50519,0.5,0.45455,0.47619,0.51197,0.6978020448433725,13.258238852024078,0.5,0.5,0.04545,0.08333,0.4969,0.7668575644493103,2.300572693347931,1714938706,,False,14,60daf3e8,2024-05-05_21-51-46,39.89625382423401,555.0606963634491,33896,AT-MB-PC-E13,127.0.0.1,555.0606963634491,14,32,6,0.2,0.001
0.45502,0.44177,0.38462,0.41121,0.43816,0.705831621822558,13.410800814628601,0.48864,0.49383,0.90909,0.64,0.49354,0.7595364252726237,2.278609275817871,1714938746,,True,15,60daf3e8,2024-05-05_21-52-26,39.41917896270752,594.4798753261566,33896,AT-MB-PC-E13,127.0.0.1,594.4798753261566,15,32,6,0.2,0.001
