train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.4827,0.48434,0.7028,0.57347,0.49343,0.8951599723414371,17.008039474487305,0.5,0.0,0.0,0.0,0.50465,1.0103006760279338,3.0309020280838013,1714938011,,False,1,9923300c,2024-05-05_21-40-11,40.57361078262329,40.57361078262329,39372,AT-MB-PC-E13,127.0.0.1,40.57361078262329,1,256,6,0.0,0.0001
0.47924,0.48021,0.63636,0.54737,0.49189,0.7846192529326991,14.907765805721283,0.5,0.5,0.09091,0.15385,0.50413,0.883972684542338,2.651918053627014,1714938051,,False,2,9923300c,2024-05-05_21-40-51,39.937968492507935,80.51157927513123,39372,AT-MB-PC-E13,127.0.0.1,80.51157927513123,2,256,6,0.0,0.0001
0.48962,0.48,0.37762,0.4227,0.47972,0.7582296321266576,14.406363010406494,0.5,0.5,0.36364,0.42105,0.49561,0.7240075667699178,2.1720227003097534,1714938089,,False,3,9923300c,2024-05-05_21-41-29,38.529879093170166,119.04145836830139,39372,AT-MB-PC-E13,127.0.0.1,119.04145836830139,3,256,6,0.0,0.0001
0.4654,0.46647,0.55944,0.50874,0.48934,0.7284897252133018,13.841304779052734,0.5,0.5,0.13636,0.21429,0.50258,0.7932579318682352,2.379773795604706,1714938127,,False,4,9923300c,2024-05-05_21-42-07,37.48003625869751,156.5214946269989,39372,AT-MB-PC-E13,127.0.0.1,156.5214946269989,4,256,6,0.0,0.0001
0.5,0.49518,0.53846,0.51591,0.48698,0.7334939210038436,13.936384499073029,0.5,0.5,0.54545,0.52174,0.49793,0.7458320458730062,2.2374961376190186,1714938166,,False,5,9923300c,2024-05-05_21-42-46,38.90985989570618,195.43135452270508,39372,AT-MB-PC-E13,127.0.0.1,195.43135452270508,5,256,6,0.0,0.0001
0.45502,0.44727,0.43007,0.4385,0.43707,0.7358178966923764,13.980540037155151,0.5,0.5,0.22727,0.3125,0.49793,0.7672517697016398,2.3017553091049194,1714938205,,False,6,9923300c,2024-05-05_21-43-25,39.30280518531799,234.73415970802307,39372,AT-MB-PC-E13,127.0.0.1,234.73415970802307,6,256,6,0.0,0.0001
0.49308,0.48829,0.51049,0.49915,0.47739,0.7386695491640192,14.034721434116364,0.5,0.5,0.27273,0.35294,0.49793,0.7488761146863302,2.2466283440589905,1714938245,,False,7,9923300c,2024-05-05_21-44-05,40.108877658843994,274.84303736686707,39372,AT-MB-PC-E13,127.0.0.1,274.84303736686707,7,256,6,0.0,0.0001
0.44291,0.4313,0.3951,0.41241,0.43289,0.7540570968075803,14.327084839344025,0.5,0.5,0.13636,0.21429,0.49716,0.9630281329154968,2.8890843987464905,1714938284,,False,8,9923300c,2024-05-05_21-44-44,39.045905351638794,313.88894271850586,39372,AT-MB-PC-E13,127.0.0.1,313.88894271850586,8,256,6,0.0,0.0001
0.49308,0.48763,0.48252,0.48506,0.47648,0.7535075262973183,14.316642999649048,0.5,0.5,0.40909,0.45,0.50517,0.7543519139289856,2.263055741786957,1714938323,,False,9,9923300c,2024-05-05_21-45-23,39.34765291213989,353.23659563064575,39372,AT-MB-PC-E13,127.0.0.1,353.23659563064575,9,256,6,0.0,0.0001
0.46367,0.45122,0.38811,0.41729,0.4484,0.7459846233066759,14.173707842826843,0.5,0.5,0.59091,0.54167,0.50387,0.718214730421702,2.154644191265106,1714938363,,False,10,9923300c,2024-05-05_21-46-03,39.91111421585083,393.1477098464966,39372,AT-MB-PC-E13,127.0.0.1,393.1477098464966,10,256,6,0.0,0.0001
0.45848,0.45545,0.48252,0.46859,0.45068,0.7457363291790611,14.16899025440216,0.5,0.5,0.77273,0.60714,0.50336,0.8590071598688761,2.5770214796066284,1714938402,,False,11,9923300c,2024-05-05_21-46-42,39.22537684440613,432.3730866909027,39372,AT-MB-PC-E13,127.0.0.1,432.3730866909027,11,256,6,0.0,0.0001
0.47059,0.46644,0.48601,0.47603,0.45593,0.7417327479312295,14.09292221069336,0.5,0.5,0.13636,0.21429,0.50103,0.7280978957811991,2.1842936873435974,1714938443,,False,12,9923300c,2024-05-05_21-47-23,40.13896203041077,472.5120487213135,39372,AT-MB-PC-E13,127.0.0.1,472.5120487213135,12,256,6,0.0,0.0001
0.48097,0.47712,0.51049,0.49324,0.46462,0.755048184018386,14.345915496349335,0.5,0.5,0.27273,0.35294,0.49948,0.7424596746762594,2.227379024028778,1714938482,,False,13,9923300c,2024-05-05_21-48-02,39.20871639251709,511.72076511383057,39372,AT-MB-PC-E13,127.0.0.1,511.72076511383057,13,256,6,0.0,0.0001
0.47924,0.46888,0.3951,0.42884,0.48,0.7432893734229239,14.122498095035553,0.5,0.5,1.0,0.66667,0.5,0.8286531964937845,2.4859595894813538,1714938521,,False,14,9923300c,2024-05-05_21-48-41,39.59313726425171,551.3139023780823,39372,AT-MB-PC-E13,127.0.0.1,551.3139023780823,14,256,6,0.0,0.0001
0.49827,0.49324,0.51049,0.50172,0.49486,0.7108459002093265,13.506072103977203,0.5,0.5,0.13636,0.21429,0.50413,0.7921457091967264,2.3764371275901794,1714938561,,False,15,9923300c,2024-05-05_21-49-21,40.04063296318054,591.3545353412628,39372,AT-MB-PC-E13,127.0.0.1,591.3545353412628,15,256,6,0.0,0.0001
0.49827,0.49167,0.41259,0.44867,0.49649,0.7222028311930204,13.721853792667389,0.5,0.5,0.54545,0.52174,0.5062,0.7451043725013733,2.23531311750412,1714938601,,False,16,9923300c,2024-05-05_21-50-01,39.214484453201294,630.5690197944641,39372,AT-MB-PC-E13,127.0.0.1,630.5690197944641,16,256,6,0.0,0.0001
0.49308,0.48797,0.4965,0.4922,0.47352,0.7307101895934657,13.883493602275848,0.5,0.5,0.68182,0.57692,0.50103,0.7223867972691854,2.167160391807556,1714938640,,False,17,9923300c,2024-05-05_21-50-40,39.719850301742554,670.2888700962067,39372,AT-MB-PC-E13,127.0.0.1,670.2888700962067,17,256,6,0.0,0.0001
