train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
0.5,0.5,0.99379,0.66528,0.49819,0.6950459396227812,216.85433316230774,0.5,0.5,0.992,0.66488,0.49821,0.6950422376870348,217.54822039604187,1715717293,,False,1,1f1d9006,2024-05-14_22-08-13,43.065850496292114,43.065850496292114,33880,AT-MB-PC-E13,127.0.0.1,43.065850496292114,1,256,6,0.001
0.88401,0.92225,0.83874,0.87851,0.96854,0.28774453618960905,89.77629529115802,1.0,1.0,1.0,1.0,1.0,0.0001928692220473296,0.060368066500814166,1715717322,,False,2,1f1d9006,2024-05-14_22-08-42,29.559162139892578,72.62501263618469,33880,AT-MB-PC-E13,127.0.0.1,72.62501263618469,2,256,6,0.001
1.0,1.0,1.0,1.0,1.0,0.00013917608558973628,0.043422938703997715,1.0,1.0,1.0,1.0,1.0,7.93654216737579e-06,0.002484137698388622,1715717357,,False,3,1f1d9006,2024-05-14_22-09-17,35.12804579734802,107.75305843353271,33880,AT-MB-PC-E13,127.0.0.1,107.75305843353271,3,256,6,0.001
1.0,1.0,1.0,1.0,1.0,3.956032833011354e-06,0.0012342822438995427,1.0,1.0,1.0,1.0,1.0,1.7319152208276177e-06,0.0005420894641190444,1715717401,,False,4,1f1d9006,2024-05-14_22-10-01,44.20357847213745,151.95663690567017,33880,AT-MB-PC-E13,127.0.0.1,151.95663690567017,4,256,6,0.001
1.0,1.0,1.0,1.0,1.0,5.483906892179446e-07,0.0001710978950359987,1.0,1.0,1.0,1.0,1.0,1.263731151999096e-07,3.9554785057571706e-05,1715717435,,False,5,1f1d9006,2024-05-14_22-10-35,34.020790338516235,185.9774272441864,33880,AT-MB-PC-E13,127.0.0.1,185.9774272441864,5,256,6,0.001
1.0,1.0,1.0,1.0,1.0,5.408174352687752e-08,1.6873503980385784e-05,1.0,1.0,1.0,1.0,1.0,3.695525560113046e-08,1.1566995003153835e-05,1715717469,,False,6,1f1d9006,2024-05-14_22-11-09,33.86153817176819,219.8389654159546,33880,AT-MB-PC-E13,127.0.0.1,219.8389654159546,6,256,6,0.001
1.0,1.0,1.0,1.0,1.0,2.2196434784911745e-08,6.9252876528924645e-06,1.0,1.0,1.0,1.0,1.0,6.431727525861383e-08,2.0131307155946132e-05,1715717512,,False,7,1f1d9006,2024-05-14_22-11-52,42.37348747253418,262.21245288848877,33880,AT-MB-PC-E13,127.0.0.1,262.21245288848877,7,256,6,0.001
1.0,1.0,1.0,1.0,1.0,1.5516013928456996e-08,4.840996345678583e-06,1.0,1.0,1.0,1.0,1.0,1.3484819531506797e-08,4.220748513361627e-06,1715717549,,False,8,1f1d9006,2024-05-14_22-12-29,36.80194282531738,299.01439571380615,33880,AT-MB-PC-E13,127.0.0.1,299.01439571380615,8,256,6,0.001
1.0,1.0,1.0,1.0,1.0,1.1169858690762702e-08,3.484995911517963e-06,1.0,1.0,1.0,1.0,1.0,1.0628371563749518e-08,3.3266802994535993e-06,1715717586,,False,9,1f1d9006,2024-05-14_22-13-06,37.13854503631592,336.15294075012207,33880,AT-MB-PC-E13,127.0.0.1,336.15294075012207,9,256,6,0.001
1.0,1.0,1.0,1.0,1.0,7.725177224055681e-09,2.4102552939053723e-06,1.0,1.0,1.0,1.0,1.0,6.7721678488650246e-09,2.1196885366947527e-06,1715717627,,True,10,1f1d9006,2024-05-14_22-13-47,41.65916299819946,377.81210374832153,33880,AT-MB-PC-E13,127.0.0.1,377.81210374832153,10,256,6,0.001
