train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/optimizer/base_learning_rate
0.49856,0.49926,0.96913,0.65901,0.52836,0.6930179411588713,1191.9908587932587,0.49872,0.49934,0.96865,0.65898,0.52799,0.6930203757753814,254.33847790956497,0.49666,0.49828,0.96848,0.65802,0.52946,0.6930150624823896,252.95049780607224,1715720344,,False,1,1b2ef0be,2024-05-14_22-59-04,172.78553438186646,172.78553438186646,32628,AT-MB-PC-E13,127.0.0.1,172.78553438186646,1,256,3,0.001
0.99075,0.98917,0.99237,0.99077,0.99977,0.0299906765916898,51.583963737706455,1.0,1.0,1.0,1.0,1.0,1.3370381858308053e-06,0.0004906930141999055,1.0,1.0,1.0,1.0,1.0,1.7071687958465092e-06,0.0006231166104839758,1715720460,,False,2,1b2ef0be,2024-05-14_23-01-00,115.61239099502563,288.3979253768921,32628,AT-MB-PC-E13,127.0.0.1,288.3979253768921,2,256,3,0.001
1.0,1.0,1.0,1.0,1.0,5.62192417724465e-07,0.0009669709584860797,1.0,1.0,1.0,1.0,1.0,2.086427639752848e-07,7.657189437892953e-05,1.0,1.0,1.0,1.0,1.0,3.0220675110570317e-07,0.00011030546415358167,1715720575,,False,3,1b2ef0be,2024-05-14_23-02-55,114.54131817817688,402.93924355506897,32628,AT-MB-PC-E13,127.0.0.1,402.93924355506897,3,256,3,0.001
1.0,1.0,1.0,1.0,1.0,9.87825656958275e-08,0.00016990601299682329,1.0,1.0,1.0,1.0,1.0,3.5557209408148426e-08,1.3049495852790471e-05,1.0,1.0,1.0,1.0,1.0,5.774169119525328e-08,2.1075717286267448e-05,1715720690,,False,4,1b2ef0be,2024-05-14_23-04-50,115.06043148040771,517.9996750354767,32628,AT-MB-PC-E13,127.0.0.1,517.9996750354767,4,256,3,0.001
1.0,1.0,1.0,1.0,1.0,2.229722986517786e-08,3.835123536810592e-05,1.0,1.0,1.0,1.0,1.0,1.0059233967141045e-08,3.6917388659407635e-06,1.0,1.0,1.0,1.0,1.0,1.6350341469172403e-08,5.967874636247927e-06,1715720804,,False,5,1b2ef0be,2024-05-14_23-06-44,114.64877533912659,632.6484503746033,32628,AT-MB-PC-E13,127.0.0.1,632.6484503746033,5,256,3,0.001
0.99719,0.99641,0.99798,0.9972,0.9991,0.05556644628119899,95.57428760366227,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715720917,,False,6,1b2ef0be,2024-05-14_23-08-37,112.89046859741211,745.5389189720154,32628,AT-MB-PC-E13,127.0.0.1,745.5389189720154,6,256,3,0.001
1.0,1.0,1.0,1.0,1.0,6.497598970495306e-12,1.1175870229251927e-08,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721033,,False,7,1b2ef0be,2024-05-14_23-10-33,115.5642261505127,861.1031451225281,32628,AT-MB-PC-E13,127.0.0.1,861.1031451225281,7,256,3,0.001
1.0,1.0,1.0,1.0,1.0,6.497598970495306e-12,1.1175870229251927e-08,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721148,,False,8,1b2ef0be,2024-05-14_23-12-28,115.28239893913269,976.3855440616608,32628,AT-MB-PC-E13,127.0.0.1,976.3855440616608,8,256,3,0.001
1.0,1.0,1.0,1.0,1.0,6.497598970495306e-12,1.1175870229251927e-08,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721262,,False,9,1b2ef0be,2024-05-14_23-14-22,114.37970662117004,1090.7652506828308,32628,AT-MB-PC-E13,127.0.0.1,1090.7652506828308,9,256,3,0.001
1.0,1.0,1.0,1.0,1.0,6.497598970495306e-12,1.1175870229251927e-08,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1715721378,,False,10,1b2ef0be,2024-05-14_23-16-18,115.73922324180603,1206.5044739246368,32628,AT-MB-PC-E13,127.0.0.1,1206.5044739246368,10,256,3,0.001
