train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.50014,0.50014,0.48269,0.49126,0.50002,0.722747405150602,1243.1255368590355,0.5,0.5,0.45622,0.47711,0.50006,0.7245753448080952,265.9191515445709,0.49974,0.49972,0.46232,0.48029,0.50001,0.7263414902229831,265.11464393138885,1713409581,,False,1,2108e42f,2024-04-18_05-06-21,633.8654549121857,633.8654549121857,38732,AT-MB-PC-E13,127.0.0.1,633.8654549121857,1,3
0.82845,0.82593,0.83232,0.82911,0.93508,0.2974336311979176,511.5858456604183,0.9069,0.88806,0.93118,0.90911,0.98052,0.17018572685666564,62.458161756396294,0.91213,0.8969,0.93131,0.91378,0.98216,0.16706249886383748,60.977812085300684,1713410170,,False,2,2108e42f,2024-04-18_05-16-10,588.9627828598022,1222.828237771988,38732,AT-MB-PC-E13,127.0.0.1,1222.828237771988,2,3
0.92405,0.92557,0.92226,0.92391,0.98558,0.15059941925330433,259.03100111568347,0.94591,0.95184,0.93935,0.94555,0.99256,0.1080692635020571,39.66141970525496,0.95187,0.95561,0.94776,0.95167,0.99365,0.10069929163915756,36.75524144829251,1713410755,,False,3,2108e42f,2024-04-18_05-25-55,584.6741693019867,1807.5024070739746,38732,AT-MB-PC-E13,127.0.0.1,1807.5024070739746,3,3
0.95573,0.95649,0.95491,0.9557,0.99477,0.09093180523856528,156.40270501033228,0.95579,0.94929,0.96303,0.95611,0.99491,0.09497492997152147,34.85579929954838,0.95752,0.9521,0.96351,0.95777,0.99541,0.08988767087153376,32.80899986810982,1713411339,,False,4,2108e42f,2024-04-18_05-35-39,584.8646776676178,2392.3670847415924,38732,AT-MB-PC-E13,127.0.0.1,2392.3670847415924,4,3
0.96245,0.96196,0.96299,0.96247,0.99633,0.0753260002588768,129.5607204452681,0.96567,0.97219,0.95877,0.96543,0.99694,0.07039965577251488,25.836673668512958,0.96745,0.97068,0.96403,0.96734,0.99667,0.07546975095772299,27.546459099568892,1713411922,,False,5,2108e42f,2024-04-18_05-45-22,582.6842837333679,2975.0513684749603,38732,AT-MB-PC-E13,127.0.0.1,2975.0513684749603,5,3
0.96339,0.96406,0.96266,0.96336,0.99656,0.07240544969798404,124.53737348053255,0.96312,0.96622,0.9598,0.96299,0.99602,0.08673250970680632,31.83083106239792,0.9666,0.97177,0.96112,0.96641,0.99642,0.0821711195010073,29.99245861786767,1713412506,,False,6,2108e42f,2024-04-18_05-55-06,583.4378101825714,3558.4891786575317,38732,AT-MB-PC-E13,127.0.0.1,3558.4891786575317,6,3
0.96453,0.96437,0.9647,0.96453,0.99675,0.06981345013860676,120.07913423840364,0.96814,0.98278,0.95298,0.96765,0.9974,0.06166706180160488,22.631811681188992,0.96745,0.98012,0.95427,0.96702,0.99743,0.06017470012796877,21.9637655467086,1713413091,,False,7,2108e42f,2024-04-18_06-04-51,585.5914981365204,4144.080676794052,38732,AT-MB-PC-E13,127.0.0.1,4144.080676794052,7,3
0.96619,0.96358,0.969,0.96628,0.997,0.06714518943527066,115.48972582866554,0.96269,0.93906,0.98961,0.96367,0.99721,0.06772967125067096,24.856789348996244,0.96591,0.94722,0.98681,0.96661,0.99748,0.06389195519732312,23.320563647022936,1713413675,,False,8,2108e42f,2024-04-18_06-14-35,583.7876427173615,4727.868319511414,38732,AT-MB-PC-E13,127.0.0.1,4727.868319511414,8,3
0.9665,0.96585,0.96719,0.96652,0.99695,0.06751318738016104,116.122682293877,0.9621,0.97713,0.94634,0.96149,0.99569,0.08703507685376273,31.94187320533092,0.96497,0.98002,0.9493,0.96441,0.9962,0.08194088505896778,29.90842304652324,1713414260,,False,9,2108e42f,2024-04-18_06-24-20,584.7093620300293,5312.577681541443,38732,AT-MB-PC-E13,127.0.0.1,5312.577681541443,9,3
0.9685,0.97008,0.96681,0.96844,0.9974,0.06250841242208269,107.51446936598222,0.96789,0.9589,0.97768,0.9682,0.99755,0.06362792683958154,23.351449150126427,0.96745,0.9585,0.97722,0.96777,0.99767,0.062024575897352136,22.638970202533528,1713414844,,False,10,2108e42f,2024-04-18_06-34-04,584.5759665966034,5897.153648138046,38732,AT-MB-PC-E13,127.0.0.1,5897.153648138046,10,3
