train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.09,0.51,1.1598041776348562,197.16671019792557,0.07,0.48,0.1,0.51,1.2205861759185792,30.514654397964478,1712477940,,False,1,ec2332b9,2024-04-07_08-19-00,58.97128081321716,58.97128081321716,1106586,vader,131.130.125.97,58.97128081321716,1,64,3,0.0,0.0001
0.08,0.66,0.09,0.53,0.654060113605331,111.19021931290627,0.07,0.77,0.12,0.58,0.46947928667068484,11.73698216676712,1712477977,,False,2,ec2332b9,2024-04-07_08-19-37,36.3745858669281,95.34586668014526,1106586,vader,131.130.125.97,95.34586668014526,2,64,3,0.0,0.0001
0.08,0.84,0.13,0.56,0.3866099047310212,65.7236838042736,0.07,0.89,0.15,0.6,0.3229889178276062,8.074722945690155,1712478013,,False,3,ec2332b9,2024-04-07_08-20-13,35.86936974525452,131.21523642539978,1106586,vader,131.130.125.97,131.21523642539978,3,64,3,0.0,0.0001
0.08,0.91,0.16,0.6,0.30398867051391043,51.67807398736477,0.07,0.92,0.18,0.63,0.26923110902309416,6.730777725577354,1712478047,,False,4,ec2332b9,2024-04-07_08-20-47,34.36619853973389,165.58143496513367,1106586,vader,131.130.125.97,165.58143496513367,4,64,3,0.0,0.0001
0.08,0.92,0.19,0.64,0.26922168047989115,45.7676856815815,0.07,0.93,0.22,0.67,0.24372802138328553,6.093200534582138,1712478081,,False,5,ec2332b9,2024-04-07_08-21-21,34.19961357116699,199.78104853630066,1106586,vader,131.130.125.97,199.78104853630066,5,64,3,0.0,0.0001
0.08,0.92,0.22,0.67,0.25664270511444875,43.62925986945629,0.07,0.92,0.23,0.69,0.23830591678619384,5.957647919654846,1712478115,,False,6,ec2332b9,2024-04-07_08-21-55,33.90447425842285,233.6855227947235,1106586,vader,131.130.125.97,233.6855227947235,6,64,3,0.0,0.0001
0.08,0.92,0.23,0.69,0.24340099192717496,41.37816862761974,0.07,0.92,0.24,0.68,0.238275448679924,5.9568862169981,1712478148,,False,7,ec2332b9,2024-04-07_08-22-28,32.98699998855591,266.6725227832794,1106586,vader,131.130.125.97,266.6725227832794,7,64,3,0.0,0.0001
0.08,0.92,0.26,0.72,0.23291550191009747,39.59563532471657,0.07,0.93,0.27,0.73,0.218543838262558,5.46359595656395,1712478181,,False,8,ec2332b9,2024-04-07_08-23-01,32.54921102523804,299.22173380851746,1106586,vader,131.130.125.97,299.22173380851746,8,64,3,0.0,0.0001
0.08,0.92,0.27,0.73,0.2289297386565629,38.918055571615696,0.07,0.92,0.27,0.74,0.2203725039958954,5.509312599897385,1712478214,,False,9,ec2332b9,2024-04-07_08-23-34,32.929076194763184,332.15081000328064,1106586,vader,131.130.125.97,332.15081000328064,9,64,3,0.0,0.0001
0.08,0.93,0.29,0.74,0.22353347049039954,38.00068998336792,0.07,0.92,0.26,0.74,0.223275865316391,5.581896632909775,1712478247,,False,10,ec2332b9,2024-04-07_08-24-07,33.09207820892334,365.242888212204,1106586,vader,131.130.125.97,365.242888212204,10,64,3,0.0,0.0001
0.08,0.93,0.28,0.75,0.22312050093622768,37.93048515915871,0.07,0.92,0.27,0.75,0.22402139365673066,5.600534841418266,1712478278,,False,11,ec2332b9,2024-04-07_08-24-38,30.9463152885437,396.1892035007477,1106586,vader,131.130.125.97,396.1892035007477,11,64,3,0.0,0.0001
0.08,0.93,0.31,0.77,0.21647638332317856,36.80098516494036,0.07,0.93,0.3,0.75,0.21453013241291047,5.3632533103227615,1712478308,,False,12,ec2332b9,2024-04-07_08-25-08,30.78368377685547,426.97288727760315,1106586,vader,131.130.125.97,426.97288727760315,12,64,3,0.0,0.0001
0.08,0.93,0.33,0.79,0.2104996015482089,35.784932263195515,0.07,0.93,0.32,0.74,0.2172844696044922,5.432111740112305,1712478340,,False,13,ec2332b9,2024-04-07_08-25-40,31.78195309638977,458.7548403739929,1106586,vader,131.130.125.97,458.7548403739929,13,64,3,0.0,0.0001
0.08,0.93,0.34,0.79,0.20814069391173476,35.38391796499491,0.07,0.93,0.34,0.77,0.21432215988636016,5.358053997159004,1712478371,,False,14,ec2332b9,2024-04-07_08-26-11,31.11045241355896,489.8652927875519,1106586,vader,131.130.125.97,489.8652927875519,14,64,3,0.0,0.0001
0.08,0.93,0.36,0.8,0.20472966945346663,34.80404380708933,0.07,0.93,0.33,0.76,0.2138726994395256,5.34681748598814,1712478398,,True,15,ec2332b9,2024-04-07_08-26-38,27.178833723068237,517.0441265106201,1106586,vader,131.130.125.97,517.0441265106201,15,64,3,0.0,0.0001
