train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.09,0.51,0.9829606357742758,167.1033080816269,0.07,0.54,0.09,0.5,1.0842693328857422,27.106733322143555,1712603186,,False,1,d054099c,2024-04-08_21-06-26,133.12852025032043,133.12852025032043,15984,AT-MB-PC-EOS,127.0.0.1,133.12852025032043,1,64,3,0.0,0.0001
0.08,0.78,0.08,0.47,0.535745167556931,91.07667848467827,0.07,0.88,0.11,0.48,0.385417697429657,9.635442435741425,1712603304,,False,2,d054099c,2024-04-08_21-08-24,117.68833303451538,250.81685328483582,15984,AT-MB-PC-EOS,127.0.0.1,250.81685328483582,2,64,3,0.0,0.0001
0.08,0.9,0.09,0.5,0.36108896960230435,61.38512483239174,0.07,0.92,0.1,0.51,0.3181219965219498,7.953049913048744,1712603415,,False,3,d054099c,2024-04-08_21-10-15,111.71206593513489,362.5289192199707,15984,AT-MB-PC-EOS,127.0.0.1,362.5289192199707,3,64,3,0.0,0.0001
0.08,0.91,0.11,0.55,0.315056912688648,53.55967515707016,0.07,0.92,0.12,0.53,0.2977755755186081,7.444389387965202,1712603531,,False,4,d054099c,2024-04-08_21-12-11,115.91892719268799,478.4478464126587,15984,AT-MB-PC-EOS,127.0.0.1,478.4478464126587,4,64,3,0.0,0.0001
0.08,0.92,0.14,0.58,0.2967064324547263,50.44009351730347,0.07,0.92,0.12,0.56,0.29085731506347656,7.271432876586914,1712603644,,False,5,d054099c,2024-04-08_21-14-04,112.88594913482666,591.3337955474854,15984,AT-MB-PC-EOS,127.0.0.1,591.3337955474854,5,64,3,0.0,0.0001
0.08,0.92,0.16,0.61,0.2809670033700326,47.76439057290554,0.07,0.92,0.16,0.61,0.2859025299549103,7.147563248872757,1712603760,,False,6,d054099c,2024-04-08_21-16-00,116.300213098526,707.6340086460114,15984,AT-MB-PC-EOS,127.0.0.1,707.6340086460114,6,64,3,0.0,0.0001
0.08,0.92,0.18,0.64,0.27061962669386586,46.00533653795719,0.07,0.92,0.16,0.61,0.26426965177059175,6.606741294264793,1712603874,,False,7,d054099c,2024-04-08_21-17-54,113.81365394592285,821.4476625919342,15984,AT-MB-PC-EOS,127.0.0.1,821.4476625919342,7,64,3,0.0,0.0001
0.08,0.92,0.2,0.66,0.2622246052412426,44.57818289101124,0.07,0.93,0.19,0.63,0.25083680123090746,6.270920030772686,1712603992,,False,8,d054099c,2024-04-08_21-19-52,117.5933313369751,939.0409939289093,15984,AT-MB-PC-EOS,127.0.0.1,939.0409939289093,8,64,3,0.0,0.0001
0.08,0.92,0.22,0.69,0.2479611913947498,42.15340253710747,0.07,0.91,0.17,0.62,0.27854835033416747,6.963708758354187,1712604104,,False,9,d054099c,2024-04-08_21-21-44,112.49674606323242,1051.5377399921417,15984,AT-MB-PC-EOS,127.0.0.1,1051.5377399921417,9,64,3,0.0,0.0001
0.08,0.92,0.22,0.7,0.2454099452670883,41.719690695405006,0.07,0.92,0.18,0.67,0.25351281464099884,6.337820366024971,1712604223,,False,10,d054099c,2024-04-08_21-23-43,118.87900924682617,1170.416749238968,15984,AT-MB-PC-EOS,127.0.0.1,1170.416749238968,10,64,3,0.0,0.0001
