train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.09,0.51,0.9829606417347403,167.10330909490585,0.07,0.54,0.09,0.5,1.0842693448066711,27.10673362016678,1712588240,,False,1,f28b4280,2024-04-08_16-57-20,127.168625831604,127.168625831604,11600,AT-MB-PC-EOS,127.0.0.1,127.168625831604,1,64,3,0.0,0.0001
0.08,0.78,0.08,0.47,0.5357323330991408,91.07449662685394,0.07,0.89,0.11,0.48,0.38531038641929627,9.632759660482407,1712588354,,False,2,f28b4280,2024-04-08_16-59-14,113.81104469299316,240.97967052459717,11600,AT-MB-PC-EOS,127.0.0.1,240.97967052459717,2,64,3,0.0,0.0001
0.08,0.9,0.09,0.5,0.3611573735580725,61.39675350487232,0.07,0.92,0.1,0.51,0.3179930478334427,7.949826195836067,1712588469,,False,3,f28b4280,2024-04-08_17-01-09,115.20550918579102,356.1851797103882,11600,AT-MB-PC-EOS,127.0.0.1,356.1851797103882,3,64,3,0.0,0.0001
0.08,0.91,0.11,0.55,0.31492894537308636,53.53792071342468,0.07,0.92,0.12,0.53,0.2983094644546509,7.457736611366272,1712588581,,False,4,f28b4280,2024-04-08_17-03-01,111.92906546592712,468.1142451763153,11600,AT-MB-PC-EOS,127.0.0.1,468.1142451763153,4,64,3,0.0,0.0001
0.08,0.92,0.14,0.58,0.29638611516531777,50.38563957810402,0.07,0.92,0.12,0.56,0.29149788737297055,7.2874471843242645,1712588697,,False,5,f28b4280,2024-04-08_17-04-57,115.24401569366455,583.3582608699799,11600,AT-MB-PC-EOS,127.0.0.1,583.3582608699799,5,64,3,0.0,0.0001
0.08,0.92,0.16,0.61,0.2811417448170045,47.79409661889076,0.07,0.92,0.16,0.61,0.28803660094738004,7.200915023684502,1712588810,,False,6,f28b4280,2024-04-08_17-06-50,113.05437731742859,696.4126381874084,11600,AT-MB-PC-EOS,127.0.0.1,696.4126381874084,6,64,3,0.0,0.0001
0.08,0.92,0.18,0.64,0.2699087357696365,45.8844850808382,0.07,0.92,0.17,0.61,0.26738947212696074,6.684736803174019,1712588925,,False,7,f28b4280,2024-04-08_17-08-45,115.44900250434875,811.8616406917572,11600,AT-MB-PC-EOS,127.0.0.1,811.8616406917572,7,64,3,0.0,0.0001
0.08,0.92,0.2,0.66,0.2620583644684623,44.549921959638596,0.07,0.93,0.18,0.63,0.2510607847571373,6.2765196189284325,1712589038,,False,8,f28b4280,2024-04-08_17-10-38,112.6438057422638,924.505446434021,11600,AT-MB-PC-EOS,127.0.0.1,924.505446434021,8,64,3,0.0,0.0001
0.08,0.92,0.22,0.69,0.24757530790041474,42.08780234307051,0.07,0.91,0.17,0.64,0.276676658987999,6.916916474699974,1712589150,,False,9,f28b4280,2024-04-08_17-12-30,111.85036396980286,1036.3558104038239,11600,AT-MB-PC-EOS,127.0.0.1,1036.3558104038239,9,64,3,0.0,0.0001
0.08,0.92,0.22,0.7,0.24532601903466617,41.70542323589325,0.07,0.92,0.18,0.66,0.25694867491722106,6.423716872930527,1712589259,,False,10,f28b4280,2024-04-08_17-14-19,109.76641631126404,1146.122226715088,11600,AT-MB-PC-EOS,127.0.0.1,1146.122226715088,10,64,3,0.0,0.0001
0.08,0.92,0.25,0.71,0.24048133492469786,40.88182693719864,0.07,0.93,0.24,0.69,0.25486015558242797,6.3715038895606995,1712589370,,False,11,f28b4280,2024-04-08_17-16-10,110.29491662979126,1256.4171433448792,11600,AT-MB-PC-EOS,127.0.0.1,1256.4171433448792,11,64,3,0.0,0.0001
0.08,0.92,0.25,0.73,0.2334647114662563,39.68900094926357,0.07,0.92,0.25,0.73,0.23839065909385682,5.95976647734642,1712589484,,False,12,f28b4280,2024-04-08_17-18-04,113.89043068885803,1370.3075740337372,11600,AT-MB-PC-EOS,127.0.0.1,1370.3075740337372,12,64,3,0.0,0.0001
0.08,0.92,0.26,0.74,0.23190464219626258,39.42378917336464,0.07,0.92,0.26,0.72,0.2287208318710327,5.718020796775818,1712589596,,False,13,f28b4280,2024-04-08_17-19-56,112.0030927658081,1482.3106667995453,11600,AT-MB-PC-EOS,127.0.0.1,1482.3106667995453,13,64,3,0.0,0.0001
0.08,0.93,0.3,0.76,0.2258811619351892,38.39979752898216,0.07,0.93,0.23,0.68,0.25038961619138717,6.259740404784679,1712589709,,False,14,f28b4280,2024-04-08_17-21-49,113.13355422019958,1595.4442210197449,11600,AT-MB-PC-EOS,127.0.0.1,1595.4442210197449,14,64,3,0.0,0.0001
0.08,0.93,0.31,0.76,0.21973437991212397,37.35484458506107,0.07,0.93,0.29,0.73,0.22478126645088195,5.619531661272049,1712589821,,False,15,f28b4280,2024-04-08_17-23-41,111.95473980903625,1707.3989608287811,11600,AT-MB-PC-EOS,127.0.0.1,1707.3989608287811,15,64,3,0.0,0.0001
0.08,0.93,0.31,0.77,0.21827181880088414,37.1062091961503,0.07,0.93,0.28,0.74,0.240694517493248,6.0173629373312,1712589931,,False,16,f28b4280,2024-04-08_17-25-31,109.9281210899353,1817.3270819187164,11600,AT-MB-PC-EOS,127.0.0.1,1817.3270819187164,16,64,3,0.0,0.0001
0.08,0.93,0.32,0.77,0.21592709417728817,36.70760601013899,0.07,0.93,0.3,0.77,0.2126716411113739,5.3167910277843475,1712590044,,False,17,f28b4280,2024-04-08_17-27-24,113.27562952041626,1930.6027114391327,11600,AT-MB-PC-EOS,127.0.0.1,1930.6027114391327,17,64,3,0.0,0.0001
0.08,0.93,0.34,0.79,0.2124477533294874,36.11611806601286,0.07,0.93,0.27,0.74,0.2276819771528244,5.69204942882061,1712590154,,False,18,f28b4280,2024-04-08_17-29-14,109.83428740501404,2040.4369988441467,11600,AT-MB-PC-EOS,127.0.0.1,2040.4369988441467,18,64,3,0.0,0.0001
0.08,0.93,0.35,0.8,0.20742645750150962,35.262497775256634,0.07,0.93,0.3,0.76,0.21665310442447663,5.416327610611916,1712590268,,False,19,f28b4280,2024-04-08_17-31-08,114.72885847091675,2155.1658573150635,11600,AT-MB-PC-EOS,127.0.0.1,2155.1658573150635,19,64,3,0.0,0.0001
0.08,0.93,0.35,0.8,0.20669456545044393,35.13807612657547,0.07,0.93,0.3,0.77,0.21459887862205507,5.364971965551376,1712590379,,False,20,f28b4280,2024-04-08_17-32-59,110.63238668441772,2265.798243999481,11600,AT-MB-PC-EOS,127.0.0.1,2265.798243999481,20,64,3,0.0,0.0001
0.08,0.93,0.37,0.8,0.2047092403997393,34.800570867955685,0.07,0.93,0.31,0.75,0.22478716492652892,5.619679123163223,1712590493,,False,21,f28b4280,2024-04-08_17-34-53,113.81392860412598,2379.612172603607,11600,AT-MB-PC-EOS,127.0.0.1,2379.612172603607,21,64,3,0.0,0.0001
0.08,0.93,0.37,0.81,0.20449971372590345,34.76495133340359,0.07,0.93,0.34,0.78,0.20988447546958924,5.247111886739731,1712590602,,False,22,f28b4280,2024-04-08_17-36-42,109.23511171340942,2488.8472843170166,11600,AT-MB-PC-EOS,127.0.0.1,2488.8472843170166,22,64,3,0.0,0.0001
0.08,0.93,0.39,0.81,0.20125398780493176,34.2131779268384,0.07,0.93,0.34,0.77,0.2080906307697296,5.20226576924324,1712590714,,False,23,f28b4280,2024-04-08_17-38-34,111.74092078208923,2600.588205099106,11600,AT-MB-PC-EOS,127.0.0.1,2600.588205099106,23,64,3,0.0,0.0001
0.08,0.93,0.39,0.82,0.19750120560912526,33.57520495355129,0.07,0.93,0.35,0.78,0.21956269919872284,5.489067479968071,1712590827,,False,24,f28b4280,2024-04-08_17-40-27,113.20908522605896,2713.797290325165,11600,AT-MB-PC-EOS,127.0.0.1,2713.797290325165,24,64,3,0.0,0.0001
0.08,0.93,0.4,0.82,0.1977612541440655,33.61941320449114,0.07,0.93,0.33,0.78,0.21559064984321594,5.389766246080399,1712590938,,False,25,f28b4280,2024-04-08_17-42-18,110.9877417087555,2824.7850320339203,11600,AT-MB-PC-EOS,127.0.0.1,2824.7850320339203,25,64,3,0.0,0.0001
0.08,0.93,0.41,0.82,0.19681938119670925,33.45929480344057,0.07,0.93,0.33,0.76,0.23320951342582702,5.830237835645676,1712591052,,False,26,f28b4280,2024-04-08_17-44-12,114.17823505401611,2938.9632670879364,11600,AT-MB-PC-EOS,127.0.0.1,2938.9632670879364,26,64,3,0.0,0.0001
0.08,0.93,0.41,0.83,0.19344927243450108,32.886376313865185,0.07,0.93,0.31,0.75,0.219044828414917,5.476120710372925,1712591158,,False,27,f28b4280,2024-04-08_17-45-58,106.11475539207458,3045.078022480011,11600,AT-MB-PC-EOS,127.0.0.1,3045.078022480011,27,64,3,0.0,0.0001
0.08,0.93,0.42,0.83,0.1935131122084225,32.897229075431824,0.07,0.93,0.33,0.77,0.21852218806743623,5.4630547016859055,1712591272,,False,28,f28b4280,2024-04-08_17-47-52,113.81710886955261,3158.8951313495636,11600,AT-MB-PC-EOS,127.0.0.1,3158.8951313495636,28,64,3,0.0,0.0001
0.08,0.93,0.43,0.83,0.1915624755270341,32.565620839595795,0.07,0.93,0.33,0.77,0.21865484863519669,5.466371215879917,1712591386,,False,29,f28b4280,2024-04-08_17-49-46,113.6669249534607,3272.5620563030243,11600,AT-MB-PC-EOS,127.0.0.1,3272.5620563030243,29,64,3,0.0,0.0001
0.08,0.93,0.42,0.84,0.190184518388089,32.33136812597513,0.07,0.93,0.35,0.8,0.20598651945590973,5.149662986397743,1712591497,,False,30,f28b4280,2024-04-08_17-51-37,111.04228091239929,3383.6043372154236,11600,AT-MB-PC-EOS,127.0.0.1,3383.6043372154236,30,64,3,0.0,0.0001
0.08,0.93,0.44,0.84,0.18855120386270915,32.05370465666056,0.07,0.93,0.34,0.78,0.20813366174697875,5.203341543674469,1712591611,,False,31,f28b4280,2024-04-08_17-53-31,113.70746159553528,3497.311798810959,11600,AT-MB-PC-EOS,127.0.0.1,3497.311798810959,31,64,3,0.0,0.0001
0.08,0.93,0.44,0.84,0.1871904387631837,31.82237458974123,0.07,0.93,0.34,0.78,0.20859848737716674,5.214962184429169,1712591725,,False,32,f28b4280,2024-04-08_17-55-25,113.9916262626648,3611.3034250736237,11600,AT-MB-PC-EOS,127.0.0.1,3611.3034250736237,32,64,3,0.0,0.0001
0.08,0.93,0.45,0.85,0.18395205473198611,31.271849304437637,0.07,0.93,0.37,0.79,0.21031864792108534,5.257966198027134,1712591835,,False,33,f28b4280,2024-04-08_17-57-15,110.69669985771179,3722.0001249313354,11600,AT-MB-PC-EOS,127.0.0.1,3722.0001249313354,33,64,3,0.0,0.0001
0.08,0.94,0.46,0.85,0.18421619747053175,31.316753569990396,0.07,0.93,0.37,0.79,0.20663183510303498,5.165795877575874,1712591951,,False,34,f28b4280,2024-04-08_17-59-11,116.10218024253845,3838.102305173874,11600,AT-MB-PC-EOS,127.0.0.1,3838.102305173874,34,64,3,0.0,0.0001
0.08,0.93,0.46,0.85,0.183233916343135,31.14976577833295,0.07,0.93,0.35,0.79,0.2034157743304968,5.08539435826242,1712592063,,False,35,f28b4280,2024-04-08_18-01-03,111.53614020347595,3949.63844537735,11600,AT-MB-PC-EOS,127.0.0.1,3949.63844537735,35,64,3,0.0,0.0001
0.08,0.94,0.47,0.85,0.18273620500284082,31.06515485048294,0.07,0.93,0.33,0.78,0.2140297582745552,5.35074395686388,1712592173,,False,36,f28b4280,2024-04-08_18-02-53,109.74076557159424,4059.379210948944,11600,AT-MB-PC-EOS,127.0.0.1,4059.379210948944,36,64,3,0.0,0.0001
0.08,0.94,0.46,0.85,0.18238590359687806,31.00560361146927,0.07,0.93,0.36,0.77,0.20474421322345734,5.118605330586433,1712592286,,False,37,f28b4280,2024-04-08_18-04-46,112.94604730606079,4172.325258255005,11600,AT-MB-PC-EOS,127.0.0.1,4172.325258255005,37,64,3,0.0,0.0001
0.08,0.94,0.48,0.86,0.17922854099203558,30.46885196864605,0.07,0.94,0.36,0.79,0.2052847844362259,5.132119610905647,1712592397,,False,38,f28b4280,2024-04-08_18-06-37,111.43250441551208,4283.757762670517,11600,AT-MB-PC-EOS,127.0.0.1,4283.757762670517,38,64,3,0.0,0.0001
