train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.09,0.51,0.8940988256650813,151.9968003630638,0.07,0.5,0.1,0.49,0.8778401231765747,21.946003079414368,1712855194,,False,1,53bbdeae,2024-04-11_19-06-34,215.06004667282104,215.06004667282104,40180,AT-MB-PC-EOS,127.0.0.1,215.06004667282104,1,64,3,0.5,1e-05
0.08,0.5,0.09,0.5,0.8444298193735235,143.553069293499,0.07,0.55,0.11,0.52,0.7737559223175049,19.343898057937622,1712855388,,False,2,53bbdeae,2024-04-11_19-09-48,193.7561330795288,408.81617975234985,40180,AT-MB-PC-EOS,127.0.0.1,408.81617975234985,2,64,3,0.5,1e-05
0.08,0.57,0.09,0.5,0.730379629836363,124.1645370721817,0.07,0.65,0.1,0.47,0.646482241153717,16.162056028842926,1712855588,,False,3,53bbdeae,2024-04-11_19-13-08,199.78058385849,608.5967636108398,40180,AT-MB-PC-EOS,127.0.0.1,608.5967636108398,3,64,3,0.5,1e-05
0.08,0.65,0.09,0.49,0.6338320086984074,107.75144147872925,0.07,0.72,0.09,0.48,0.5646638298034667,14.11659574508667,1712855780,,False,4,53bbdeae,2024-04-11_19-16-20,191.96467328071594,800.5614368915558,40180,AT-MB-PC-EOS,127.0.0.1,800.5614368915558,4,64,3,0.5,1e-05
0.08,0.73,0.09,0.48,0.5551325324703665,94.37253051996231,0.07,0.78,0.08,0.45,0.4921333849430084,12.30333462357521,1712855983,,False,5,53bbdeae,2024-04-11_19-19-43,203.7203905582428,1004.2818274497986,40180,AT-MB-PC-EOS,127.0.0.1,1004.2818274497986,5,64,3,0.5,1e-05
0.08,0.78,0.08,0.46,0.4994842190952862,84.91231724619865,0.07,0.83,0.08,0.44,0.44646276712417604,11.1615691781044,1712856177,,False,6,53bbdeae,2024-04-11_19-22-57,193.97019577026367,1198.2520232200623,40180,AT-MB-PC-EOS,127.0.0.1,1198.2520232200623,6,64,3,0.5,1e-05
0.08,0.82,0.08,0.46,0.44939082545392656,76.39644032716751,0.07,0.86,0.08,0.47,0.3968080568313599,9.920201420783997,1712856377,,False,7,53bbdeae,2024-04-11_19-26-17,199.4036910533905,1397.6557142734528,40180,AT-MB-PC-EOS,127.0.0.1,1397.6557142734528,7,64,3,0.5,1e-05
0.08,0.85,0.08,0.46,0.4175655589384191,70.98614501953125,0.07,0.88,0.07,0.44,0.3778047800064087,9.445119500160217,1712856567,,False,8,53bbdeae,2024-04-11_19-29-27,190.6658844947815,1588.3215987682343,40180,AT-MB-PC-EOS,127.0.0.1,1588.3215987682343,8,64,3,0.5,1e-05
0.08,0.87,0.08,0.47,0.3934531795627931,66.88704052567482,0.07,0.9,0.08,0.46,0.3521776896715164,8.80444224178791,1712856763,,False,9,53bbdeae,2024-04-11_19-32-43,195.01658701896667,1783.338185787201,40180,AT-MB-PC-EOS,127.0.0.1,1783.338185787201,9,64,3,0.5,1e-05
0.08,0.89,0.08,0.48,0.37218039745793624,63.27066756784916,0.07,0.91,0.1,0.47,0.35288802564144134,8.822200641036034,1712856961,,False,10,53bbdeae,2024-04-11_19-36-01,198.84475350379944,1982.1829392910004,40180,AT-MB-PC-EOS,127.0.0.1,1982.1829392910004,10,64,3,0.5,1e-05
