train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.1,0.52,1.0590815000674303,180.04385501146317,0.07,0.47,0.1,0.52,1.081411657333374,27.03529143333435,1712874759,,False,1,d01cc197,2024-04-12_00-32-39,209.94788908958435,209.94788908958435,35248,AT-MB-PC-EOS,127.0.0.1,209.94788908958435,1,64,3,0.0,0.0001
0.08,0.71,0.09,0.48,0.6007884597077089,102.13403815031052,0.07,0.83,0.08,0.45,0.450423663854599,11.260591596364975,1712874944,,False,2,d01cc197,2024-04-12_00-35-44,185.1920087337494,395.13989782333374,35248,AT-MB-PC-EOS,127.0.0.1,395.13989782333374,2,64,3,0.0,0.0001
0.08,0.87,0.09,0.49,0.389403856326552,66.19865557551384,0.07,0.9,0.09,0.48,0.3464973843097687,8.662434607744217,1712875143,,False,3,d01cc197,2024-04-12_00-39-03,198.9213662147522,594.0612640380859,35248,AT-MB-PC-EOS,127.0.0.1,594.0612640380859,3,64,3,0.0,0.0001
0.08,0.91,0.11,0.52,0.3305255172883763,56.18933793902397,0.07,0.92,0.11,0.54,0.3029478442668915,7.573696106672287,1712875327,,False,4,d01cc197,2024-04-12_00-42-07,184.06898093223572,778.1302449703217,35248,AT-MB-PC-EOS,127.0.0.1,778.1302449703217,4,64,3,0.0,0.0001
0.08,0.92,0.12,0.56,0.29861614081789467,50.76474393904209,0.07,0.92,0.12,0.55,0.2945906984806061,7.364767462015152,1712875524,,False,5,d01cc197,2024-04-12_00-45-24,197.28159952163696,975.4118444919586,35248,AT-MB-PC-EOS,127.0.0.1,975.4118444919586,5,64,3,0.0,0.0001
0.08,0.92,0.14,0.59,0.2857817613026675,48.582899421453476,0.07,0.93,0.12,0.57,0.28636899054050446,7.159224763512611,1712875711,,False,6,d01cc197,2024-04-12_00-48-31,186.67590045928955,1162.0877449512482,35248,AT-MB-PC-EOS,127.0.0.1,1162.0877449512482,6,64,3,0.0,0.0001
0.08,0.92,0.14,0.6,0.2813767867053256,47.83405373990536,0.07,0.92,0.17,0.62,0.2789647096395493,6.974117740988731,1712875909,,False,7,d01cc197,2024-04-12_00-51-49,198.09899616241455,1360.1867411136627,35248,AT-MB-PC-EOS,127.0.0.1,1360.1867411136627,7,64,3,0.0,0.0001
0.08,0.92,0.16,0.62,0.2736468271297567,46.51996061205864,0.07,0.91,0.14,0.59,0.2781274789571762,6.953186973929405,1712876095,,False,8,d01cc197,2024-04-12_00-54-55,186.4364309310913,1546.623172044754,35248,AT-MB-PC-EOS,127.0.0.1,1546.623172044754,8,64,3,0.0,0.0001
0.08,0.92,0.17,0.65,0.2650581486961421,45.059885278344154,0.07,0.92,0.15,0.61,0.264112132191658,6.6028033047914505,1712876294,,False,9,d01cc197,2024-04-12_00-58-14,198.18499517440796,1744.808167219162,35248,AT-MB-PC-EOS,127.0.0.1,1744.808167219162,9,64,3,0.0,0.0001
0.08,0.92,0.19,0.66,0.2582597930641735,43.9041648209095,0.07,0.91,0.18,0.61,0.28715516269207003,7.17887906730175,1712876475,,False,10,d01cc197,2024-04-12_01-01-15,181.51174640655518,1926.3199136257172,35248,AT-MB-PC-EOS,127.0.0.1,1926.3199136257172,10,64,3,0.0,0.0001
