train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.6,0.09,0.5,0.9151846240548527,155.58138608932495,0.07,0.61,0.1,0.53,0.9042348766326904,22.60587191581726,1713011644,,False,1,e18ccf33,2024-04-13_14-34-04,384.3752965927124,384.3752965927124,17760,AT-MB-PC-EOS,127.0.0.1,384.3752965927124,1,128,6,0.0,0.001
0.08,0.9,0.1,0.53,0.33579407755066365,57.08499318361282,0.07,0.92,0.11,0.56,0.30982631802558896,7.745657950639725,1713012016,,False,2,e18ccf33,2024-04-13_14-40-16,371.89989256858826,756.2751891613007,17760,AT-MB-PC-EOS,127.0.0.1,756.2751891613007,2,128,6,0.0,0.001
0.08,0.92,0.12,0.59,0.29875885844230654,50.78900593519211,0.07,0.92,0.14,0.56,0.3014211285114288,7.535528212785721,1713012389,,False,3,e18ccf33,2024-04-13_14-46-29,373.139883518219,1129.4150726795197,17760,AT-MB-PC-EOS,127.0.0.1,1129.4150726795197,3,128,6,0.0,0.001
0.08,0.92,0.15,0.63,0.27230511421666426,46.291869416832924,0.07,0.93,0.15,0.66,0.26709355413913727,6.677338853478432,1713012761,,False,4,e18ccf33,2024-04-13_14-52-41,371.9160463809967,1501.3311190605164,17760,AT-MB-PC-EOS,127.0.0.1,1501.3311190605164,4,128,6,0.0,0.001
0.08,0.92,0.16,0.65,0.26276396429714033,44.66987393051386,0.07,0.93,0.19,0.64,0.27160880476236343,6.790220119059086,1713013133,,False,5,e18ccf33,2024-04-13_14-58-53,371.64457154273987,1872.9756906032562,17760,AT-MB-PC-EOS,127.0.0.1,1872.9756906032562,5,128,6,0.0,0.001
0.08,0.92,0.19,0.68,0.25188522983123274,42.82048907130957,0.07,0.93,0.19,0.63,0.2585658872127533,6.464147180318832,1713013503,,False,6,e18ccf33,2024-04-13_15-05-03,370.36870408058167,2243.344394683838,17760,AT-MB-PC-EOS,127.0.0.1,2243.344394683838,6,128,6,0.0,0.001
0.08,0.92,0.21,0.7,0.24198825350579092,41.13800309598446,0.07,0.93,0.19,0.67,0.25977812588214877,6.494453147053719,1713013876,,False,7,e18ccf33,2024-04-13_15-11-16,372.6039547920227,2615.9483494758606,17760,AT-MB-PC-EOS,127.0.0.1,2615.9483494758606,7,128,6,0.0,0.001
0.08,0.92,0.21,0.7,0.24145942672210582,41.04810254275799,0.07,0.93,0.21,0.68,0.24832261890172957,6.20806547254324,1713014247,,False,8,e18ccf33,2024-04-13_15-17-27,371.66622281074524,2987.614572286606,17760,AT-MB-PC-EOS,127.0.0.1,2987.614572286606,8,128,6,0.0,0.001
0.08,0.92,0.22,0.72,0.23867429972571486,40.574630953371525,0.07,0.93,0.19,0.66,0.24582012236118317,6.145503059029579,1713014619,,False,9,e18ccf33,2024-04-13_15-23-39,371.42429661750793,3359.0388689041138,17760,AT-MB-PC-EOS,127.0.0.1,3359.0388689041138,9,128,6,0.0,0.001
0.08,0.92,0.22,0.71,0.23674570747158108,40.24677027016878,0.07,0.92,0.23,0.73,0.2369367265701294,5.923418164253235,1713014989,,False,10,e18ccf33,2024-04-13_15-29-49,370.018869638443,3729.0577385425568,17760,AT-MB-PC-EOS,127.0.0.1,3729.0577385425568,10,128,6,0.0,0.001
0.08,0.92,0.25,0.73,0.23108401631607728,39.28428277373314,0.07,0.93,0.22,0.69,0.25800773940980437,6.450193485245109,1713015361,,False,11,e18ccf33,2024-04-13_15-36-01,372.0281820297241,4101.085920572281,17760,AT-MB-PC-EOS,127.0.0.1,4101.085920572281,11,128,6,0.0,0.001
0.08,0.93,0.26,0.74,0.22733260546537007,38.64654292911291,0.07,0.93,0.22,0.7,0.23709228068590163,5.927307017147541,1713015734,,False,12,e18ccf33,2024-04-13_15-42-14,372.727659702301,4473.813580274582,17760,AT-MB-PC-EOS,127.0.0.1,4473.813580274582,12,128,6,0.0,0.001
0.08,0.93,0.27,0.75,0.22178229483611445,37.702990122139454,0.07,0.93,0.29,0.74,0.22352911949157714,5.588227987289429,1713016106,,False,13,e18ccf33,2024-04-13_15-48-26,372.3686013221741,4846.182181596756,17760,AT-MB-PC-EOS,127.0.0.1,4846.182181596756,13,128,6,0.0,0.001
0.08,0.93,0.28,0.77,0.2187587073620628,37.188980251550674,0.07,0.93,0.26,0.74,0.2223525995016098,5.558814987540245,1713016477,,False,14,e18ccf33,2024-04-13_15-54-37,371.443484544754,5217.62566614151,17760,AT-MB-PC-EOS,127.0.0.1,5217.62566614151,14,128,6,0.0,0.001
0.08,0.93,0.29,0.78,0.2156262921936372,36.65646967291832,0.07,0.93,0.26,0.72,0.24599936097860337,6.149984024465084,1713016849,,True,15,e18ccf33,2024-04-13_16-00-49,371.29502153396606,5588.920687675476,17760,AT-MB-PC-EOS,127.0.0.1,5588.920687675476,15,128,6,0.0,0.001
