train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.49,0.09,0.53,0.7953223498428569,135.20479947328568,0.07,0.5,0.1,0.54,0.786969575881958,19.67423939704895,1712858638,,False,1,fcdfd76e,2024-04-11_20-03-58,4318.022219419479,4318.022219419479,1831535,rey,131.130.125.90,4318.022219419479,1,256,10,0.2,0.001
0.08,0.87,0.09,0.52,0.37587504115174797,63.89875699579716,0.07,0.92,0.15,0.57,0.29333663821220396,7.3334159553050995,1712862013,,False,2,fcdfd76e,2024-04-11_21-00-13,3374.9248571395874,7692.947076559067,1831535,rey,131.130.125.90,7692.947076559067,2,256,10,0.2,0.001
0.08,0.92,0.14,0.59,0.2919031463125173,49.62353487312794,0.07,0.92,0.18,0.62,0.28209844648838045,7.052461162209511,1712865760,,False,3,fcdfd76e,2024-04-11_22-02-40,3747.1603145599365,11440.107391119003,1831535,rey,131.130.125.90,11440.107391119003,3,256,10,0.2,0.001
0.08,0.92,0.14,0.6,0.2874015475020689,48.858263075351715,0.07,0.93,0.14,0.59,0.27338937282562253,6.834734320640564,1712869248,,False,4,fcdfd76e,2024-04-11_23-00-48,3488.403304576874,14928.510695695877,1831535,rey,131.130.125.90,14928.510695695877,4,256,10,0.2,0.001
0.08,0.92,0.16,0.64,0.26864300010835424,45.66931001842022,0.07,0.93,0.17,0.63,0.2698618292808533,6.746545732021332,1712872492,,False,5,fcdfd76e,2024-04-11_23-54-52,3244.2750051021576,18172.785700798035,1831535,rey,131.130.125.90,18172.785700798035,5,256,10,0.2,0.001
0.08,0.92,0.19,0.67,0.2568067174623994,43.6571419686079,0.07,0.93,0.16,0.58,0.29523449718952177,7.380862429738045,1712875160,,False,6,fcdfd76e,2024-04-12_00-39-20,2667.8636922836304,20840.649393081665,1831535,rey,131.130.125.90,20840.649393081665,6,256,10,0.2,0.001
0.08,0.92,0.19,0.68,0.2531404641621253,43.0338789075613,0.07,0.93,0.21,0.66,0.24425945520401002,6.10648638010025,1712877863,,False,7,fcdfd76e,2024-04-12_01-24-23,2703.049061059952,23543.698454141617,1831535,rey,131.130.125.90,23543.698454141617,7,256,10,0.2,0.001
0.08,0.92,0.19,0.68,0.24980783234624301,42.46733149886131,0.07,0.93,0.21,0.69,0.23943838328123093,5.985959582030773,1712880321,,False,8,fcdfd76e,2024-04-12_02-05-21,2457.868477344513,26001.56693148613,1831535,rey,131.130.125.90,26001.56693148613,8,256,10,0.2,0.001
0.08,0.92,0.19,0.68,0.24913051023202784,42.35218673944473,0.07,0.93,0.21,0.65,0.24657077908515931,6.1642694771289825,1712882634,,False,9,fcdfd76e,2024-04-12_02-43-54,2312.4058237075806,28313.97275519371,1831535,rey,131.130.125.90,28313.97275519371,9,256,10,0.2,0.001
0.08,0.92,0.18,0.66,0.251502444989541,42.75541564822197,0.07,0.93,0.18,0.62,0.252580378651619,6.314509466290474,1712884459,,False,10,fcdfd76e,2024-04-12_03-14-19,1825.4864370822906,30139.459192276,1831535,rey,131.130.125.90,30139.459192276,10,256,10,0.2,0.001
0.08,0.92,0.21,0.7,0.2420102257062407,41.14173837006092,0.07,0.92,0.2,0.66,0.26794046103954317,6.698511525988579,1712886396,,False,11,fcdfd76e,2024-04-12_03-46-36,1936.4973487854004,32075.9565410614,1831535,rey,131.130.125.90,32075.9565410614,11,256,10,0.2,0.001
0.08,0.92,0.21,0.7,0.24133478788768545,41.026913940906525,0.07,0.93,0.2,0.66,0.2384782087802887,5.961955219507217,1712888758,,False,12,fcdfd76e,2024-04-12_04-25-58,2362.631209373474,34438.587750434875,1831535,rey,131.130.125.90,34438.587750434875,12,256,10,0.2,0.001
0.08,0.92,0.22,0.72,0.23305768909699776,39.61980714648962,0.07,0.92,0.23,0.69,0.2676159018278122,6.690397545695305,1712890841,,False,13,fcdfd76e,2024-04-12_05-00-41,2082.083197116852,36520.67094755173,1831535,rey,131.130.125.90,36520.67094755173,13,256,10,0.2,0.001
0.08,0.92,0.23,0.73,0.2308044269680977,39.23675258457661,0.07,0.93,0.24,0.71,0.23994796544313432,5.998699136078358,1712892587,,False,14,fcdfd76e,2024-04-12_05-29-47,1746.6735224723816,38267.34447002411,1831535,rey,131.130.125.90,38267.34447002411,14,256,10,0.2,0.001
0.08,0.92,0.24,0.74,0.22646630638662507,38.49927208572626,0.07,0.93,0.26,0.72,0.23053031265735627,5.7632578164339066,1712894383,,True,15,fcdfd76e,2024-04-12_05-59-44,1796.2556955814362,40063.600165605545,1831535,rey,131.130.125.90,40063.600165605545,15,256,10,0.2,0.001
