train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.07743,0.47014,0.10544,0.54282,0.8282613358076881,140.80442708730698,0.07345,0.47063,0.10634,0.55224,0.8319498300552368,20.79874575138092,1713392871,,False,1,e4d2f49e,2024-04-18_00-27-51,88.2334132194519,88.2334132194519,37172,AT-MB-PC-EOS,127.0.0.1,88.2334132194519,1,64,3,0.0,0.0001
0.07743,0.69955,0.08746,0.49329,0.5866958505967084,99.73829460144043,0.07345,0.82627,0.08639,0.46659,0.46580611109733583,11.645152777433395,1713392949,,False,2,e4d2f49e,2024-04-18_00-29-09,78.1143593788147,166.3477725982666,37172,AT-MB-PC-EOS,127.0.0.1,166.3477725982666,2,64,3,0.0,0.0001
0.07743,0.87158,0.08831,0.47467,0.419113430556129,71.24928319454193,0.07345,0.89484,0.09117,0.48502,0.37106548488140106,9.276637122035027,1713393029,,False,3,e4d2f49e,2024-04-18_00-30-29,80.39325213432312,246.74102473258972,37172,AT-MB-PC-EOS,127.0.0.1,246.74102473258972,3,64,3,0.0,0.0001
0.07743,0.90398,0.11571,0.52793,0.3558738942531978,60.49856202304363,0.07345,0.91243,0.10978,0.52718,0.3230745357275009,8.076863393187523,1713393107,,False,4,e4d2f49e,2024-04-18_00-31-47,78.08979773521423,324.83082246780396,37172,AT-MB-PC-EOS,127.0.0.1,324.83082246780396,4,64,3,0.0,0.0001
0.07743,0.91648,0.14882,0.58191,0.30773427661727454,52.314827024936676,0.07345,0.91749,0.17148,0.59103,0.28750349700450895,7.187587425112724,1713393188,,False,5,e4d2f49e,2024-04-18_00-33-08,80.75769925117493,405.5885217189789,37172,AT-MB-PC-EOS,127.0.0.1,405.5885217189789,5,64,3,0.0,0.0001
0.07743,0.9215,0.18935,0.63401,0.27652594753924536,47.009411081671715,0.07345,0.92599,0.19397,0.63732,0.26033411860466005,6.508352965116501,1713393266,,False,6,e4d2f49e,2024-04-18_00-34-26,78.19140911102295,483.77993083000183,37172,AT-MB-PC-EOS,127.0.0.1,483.77993083000183,6,64,3,0.0,0.0001
0.07743,0.92377,0.21703,0.66433,0.25753999299862806,43.78179880976677,0.07345,0.92507,0.20713,0.63485,0.25888416051864627,6.472104012966156,1713393347,,False,7,e4d2f49e,2024-04-18_00-35-47,80.77356457710266,564.5534954071045,37172,AT-MB-PC-EOS,127.0.0.1,564.5534954071045,7,64,3,0.0,0.0001
0.07743,0.92458,0.23845,0.69383,0.2461794357527705,41.85050407797098,0.07345,0.919,0.23592,0.68739,0.25323128819465635,6.330782204866409,1713393426,,False,8,e4d2f49e,2024-04-18_00-37-06,78.53220057487488,643.0856959819794,37172,AT-MB-PC-EOS,127.0.0.1,643.0856959819794,8,64,3,0.0,0.0001
0.07743,0.92591,0.26321,0.71598,0.23661749095601195,40.22497346252203,0.07345,0.92652,0.25852,0.6892,0.2347373855113983,5.868434637784958,1713393505,,False,9,e4d2f49e,2024-04-18_00-38-25,78.93457913398743,722.0202751159668,37172,AT-MB-PC-EOS,127.0.0.1,722.0202751159668,9,64,3,0.0,0.0001
0.07743,0.92632,0.26482,0.72517,0.23189431069528355,39.422032818198204,0.07345,0.92795,0.21798,0.64111,0.26941295266151427,6.735323816537857,1713393584,,False,10,e4d2f49e,2024-04-18_00-39-44,79.88590025901794,801.9061753749847,37172,AT-MB-PC-EOS,127.0.0.1,801.9061753749847,10,64,3,0.0,0.0001
