train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.09,0.51,0.8032001611064462,136.54402738809586,0.07,0.55,0.09,0.53,0.8287953495979309,20.719883739948273,1712453189,,False,1,2089e7cb,2024-04-07_03-26-29,103.53255033493042,103.53255033493042,41776,AT-MB-PC-EOS,127.0.0.1,103.53255033493042,1,256,3,0.5,0.001
0.08,0.88,0.09,0.53,0.3621774248340551,61.57016222178936,0.07,0.9,0.13,0.6,0.3123659372329712,7.80914843082428,1712453283,,False,2,2089e7cb,2024-04-07_03-28-03,94.56328558921814,198.09583592414856,41776,AT-MB-PC-EOS,127.0.0.1,198.09583592414856,2,256,3,0.5,0.001
0.08,0.92,0.14,0.61,0.28683966836508584,48.76274362206459,0.07,0.93,0.18,0.65,0.2611895799636841,6.529739499092102,1712453378,,False,3,2089e7cb,2024-04-07_03-29-38,95.28709626197815,293.3829321861267,41776,AT-MB-PC-EOS,127.0.0.1,293.3829321861267,3,256,3,0.5,0.001
0.08,0.92,0.19,0.67,0.25688336123438443,43.67017140984535,0.07,0.92,0.19,0.64,0.25269632756710053,6.317408189177513,1712453472,,False,4,2089e7cb,2024-04-07_03-31-12,93.48483443260193,386.86776661872864,41776,AT-MB-PC-EOS,127.0.0.1,386.86776661872864,4,256,3,0.5,0.001
0.08,0.92,0.2,0.7,0.2460629609577796,41.83070336282253,0.07,0.92,0.14,0.62,0.26749669909477236,6.6874174773693085,1712453569,,False,5,2089e7cb,2024-04-07_03-32-49,97.08558702468872,483.95335364341736,41776,AT-MB-PC-EOS,127.0.0.1,483.95335364341736,5,256,3,0.5,0.001
0.08,0.92,0.22,0.71,0.23955516245435265,40.72437761723995,0.07,0.93,0.26,0.75,0.2307422149181366,5.768555372953415,1712453659,,False,6,2089e7cb,2024-04-07_03-34-19,90.43774580955505,574.3910994529724,41776,AT-MB-PC-EOS,127.0.0.1,574.3910994529724,6,256,3,0.5,0.001
0.08,0.92,0.24,0.73,0.23344264727304964,39.68525003641844,0.07,0.93,0.26,0.71,0.23158119201660157,5.789529800415039,1712453756,,False,7,2089e7cb,2024-04-07_03-35-56,96.22670936584473,670.6178088188171,41776,AT-MB-PC-EOS,127.0.0.1,670.6178088188171,7,256,3,0.5,0.001
0.08,0.92,0.24,0.73,0.2351643648217706,39.977942019701004,0.07,0.93,0.14,0.57,0.4185063617117703,10.462659042794257,1712453850,,False,8,2089e7cb,2024-04-07_03-37-30,94.3833532333374,765.0011620521545,41776,AT-MB-PC-EOS,127.0.0.1,765.0011620521545,8,256,3,0.5,0.001
0.08,0.92,0.25,0.74,0.23173945690779124,39.39570767432451,0.07,0.91,0.17,0.65,0.2660199451446533,6.650498628616333,1712453938,,False,9,2089e7cb,2024-04-07_03-38-58,88.24676656723022,853.2479286193848,41776,AT-MB-PC-EOS,127.0.0.1,853.2479286193848,9,256,3,0.5,0.001
0.08,0.92,0.24,0.73,0.2320460588178214,39.447829999029636,0.07,0.93,0.25,0.74,0.25368278086185453,6.342069521546364,1712454034,,False,10,2089e7cb,2024-04-07_03-40-34,95.8100790977478,949.0580077171326,41776,AT-MB-PC-EOS,127.0.0.1,949.0580077171326,10,256,3,0.5,0.001
