train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.09,0.51,0.8354097257642185,142.01965337991714,0.07,0.49,0.11,0.49,0.8611747622489929,21.529369056224823,1712460684,,False,1,de544035,2024-04-07_05-31-24,177.0696222782135,177.0696222782135,42476,AT-MB-PC-EOS,127.0.0.1,177.0696222782135,1,128,6,0.5,0.001
0.08,0.82,0.09,0.52,0.4394364085267572,74.70418944954872,0.07,0.9,0.11,0.54,0.32511627197265625,8.127906799316406,1712460847,,False,2,de544035,2024-04-07_05-34-07,162.41757225990295,339.48719453811646,42476,AT-MB-PC-EOS,127.0.0.1,339.48719453811646,2,128,6,0.5,0.001
0.08,0.91,0.13,0.57,0.3145404832328067,53.47188214957714,0.07,0.92,0.16,0.59,0.2870590770244598,7.176476925611496,1712461018,,False,3,de544035,2024-04-07_05-36-58,170.68466544151306,510.1718599796295,42476,AT-MB-PC-EOS,127.0.0.1,510.1718599796295,3,128,6,0.5,0.001
0.08,0.92,0.15,0.63,0.2814164988258306,47.8408048003912,0.07,0.93,0.2,0.68,0.3002692848443985,7.5067321211099625,1712461185,,False,4,de544035,2024-04-07_05-39-45,167.57968592643738,677.7515459060669,42476,AT-MB-PC-EOS,127.0.0.1,677.7515459060669,4,128,6,0.5,0.001
0.08,0.92,0.18,0.66,0.2617005368365961,44.489091262221336,0.07,0.92,0.16,0.66,0.2737990301847458,6.844975754618645,1712461352,,False,5,de544035,2024-04-07_05-42-32,167.2880403995514,845.0395863056183,42476,AT-MB-PC-EOS,127.0.0.1,845.0395863056183,5,128,6,0.5,0.001
0.08,0.92,0.17,0.68,0.2559917574419695,43.51859876513481,0.07,0.93,0.15,0.58,0.3850663004815578,9.626657512038946,1712461521,,False,6,de544035,2024-04-07_05-45-21,168.67845344543457,1013.7180397510529,42476,AT-MB-PC-EOS,127.0.0.1,1013.7180397510529,6,128,6,0.5,0.001
0.08,0.92,0.19,0.7,0.24433304268647643,41.53661725670099,0.07,0.92,0.17,0.66,0.26877304136753083,6.719326034188271,1712461689,,False,7,de544035,2024-04-07_05-48-09,167.9941370487213,1181.7121767997742,42476,AT-MB-PC-EOS,127.0.0.1,1181.7121767997742,7,128,6,0.5,0.001
0.08,0.92,0.21,0.71,0.2400644938735401,40.810963958501816,0.07,0.92,0.21,0.7,0.24417373299598694,6.1043433248996735,1712461856,,False,8,de544035,2024-04-07_05-50-56,166.91321182250977,1348.625388622284,42476,AT-MB-PC-EOS,127.0.0.1,1348.625388622284,8,128,6,0.5,0.001
0.08,0.92,0.22,0.71,0.24044481796376846,40.87561905384064,0.07,0.93,0.19,0.65,0.31343601524829867,7.835900381207466,1712462028,,False,9,de544035,2024-04-07_05-53-48,171.48596787452698,1520.111356496811,42476,AT-MB-PC-EOS,127.0.0.1,1520.111356496811,9,128,6,0.5,0.001
0.08,0.92,0.22,0.72,0.23397169481305516,39.775188118219376,0.07,0.93,0.14,0.59,0.3730999886803329,9.327499717008322,1712462199,,False,10,de544035,2024-04-07_05-56-39,171.36541390419006,1691.476770401001,42476,AT-MB-PC-EOS,127.0.0.1,1691.476770401001,10,128,6,0.5,0.001
0.08,0.92,0.23,0.73,0.23461757749319076,39.88498817384243,0.07,0.92,0.18,0.66,0.3200089058279991,8.000222645699978,1712462373,,False,11,de544035,2024-04-07_05-59-33,173.82863116264343,1865.3054015636444,42476,AT-MB-PC-EOS,127.0.0.1,1865.3054015636444,11,128,6,0.5,0.001
0.08,0.92,0.24,0.73,0.23232735509381575,39.49565036594868,0.07,0.93,0.27,0.75,0.23314121186733247,5.8285302966833115,1712462545,,False,12,de544035,2024-04-07_06-02-25,171.93568634986877,2037.2410879135132,42476,AT-MB-PC-EOS,127.0.0.1,2037.2410879135132,12,128,6,0.5,0.001
0.08,0.93,0.26,0.75,0.2238735704737551,38.05850698053837,0.07,0.92,0.2,0.72,0.2567263257503509,6.418158143758774,1712462720,,False,13,de544035,2024-04-07_06-05-20,175.63418555259705,2212.8752734661102,42476,AT-MB-PC-EOS,127.0.0.1,2212.8752734661102,13,128,6,0.5,0.001
0.08,0.93,0.26,0.76,0.22339054652873208,37.97639290988445,0.07,0.93,0.25,0.74,0.2424072390794754,6.060180976986885,1712462893,,False,14,de544035,2024-04-07_06-08-13,173.01473188400269,2385.890005350113,42476,AT-MB-PC-EOS,127.0.0.1,2385.890005350113,14,128,6,0.5,0.001
0.08,0.93,0.26,0.75,0.22526474226923549,38.295006185770035,0.07,0.93,0.25,0.74,0.22815268397331237,5.7038170993328094,1712463065,,True,15,de544035,2024-04-07_06-11-05,171.49318289756775,2557.3831882476807,42476,AT-MB-PC-EOS,127.0.0.1,2557.3831882476807,15,128,6,0.5,0.001
