train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.08,0.93,0.26,0.75,0.2253400721532457,38.30781226605177,0.07,0.93,0.26,0.76,0.22017603754997253,5.504400938749313,1712442307,,True,100,a4a4245e,2024-04-07_00-25-07,89.75974822044373,8893.018728017807,20468,AT-MB-PC-EOS,127.0.0.1,8893.018728017807,100,64,3,0.5,1e-05,a4a4245e
0.08,0.94,0.56,0.89,0.15877008950885604,26.990915216505527,0.07,0.93,0.41,0.83,0.20735545217990875,5.183886304497719,1712450037,,True,100,ea5bbeae,2024-04-07_02-33-57,169.199871301651,16614.376381635666,42744,AT-MB-PC-EOS,127.0.0.1,16614.376381635666,100,256,6,0.5,0.001,ea5bbeae
0.08,0.93,0.26,0.75,0.22548227082280553,38.33198603987694,0.07,0.93,0.26,0.76,0.2204144036769867,5.510360091924667,1712442339,,True,100,34c1e6c0,2024-04-07_00-25-39,84.71704435348511,8906.706708192825,20068,AT-MB-PC-EOS,127.0.0.1,8906.706708192825,100,64,3,0.5,1e-05,34c1e6c0
0.08,0.62,0.09,0.5,0.6303501882973839,107.15953201055527,0.07,0.71,0.1,0.5,0.5625773596763611,14.064433991909027,1712434248,,True,5,5fd15c0e,2024-04-06_22-10-48,160.49555587768555,808.9231169223785,25940,AT-MB-PC-EOS,127.0.0.1,808.9231169223785,5,64,6,0.5,1e-05,5fd15c0e
0.08,0.95,0.71,0.94,0.12622388487353045,21.458060428500175,0.07,0.94,0.42,0.82,0.20098661690950392,5.024665422737598,1712442353,,True,100,58320bf2,2024-04-07_00-25-53,82.0954179763794,8904.694140911102,40604,AT-MB-PC-EOS,127.0.0.1,8904.694140911102,100,64,3,0.0,0.0001,58320bf2
0.08,0.95,0.65,0.92,0.14111903419389443,23.990235812962055,0.07,0.94,0.42,0.83,0.20751676619052886,5.187919154763222,1712443385,,True,100,03ccd966,2024-04-07_00-43-05,128.58016395568848,9127.822440862656,16316,AT-MB-PC-EOS,127.0.0.1,9127.822440862656,100,256,3,0.5,0.001,03ccd966
0.08,0.9,0.12,0.54,0.34022079443230346,57.83753505349159,0.07,0.91,0.13,0.55,0.33293727695941927,8.323431923985481,1712444159,,True,5,e75bdba3,2024-04-07_00-55-59,407.1569149494171,1838.8398745059967,33068,AT-MB-PC-EOS,127.0.0.1,1838.8398745059967,5,256,10,0.5,0.0001,e75bdba3
0.08,0.75,0.11,0.52,0.5194477037471883,88.30610963702202,0.07,0.81,0.11,0.55,0.4844017565250397,12.110043913125992,1712444203,,True,5,c5483f15,2024-04-07_00-56-43,401.4375870227814,1855.326325893402,33840,AT-MB-PC-EOS,127.0.0.1,1855.326325893402,5,256,10,0.2,1e-05,c5483f15
0.08,0.91,0.14,0.57,0.3169846293680808,53.88738699257374,0.07,0.9,0.16,0.57,0.3228759437799454,8.071898594498634,1712443410,,True,5,f84a470d,2024-04-07_00-43-30,219.39478206634521,1048.601377248764,33620,AT-MB-PC-EOS,127.0.0.1,1048.601377248764,5,64,6,0.2,0.0001,f84a470d
0.08,0.83,0.07,0.43,0.4538658666260102,77.15719732642174,0.07,0.86,0.07,0.44,0.41752824664115906,10.438206166028976,1712443943,,True,5,945b3267,2024-04-07_00-52-23,118.79173970222473,549.7277426719666,27184,AT-MB-PC-EOS,127.0.0.1,549.7277426719666,5,256,3,0.5,1e-05,945b3267
