train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.08,0.49,0.09,0.52,0.8254678961108712,140.3295423388481,0.07,0.49,0.09,0.51,0.825691111087799,20.642277777194977,0.08,0.49,0.1,0.5,0.8213628785950797,40.246781051158905,1713085283,,False,1,3a9f6903,2024-04-14_11-01-23,105.21835017204285,105.21835017204285,22956,AT-MB-PC-EOS,127.0.0.1,105.21835017204285,1,128,0.0,6,0.001
0.08,0.85,0.11,0.56,0.3948602700934691,67.12624591588974,0.07,0.91,0.13,0.59,0.30886426985263826,7.721606746315956,0.08,0.9,0.14,0.57,0.3288518132603898,16.113738849759102,1713085382,,False,2,3a9f6903,2024-04-14_11-03-02,98.88492059707642,204.10327076911926,22956,AT-MB-PC-EOS,127.0.0.1,204.10327076911926,2,128,0.0,6,0.001
0.08,0.92,0.18,0.63,0.2742776625296649,46.62720263004303,0.07,0.93,0.23,0.69,0.24949699580669404,6.237424895167351,0.08,0.92,0.22,0.67,0.2933253323545261,14.37294128537178,1713085480,,False,3,3a9f6903,2024-04-14_11-04-40,98.90902018547058,303.01229095458984,22956,AT-MB-PC-EOS,127.0.0.1,303.01229095458984,3,128,0.0,6,0.001
0.08,0.92,0.21,0.69,0.25098964124917983,42.66823901236057,0.07,0.93,0.23,0.7,0.24700044691562653,6.175011172890663,0.08,0.92,0.21,0.7,0.26227873198840085,12.85165786743164,1713085579,,False,4,3a9f6903,2024-04-14_11-06-19,98.35017371177673,401.3624646663666,22956,AT-MB-PC-EOS,127.0.0.1,401.3624646663666,4,128,0.0,6,0.001
0.08,0.92,0.24,0.72,0.23743662615032757,40.36422644555569,0.07,0.92,0.18,0.64,0.29070002436637876,7.26750060915947,0.08,0.91,0.18,0.65,0.30097626697043983,14.747837081551552,1713085678,,False,5,3a9f6903,2024-04-14_11-07-58,99.07293462753296,500.43539929389954,22956,AT-MB-PC-EOS,127.0.0.1,500.43539929389954,5,128,0.0,6,0.001
0.08,0.93,0.26,0.74,0.23096188823966418,39.26352100074291,0.07,0.93,0.26,0.71,0.23739091485738753,5.934772871434689,0.08,0.92,0.25,0.72,0.25149683806360984,12.323345065116882,1713085776,,False,6,3a9f6903,2024-04-14_11-09-36,98.54154109954834,598.9769403934479,22956,AT-MB-PC-EOS,127.0.0.1,598.9769403934479,6,128,0.0,6,0.001
0.08,0.93,0.28,0.75,0.22636564917424146,38.48216035962105,0.07,0.93,0.27,0.75,0.2220761713385582,5.551904283463955,0.08,0.92,0.27,0.74,0.23863735460505195,11.693230375647545,1713085875,,False,7,3a9f6903,2024-04-14_11-11-15,98.83574724197388,697.8126876354218,22956,AT-MB-PC-EOS,127.0.0.1,697.8126876354218,7,128,0.0,6,0.001
0.08,0.93,0.3,0.77,0.22013827531653293,37.4235068038106,0.07,0.93,0.27,0.72,0.23454764634370803,5.863691158592701,0.08,0.92,0.28,0.74,0.24394357630184718,11.953235238790512,1713085976,,False,8,3a9f6903,2024-04-14_11-12-56,100.21267771720886,798.0253653526306,22956,AT-MB-PC-EOS,127.0.0.1,798.0253653526306,8,128,0.0,6,0.001
0.08,0.93,0.31,0.77,0.21936924308538436,37.29277132451534,0.07,0.93,0.25,0.69,0.2556417039036751,6.391042597591877,0.08,0.92,0.26,0.71,0.2685235224816264,13.157652601599693,1713086075,,False,9,3a9f6903,2024-04-14_11-14-35,99.40929985046387,897.4346652030945,22956,AT-MB-PC-EOS,127.0.0.1,897.4346652030945,9,128,0.0,6,0.001
0.08,0.93,0.3,0.76,0.223840901737704,38.05295329540968,0.07,0.93,0.27,0.75,0.2352055835723877,5.880139589309692,0.08,0.92,0.29,0.75,0.2381799744099987,11.670818746089935,1713086174,,False,10,3a9f6903,2024-04-14_11-16-14,99.44800424575806,996.8826694488525,22956,AT-MB-PC-EOS,127.0.0.1,996.8826694488525,10,128,0.0,6,0.001
