train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,test_accuracy-0_0,test_accuracy-0_5,test_ap,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.08,0.47,0.09,0.5,0.8080749687026528,137.372744679451,0.07,0.52,0.1,0.52,0.8221147704124451,20.552869260311127,0.08,0.51,0.11,0.5,0.8246550876267102,40.4080992937088,1713151025,,False,1,a6776b89,2024-04-15_05-17-05,64.16047501564026,64.16047501564026,31800,AT-MB-PC-EOS,127.0.0.1,64.16047501564026,1,128,0.0,3,0.001
0.08,0.86,0.09,0.49,0.39658870968748544,67.42008064687252,0.07,0.91,0.09,0.49,0.3269224292039871,8.173060730099678,0.08,0.91,0.11,0.51,0.3432189718801148,16.817729622125626,1713151081,,False,2,a6776b89,2024-04-15_05-18-01,56.075077295303345,120.2355523109436,31800,AT-MB-PC-EOS,127.0.0.1,120.2355523109436,2,128,0.0,3,0.001
0.08,0.92,0.13,0.56,0.3005255240727873,51.08933909237385,0.07,0.93,0.11,0.53,0.33049456238746644,8.26236405968666,0.08,0.92,0.12,0.55,0.3457951611097978,16.943962894380093,1713151137,,False,3,a6776b89,2024-04-15_05-18-57,55.8992383480072,176.1347906589508,31800,AT-MB-PC-EOS,127.0.0.1,176.1347906589508,3,128,0.0,3,0.001
0.08,0.92,0.14,0.61,0.28435425583054036,48.340223491191864,0.07,0.89,0.14,0.57,0.34750172674655916,8.687543168663979,0.08,0.89,0.14,0.54,0.36531528374370265,17.90044890344143,1713151193,,False,4,a6776b89,2024-04-15_05-19-53,55.9688184261322,232.103609085083,31800,AT-MB-PC-EOS,127.0.0.1,232.103609085083,4,128,0.0,3,0.001
0.08,0.92,0.17,0.63,0.27060754886444877,46.00328330695629,0.07,0.93,0.16,0.58,0.2813192081451416,7.03298020362854,0.08,0.92,0.17,0.6,0.2952032861660938,14.464961022138596,1713151248,,False,5,a6776b89,2024-04-15_05-20-48,55.79504179954529,287.8986508846283,31800,AT-MB-PC-EOS,127.0.0.1,287.8986508846283,5,128,0.0,3,0.001
0.08,0.92,0.18,0.66,0.2609255865216255,44.35734970867634,0.07,0.93,0.15,0.61,0.32363881409168244,8.09097035229206,0.08,0.92,0.17,0.62,0.3413055079932116,16.723969891667366,1713151305,,False,6,a6776b89,2024-04-15_05-21-45,56.24885439872742,344.1475052833557,31800,AT-MB-PC-EOS,127.0.0.1,344.1475052833557,6,128,0.0,3,0.001
0.08,0.92,0.19,0.66,0.25721747305463344,43.72697041928768,0.07,0.93,0.2,0.63,0.25709328532218934,6.427332133054733,0.08,0.92,0.2,0.63,0.27487848516629665,13.469045773148537,1713151361,,False,7,a6776b89,2024-04-15_05-22-41,55.99829339981079,400.1457986831665,31800,AT-MB-PC-EOS,127.0.0.1,400.1457986831665,7,128,0.0,3,0.001
0.08,0.92,0.21,0.69,0.24569665386396297,41.7684311568737,0.07,0.93,0.23,0.67,0.24118415296077728,6.029603824019432,0.08,0.92,0.23,0.65,0.2698407738792653,13.222197920084,1713151417,,False,8,a6776b89,2024-04-15_05-23-37,56.13584351539612,456.2816421985626,31800,AT-MB-PC-EOS,127.0.0.1,456.2816421985626,8,128,0.0,3,0.001
0.08,0.92,0.23,0.7,0.24186753078418619,41.11748023331165,0.07,0.93,0.24,0.67,0.24481882482767106,6.120470620691776,0.08,0.92,0.24,0.68,0.26079304805215525,12.778859354555607,1713151473,,False,9,a6776b89,2024-04-15_05-24-33,56.06226706504822,512.3439092636108,31800,AT-MB-PC-EOS,127.0.0.1,512.3439092636108,9,128,0.0,3,0.001
0.08,0.93,0.24,0.71,0.24017744493835114,40.83016563951969,0.07,0.93,0.24,0.68,0.24360472798347474,6.090118199586868,0.08,0.92,0.24,0.68,0.2615264873115384,12.81479787826538,1713151529,,False,10,a6776b89,2024-04-15_05-25-29,56.09463167190552,568.4385409355164,31800,AT-MB-PC-EOS,127.0.0.1,568.4385409355164,10,128,0.0,3,0.001
