train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.09,0.5,0.793011410446728,134.81193977594376,0.07,0.5,0.09,0.49,0.8008691906929016,20.02172976732254,1712533693,,False,1,c1cdc10d,2024-04-08_01-48-13,87.98037075996399,87.98037075996399,33032,AT-MB-PC-EOS,127.0.0.1,87.98037075996399,1,64,3,0.0,0.0001
0.08,0.61,0.09,0.5,0.6639728493550244,112.87538439035416,0.07,0.74,0.11,0.49,0.5624985861778259,14.062464654445648,1712533771,,False,2,c1cdc10d,2024-04-08_01-49-31,78.62430930137634,166.60468006134033,33032,AT-MB-PC-EOS,127.0.0.1,166.60468006134033,2,64,3,0.0,0.0001
0.08,0.78,0.1,0.49,0.5195298189626021,88.32006922364235,0.07,0.89,0.11,0.53,0.39532186031341554,9.883046507835388,1712533846,,False,3,c1cdc10d,2024-04-08_01-50-46,74.32313847541809,240.92781853675842,33032,AT-MB-PC-EOS,127.0.0.1,240.92781853675842,3,64,3,0.0,0.0001
0.08,0.89,0.09,0.48,0.39726352726711944,67.53479963541031,0.07,0.92,0.1,0.52,0.32452031373977663,8.113007843494415,1712533924,,False,4,c1cdc10d,2024-04-08_01-52-04,78.41942620277405,319.34724473953247,33032,AT-MB-PC-EOS,127.0.0.1,319.34724473953247,4,64,3,0.0,0.0001
0.08,0.92,0.1,0.5,0.3415537029504776,58.06412950158119,0.07,0.93,0.1,0.54,0.3021016466617584,7.552541166543961,1712534000,,False,5,c1cdc10d,2024-04-08_01-53-20,76.12894201278687,395.47618675231934,33032,AT-MB-PC-EOS,127.0.0.1,395.47618675231934,5,64,3,0.0,0.0001
0.08,0.92,0.12,0.53,0.31466846194337394,53.49363853037357,0.07,0.92,0.11,0.52,0.3000380206108093,7.500950515270233,1712534077,,False,6,c1cdc10d,2024-04-08_01-54-37,76.82993078231812,472.30611753463745,33032,AT-MB-PC-EOS,127.0.0.1,472.30611753463745,6,64,3,0.0,0.0001
0.08,0.92,0.14,0.57,0.29315849086817575,49.836943447589874,0.07,0.93,0.11,0.52,0.28715711236000063,7.178927809000015,1712534154,,False,7,c1cdc10d,2024-04-08_01-55-54,77.1228392124176,549.428956747055,33032,AT-MB-PC-EOS,127.0.0.1,549.428956747055,7,64,3,0.0,0.0001
0.08,0.92,0.15,0.59,0.2841399623190655,48.30379359424114,0.07,0.92,0.17,0.58,0.27608407855033873,6.902101963758469,1712534232,,False,8,c1cdc10d,2024-04-08_01-57-12,77.40497159957886,626.8339283466339,33032,AT-MB-PC-EOS,127.0.0.1,626.8339283466339,8,64,3,0.0,0.0001
0.08,0.92,0.18,0.62,0.27171932011842725,46.19228442013264,0.07,0.93,0.13,0.54,0.30368197441101075,7.5920493602752686,1712534309,,False,9,c1cdc10d,2024-04-08_01-58-29,77.00752472877502,703.8414530754089,33032,AT-MB-PC-EOS,127.0.0.1,703.8414530754089,9,64,3,0.0,0.0001
0.08,0.92,0.17,0.62,0.27028474194162033,45.948406130075455,0.07,0.93,0.17,0.6,0.26521638393402097,6.630409598350525,1712534386,,False,10,c1cdc10d,2024-04-08_01-59-46,77.13123154640198,780.9726846218109,33032,AT-MB-PC-EOS,127.0.0.1,780.9726846218109,10,64,3,0.0,0.0001
0.08,0.92,0.18,0.64,0.26607829586547965,45.23331029713154,0.07,0.92,0.18,0.61,0.26330273687839506,6.582568421959877,1712534463,,False,11,c1cdc10d,2024-04-08_02-01-03,76.7539472579956,857.7266318798065,33032,AT-MB-PC-EOS,127.0.0.1,857.7266318798065,11,64,3,0.0,0.0001
0.08,0.92,0.19,0.66,0.26016225350253724,44.22758309543133,0.07,0.92,0.2,0.68,0.2722666388750076,6.806665971875191,1712534539,,False,12,c1cdc10d,2024-04-08_02-02-19,76.5224244594574,934.2490563392639,33032,AT-MB-PC-EOS,127.0.0.1,934.2490563392639,12,64,3,0.0,0.0001
0.08,0.92,0.2,0.66,0.25883632872034523,44.00217588245869,0.07,0.92,0.19,0.63,0.2619982236623764,6.54995559155941,1712534616,,False,13,c1cdc10d,2024-04-08_02-03-36,77.18893313407898,1011.4379894733429,33032,AT-MB-PC-EOS,127.0.0.1,1011.4379894733429,13,64,3,0.0,0.0001
0.08,0.92,0.21,0.68,0.25018238074639265,42.53100472688675,0.07,0.92,0.21,0.63,0.2601007544994354,6.502518862485886,1712534693,,False,14,c1cdc10d,2024-04-08_02-04-53,76.85216045379639,1088.2901499271393,33032,AT-MB-PC-EOS,127.0.0.1,1088.2901499271393,14,64,3,0.0,0.0001
0.08,0.93,0.24,0.7,0.24533387685523314,41.70675906538963,0.07,0.93,0.24,0.68,0.24305089831352233,6.0762724578380585,1712534771,,True,15,c1cdc10d,2024-04-08_02-06-11,77.55931401252747,1165.8494639396667,33032,AT-MB-PC-EOS,127.0.0.1,1165.8494639396667,15,64,3,0.0,0.0001
