train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.07743,0.51477,0.10414,0.56225,0.8725584766444038,148.33494102954865,0.07345,0.49411,0.11269,0.58891,0.9475397992134095,23.688494980335236,1714467875,,False,1,fef28cca,2024-04-30_11-04-35,223.61969566345215,223.61969566345215,15180,AT-MB-PC-EOS,127.0.0.1,223.61969566345215,1,256,6,0.0,0.001
0.07743,0.87711,0.09396,0.51901,0.37666496958802725,64.03304482996464,0.07345,0.92427,0.14139,0.54029,0.29207856833934787,7.301964208483696,1714468087,,False,2,fef28cca,2024-04-30_11-08-07,211.79973125457764,435.4194269180298,15180,AT-MB-PC-EOS,127.0.0.1,435.4194269180298,2,256,6,0.0,0.001
0.07743,0.9192,0.13766,0.58231,0.29377940761692384,49.94249929487705,0.07345,0.91988,0.1546,0.57614,0.2812184834480286,7.030462086200714,1714468299,,False,3,fef28cca,2024-04-30_11-11-39,212.0487997531891,647.4682266712189,15180,AT-MB-PC-EOS,127.0.0.1,647.4682266712189,3,256,6,0.0,0.001
0.07743,0.92082,0.15389,0.61146,0.28394195069285,48.2701316177845,0.07345,0.92499,0.14534,0.58593,0.26346989154815675,6.5867472887039185,1714468512,,False,4,fef28cca,2024-04-30_11-15-12,212.6164481639862,860.0846748352051,15180,AT-MB-PC-EOS,127.0.0.1,860.0846748352051,4,256,6,0.0,0.001
0.07743,0.92136,0.15422,0.62481,0.2733988965258879,46.47781240940094,0.07345,0.92526,0.14923,0.59642,0.3207947117090225,8.019867792725563,1714468723,,False,5,fef28cca,2024-04-30_11-18-43,211.48417377471924,1071.5688486099243,15180,AT-MB-PC-EOS,127.0.0.1,1071.5688486099243,5,256,6,0.0,0.001
0.07743,0.92324,0.19021,0.64984,0.2634425397743197,44.78523176163435,0.07345,0.92748,0.14621,0.60909,0.2941149151325226,7.352872878313065,1714468934,,False,6,fef28cca,2024-04-30_11-22-14,210.9864501953125,1282.5552988052368,15180,AT-MB-PC-EOS,127.0.0.1,1282.5552988052368,6,256,6,0.0,0.001
0.07743,0.92291,0.19162,0.67088,0.25462009963743826,43.285416938364506,0.07345,0.92605,0.17572,0.65049,0.26559791088104245,6.639947772026062,1714469147,,False,7,fef28cca,2024-04-30_11-25-47,212.34334874153137,1494.8986475467682,15180,AT-MB-PC-EOS,127.0.0.1,1494.8986475467682,7,256,6,0.0,0.001
0.07743,0.92445,0.21575,0.69233,0.2492327102843453,42.3695607483387,0.07345,0.92593,0.2434,0.69836,0.2628392785787582,6.570981964468956,1714469358,,False,8,fef28cca,2024-04-30_11-29-18,211.21379399299622,1706.1124415397644,15180,AT-MB-PC-EOS,127.0.0.1,1706.1124415397644,8,256,6,0.0,0.001
0.07743,0.92463,0.21793,0.69779,0.2436993463512729,41.428888879716396,0.07345,0.92452,0.19713,0.62043,0.26964996099472044,6.7412490248680115,1714469570,,False,9,fef28cca,2024-04-30_11-32-50,211.83928394317627,1917.9517254829407,15180,AT-MB-PC-EOS,127.0.0.1,1917.9517254829407,9,256,6,0.0,0.001
0.07743,0.92404,0.21694,0.69477,0.24378347756231533,41.443191185593605,0.07345,0.92752,0.2061,0.67623,0.25547881186008453,6.386970296502113,1714469782,,False,10,fef28cca,2024-04-30_11-36-22,212.49204897880554,2130.443774461746,15180,AT-MB-PC-EOS,127.0.0.1,2130.443774461746,10,256,6,0.0,0.001
0.07743,0.92503,0.23288,0.70482,0.23836244861869252,40.52161626517773,0.07345,0.92122,0.20332,0.64414,0.27015849828720095,6.753962457180023,1714469994,,False,11,fef28cca,2024-04-30_11-39-54,212.0339126586914,2342.4776871204376,15180,AT-MB-PC-EOS,127.0.0.1,2342.4776871204376,11,256,6,0.0,0.001
0.07743,0.92518,0.24582,0.72455,0.23272473750745548,39.56320537626743,0.07345,0.92804,0.25731,0.73151,0.22659990787506104,5.664997696876526,1714470206,,False,12,fef28cca,2024-04-30_11-43-26,211.99613785743713,2554.4738249778748,15180,AT-MB-PC-EOS,127.0.0.1,2554.4738249778748,12,256,6,0.0,0.001
0.07743,0.92608,0.26493,0.73619,0.23010672655175715,39.118143513798714,0.07345,0.92851,0.26851,0.74243,0.22340404033660888,5.585101008415222,1714470418,,False,13,fef28cca,2024-04-30_11-46-58,211.46576523780823,2765.939590215683,15180,AT-MB-PC-EOS,127.0.0.1,2765.939590215683,13,256,6,0.0,0.001
